date,Open,High,Low,Close,Volume
2025-10-31,60.36,60.84,59.595,60.53,4037566.0
2025-10-30,61.0,61.355,60.62,60.69,2521048.0
2025-10-29,60.97,61.33,60.39,60.52,3183165.0
2025-10-28,61.52,62.18,61.08,61.37,2104474.0
2025-10-27,64.76,65.0,61.505,61.94,3409645.0
2025-10-24,62.5,63.88,62.5,63.33,1916896.0
2025-10-23,62.5,63.0,61.895,62.51,2047840.0
2025-10-22,61.74,62.81,61.175,61.91,2193309.0
2025-10-21,63.1,63.33,61.07,61.72,2822682.0
2025-10-20,63.72,63.99,62.9201,63.19,2124523.0
2025-10-17,62.35,63.36,61.86,63.33,3048602.0
2025-10-16,63.54,64.18,62.795,62.9,3638042.0
2025-10-15,63.04,64.57,62.22,63.38,5344098.0
2025-10-14,60.75,62.385,58.42,61.85,6127629.0
2025-10-13,61.04,62.4427,60.66,61.64,3609580.0
2025-10-10,61.26,62.04,60.8,60.84,4527795.0
2025-10-09,62.275,63.11,61.05,61.31,3706643.0
2025-10-08,62.97,63.56,60.81,62.22,4711421.0
2025-10-07,62.33,63.42,62.07,62.89,3486788.0
2025-10-06,61.05,63.19,60.6109,62.45,4057813.0
2025-10-03,58.91,61.25,58.83,61.04,4260898.0
2025-10-02,59.07,59.51,58.89,59.11,2725196.0
2025-10-01,60.07,60.32,58.17,59.25,3650690.0
2025-09-30,60.2,60.58,59.69,59.74,3233627.0
2025-09-29,60.64,60.68,59.35,60.31,4268219.0
2025-09-26,61.31,61.54,59.36,60.6,5878774.0
2025-09-25,61.99,62.28,61.02,61.07,2939431.0
2025-09-24,61.03,62.045,60.905,61.48,2537663.0
2025-09-23,59.91,61.6,59.91,60.7,3624651.0
2025-09-22,61.23,61.325,58.46,59.86,4342490.0
2025-09-19,60.9,61.88,60.74,61.65,11658542.0
2025-09-18,61.27,61.27,60.63,60.83,2837701.0
2025-09-17,62.15,62.625,61.055,61.09,3084157.0
2025-09-16,60.77,62.92,59.915,62.35,4665596.0
2025-09-15,61.4,61.595,60.51,60.53,3085786.0
2025-09-12,61.3,61.77,61.155,61.57,2289908.0
2025-09-11,61.37,61.68,60.79,61.42,2909339.0
2025-09-10,62.02,62.24,59.57,61.41,3606207.0
2025-09-09,62.35,62.72,62.055,62.19,2317133.0
2025-09-08,62.84,63.25,61.39,62.3,4161692.0
2025-09-05,61.94,63.025,61.6527,62.94,2656447.0
2025-09-04,61.88,62.19,61.34,61.94,2691225.0
2025-09-03,61.76,61.78,61.1217,61.72,2980299.0
2025-09-02,62.55,62.8128,61.62,62.05,3837980.0
2025-08-29,62.55,63.06,62.21,62.64,2760640.0
2025-08-28,62.82,62.91,61.96,62.66,3507083.0
2025-08-27,62.6,63.18,62.17,62.71,2896175.0
2025-08-26,63.935,63.935,62.63,62.82,4715379.0
2025-08-25,62.93,64.38,62.67,64.21,3365294.0
2025-08-22,61.35,63.395,60.97,62.92,5237475.0
2025-08-21,60.71,61.72,60.26,61.12,4190456.0
2025-08-20,59.78,60.75,59.65,60.73,4485477.0
2025-08-19,59.7,60.02,58.96,59.96,3475509.0
2025-08-18,59.59,59.815,59.27,59.67,3654544.0
2025-08-15,59.5,59.779,58.97,59.75,2935937.0
2025-08-14,60.0,60.07,58.82,59.32,3571596.0
2025-08-13,58.5,59.825,57.49,59.82,4223985.0
2025-08-12,58.47,59.68,58.15,58.56,3844803.0
2025-08-11,58.4,58.88,57.83,58.28,3063296.0
2025-08-08,58.41,58.71,57.68,57.84,2694402.0
2025-08-07,57.41,58.04,56.5615,57.86,3943621.0
2025-08-06,58.24,58.78,56.69,56.73,4889936.0
2025-08-05,54.55,57.73,54.55,57.62,5761264.0
2025-08-04,54.24,54.52,53.56,54.36,2531041.0
2025-08-01,54.15,54.5,52.96,53.85,2583504.0
2025-07-31,54.77,55.015,53.97,54.18,3986398.0
2025-07-30,54.38,55.9,54.265,55.2,3352722.0
2025-07-29,54.97,54.97,53.805,54.2,3370914.0
2025-07-28,54.93,55.0,54.31,54.76,1751638.0
2025-07-25,55.26,55.43,54.0688,55.35,2684327.0
2025-07-24,56.13,56.22,55.4301,55.5,2347084.0
2025-07-23,55.53,56.39,55.405,56.22,2589581.0
2025-07-22,54.13,55.465,54.095,55.41,2365600.0
2025-07-21,54.6,55.05,54.13,54.15,2069985.0
2025-07-18,53.63,54.44,53.4401,54.39,2983040.0
2025-07-17,53.07,53.7499,52.23,53.54,4504147.0
2025-07-16,53.58,54.12,53.301,54.0,3487347.0
2025-07-15,54.09,54.25,53.5202,53.73,3549162.0
2025-07-14,54.77,54.98,53.95,54.3,2313677.0
2025-07-11,54.58,55.14,54.11,54.94,2190095.0
2025-07-10,54.03,55.58,53.51,54.89,3013627.0
2025-07-09,54.54,54.68,53.21,54.0,3184571.0
2025-07-08,54.61,55.31,54.41,54.55,3015456.0
2025-07-07,54.88,55.47,54.465,54.52,2761184.0
2025-07-03,56.0,56.37,54.88,55.31,2259865.0
2025-07-02,54.9,55.98,54.295,55.9,4662350.0
2025-07-01,52.68,54.62,52.57,54.45,5012212.0
2025-06-30,52.0,53.13,51.65,52.78,4198827.0
2025-06-27,53.175,53.275,51.34,51.98,4770110.0
2025-06-26,52.57,53.55,52.48,53.17,3598277.0
2025-06-25,52.65,52.91,51.71,52.3,4524873.0
