date,Open,High,Low,Close,Volume
2025-10-31,77.82,79.41,77.79,78.96,3250131.0
2025-10-30,78.16,80.45,77.2,78.19,2769992.0
2025-10-29,78.0,78.52,77.465,77.98,2845071.0
2025-10-28,79.16,79.25,78.05,78.39,2604717.0
2025-10-27,79.25,79.64,78.93,79.31,2822392.0
2025-10-24,78.92,79.735,78.65,79.0,2634275.0
2025-10-23,79.28,79.28,78.55,78.85,3207066.0
2025-10-22,78.66,79.36,78.03,78.94,5152939.0
2025-10-21,77.71,78.6,77.345,78.38,2643275.0
2025-10-20,77.51,78.05,77.1125,77.69,2760378.0
2025-10-17,77.19,78.205,77.19,77.36,4031676.0
2025-10-16,78.31,79.73,76.95,77.02,10396823.0
2025-10-15,82.21,82.73,80.47,81.26,5347858.0
2025-10-14,81.63,83.12,81.37,82.91,3483473.0
2025-10-13,81.11,82.12,80.83,81.82,2726881.0
2025-10-10,83.56,83.69,81.15,81.3,5021098.0
2025-10-09,84.25,84.5,82.78,83.17,4137325.0
2025-10-08,84.5,84.69,83.14,84.0,3485673.0
2025-10-07,83.22,84.12,82.855,84.05,5923056.0
2025-10-06,81.58,83.165,81.32,83.02,5067224.0
2025-10-03,79.69,81.44,79.69,81.02,3753676.0
2025-10-02,79.35,80.09,78.81,79.64,2727336.0
2025-10-01,78.44,79.74,78.28,79.64,3850747.0
2025-09-30,77.8,78.77,77.69,78.54,3969280.0
2025-09-29,77.82,78.215,77.44,77.9,4056403.0
2025-09-26,77.59,78.29,77.426,77.98,3152669.0
2025-09-25,78.0,78.47,76.81,77.1,3001380.0
2025-09-24,76.51,77.95,76.25,77.9,4273231.0
2025-09-23,76.46,77.24,76.31,76.7,5096310.0
2025-09-22,76.66,76.84,76.025,76.53,5241341.0
2025-09-19,77.91,78.12,76.56,76.98,13509150.0
2025-09-18,76.44,78.14,76.36,78.03,8328095.0
2025-09-17,76.39,77.47,76.29,76.8,6869824.0
2025-09-16,76.28,76.71,75.9,76.34,5740399.0
2025-09-15,78.86,78.925,76.815,77.03,5193226.0
2025-09-12,78.68,79.025,78.44,78.93,4754239.0
2025-09-11,78.06,78.825,77.89,78.72,3960731.0
2025-09-10,78.16,78.915,77.725,78.0,4136972.0
2025-09-09,78.67,79.27,78.445,78.48,3999783.0
2025-09-08,78.93,79.15,78.15,78.77,5386972.0
2025-09-05,81.46,81.57,78.84,79.21,4665676.0
2025-09-04,81.68,81.945,81.24,81.73,3464507.0
2025-09-03,80.62,81.45,80.45,81.34,3581311.0
2025-09-02,81.38,81.45,79.9,81.05,6011617.0
2025-08-29,81.96,82.15,81.195,81.32,4039879.0
2025-08-28,82.22,82.22,81.275,81.6,3269623.0
2025-08-27,82.52,82.885,81.99,82.21,4508615.0
2025-08-26,82.29,82.94,82.06,82.58,4164226.0
2025-08-25,83.22,83.34,82.68,82.79,2445274.0
2025-08-22,83.23,83.78,83.0,83.38,3123661.0
2025-08-21,82.64,82.785,82.16,82.59,3459675.0
2025-08-20,81.63,82.84,81.485,82.53,3424485.0
2025-08-19,80.5,81.33,80.05,81.29,2671966.0
2025-08-18,79.8,80.55,79.36,80.38,3330022.0
2025-08-15,80.46,80.6589,79.97,80.01,3437846.0
2025-08-14,80.07,80.44,79.61,80.31,2524167.0
2025-08-13,78.51,80.08,78.45,79.89,4293723.0
2025-08-12,78.88,79.0,77.985,78.48,5093755.0
2025-08-11,78.69,79.1,78.4,78.63,3839874.0
2025-08-08,77.27,78.68,76.74,78.13,4170850.0
2025-08-07,77.88,78.315,75.26,76.6,5966856.0
2025-08-06,79.09,79.31,78.68,79.06,4238536.0
2025-08-05,78.65,79.12,78.08,78.44,2788760.0
2025-08-04,77.41,78.31,77.11,78.29,4757897.0
2025-08-01,77.4,77.605,76.37,77.0,4438084.0
2025-07-31,77.22,78.53,77.22,77.63,5026516.0
2025-07-30,78.57,78.97,76.85,77.41,4479547.0
2025-07-29,79.73,80.13,78.33,78.92,4504441.0
2025-07-28,79.96,80.23,78.78,79.23,4499300.0
2025-07-25,79.3,80.295,79.25,80.1,4476837.0
2025-07-24,79.04,79.63,78.625,79.23,6072162.0
2025-07-23,80.97,81.05,77.95,79.51,5583963.0
2025-07-22,80.88,81.57,80.6,81.42,3329921.0
2025-07-21,81.33,81.94,80.78,80.78,2928786.0
2025-07-18,81.17,81.55,80.87,81.21,2967468.0
2025-07-17,80.89,81.15,79.61,80.99,3999297.0
2025-07-16,81.66,81.93,80.51,80.99,4054670.0
2025-07-15,81.39,81.765,80.73,81.07,4796306.0
2025-07-14,81.27,82.165,80.77,81.63,6953294.0
2025-07-11,81.92,82.46,81.6,81.78,3324217.0
2025-07-10,82.89,83.01,82.14,82.46,3287089.0
2025-07-09,83.27,83.415,82.66,83.07,2852240.0
2025-07-08,82.79,83.56,82.58,83.2,4206103.0
2025-07-07,83.06,83.335,82.345,83.03,4335148.0
2025-07-03,82.72,83.68,82.602,83.18,2804218.0
2025-07-02,85.56,85.825,82.1,82.36,5205282.0
2025-07-01,85.86,86.47,84.95,85.87,3622945.0
2025-06-30,84.6,85.67,84.48,85.59,4597253.0
2025-06-27,85.02,85.625,84.48,84.59,8170452.0
2025-06-26,84.25,85.21,83.93,84.97,5110732.0
2025-06-25,85.16,85.53,83.77,83.9,5057022.0
2025-06-24,86.0,86.15,85.37,85.46,3174875.0
2025-06-23,85.01,85.9525,84.44,85.82,3886233.0
2025-06-20,84.62,85.51,84.43,85.13,9182835.0
2025-06-18,84.19,85.055,84.01,84.25,4097337.0
2025-06-17,85.11,85.78,83.67,84.22,3385696.0
2025-06-16,85.32,85.88,84.685,85.44,3468649.0
2025-06-13,85.0,85.825,84.375,84.61,3429725.0
2025-06-12,83.73,85.88,83.72,85.8,3526468.0
2025-06-11,84.54,84.85,83.92,84.4,3499767.0
