date,Open,High,Low,Close,Volume
2025-10-31,5.33,5.37,5.26,5.32,2759653.0
2025-10-30,5.38,5.44,5.35,5.35,1003626.0
2025-10-29,5.49,5.49,5.355,5.37,1810134.0
2025-10-28,5.55,5.58,5.49,5.53,1198062.0
2025-10-27,5.73,5.75,5.6,5.6,1374875.0
2025-10-24,5.71,5.75,5.69,5.73,1205859.0
2025-10-23,5.66,5.77,5.65,5.69,7212155.0
2025-10-22,5.66,5.7,5.58,5.67,1962287.0
2025-10-21,5.66,5.73,5.63,5.64,1686469.0
2025-10-20,5.57,5.665,5.55,5.65,1525432.0
2025-10-17,5.55,5.6,5.49,5.53,2999855.0
2025-10-16,5.62,5.81,5.51,5.55,5707392.0
2025-10-15,7.93,8.01,7.81,7.85,2992041.0
2025-10-14,7.68,7.96,7.669,7.91,2433385.0
2025-10-13,7.71,7.73,7.595,7.7,1325245.0
2025-10-10,7.6,7.72,7.4909,7.71,1881270.0
2025-10-09,7.63,7.63,7.535,7.6,1140274.0
2025-10-08,7.63,7.66,7.56,7.6,991652.0
2025-10-07,7.7,7.73,7.61,7.65,1356458.0
2025-10-06,7.81,7.845,7.645,7.71,1883355.0
2025-10-03,7.71,7.8755,7.71,7.79,1153615.0
2025-10-02,7.87,7.91,7.67,7.7,1934558.0
2025-10-01,7.86,8.0,7.86,7.88,1049262.0
2025-09-30,7.74,7.94,7.73,7.93,3502612.0
2025-09-29,7.75,7.82,7.66,7.74,7606619.0
2025-09-26,7.68,8.03,7.68,7.74,2197072.0
2025-09-25,7.72,7.8,7.66,7.68,1599449.0
2025-09-24,7.75,7.775,7.68,7.69,1789727.0
2025-09-23,7.76,7.88,7.695,7.74,1774304.0
2025-09-22,7.89,7.89,7.74,7.78,2107077.0
2025-09-19,7.93,7.94,7.84,7.85,2065617.0
2025-09-18,7.81,7.96,7.78,7.9,3658688.0
2025-09-17,7.86,7.91,7.755,7.8,3673110.0
2025-09-16,7.86,7.98,7.63,7.85,4744017.0
2025-09-15,7.5,7.505,7.4,7.42,1654034.0
2025-09-12,7.6,7.6,7.49,7.51,1305664.0
2025-09-11,7.48,7.63,7.48,7.59,1160540.0
2025-09-10,7.67,7.73,7.48,7.49,1943858.0
2025-09-09,7.68,7.7498,7.67,7.69,1183921.0
2025-09-08,7.78,7.815,7.67,7.71,1200082.0
2025-09-05,7.85,7.885,7.73,7.83,1193327.0
2025-09-04,7.79,7.85,7.7,7.79,927684.0
2025-09-03,7.68,7.77,7.61,7.76,968222.0
2025-09-02,7.75,7.795,7.645,7.7,1392545.0
2025-08-29,7.83,7.865,7.8,7.83,903000.0
2025-08-28,7.91,7.9159,7.755,7.84,839870.0
2025-08-27,7.8,7.9,7.78,7.89,936466.0
2025-08-26,7.76,7.855,7.715,7.79,1762196.0
2025-08-25,7.76,7.83,7.66,7.74,1938422.0
2025-08-22,7.7,7.89,7.67,7.77,2592628.0
2025-08-21,7.63,7.72,7.59,7.64,1455268.0
2025-08-20,7.77,7.89,7.66,7.66,1700478.0
2025-08-19,7.73,7.789,7.66,7.74,1905914.0
2025-08-18,7.86,7.92,7.68,7.68,1126616.0
2025-08-15,7.79,7.9,7.75,7.88,1673679.0
2025-08-14,7.86,7.89,7.75,7.8,1190438.0
2025-08-13,7.65,7.93,7.58,7.91,2486688.0
2025-08-12,7.68,7.8,7.49,7.61,6118448.0
2025-08-11,8.11,8.25,7.87,7.91,3400104.0
2025-08-08,8.38,8.38,7.975,8.04,4207562.0
2025-08-07,8.8,8.82,8.245,8.34,3269874.0
2025-08-06,8.66,8.785,8.633,8.66,1049355.0
2025-08-05,8.48,8.68,8.45,8.68,653781.0
2025-08-04,8.645,8.645,8.385,8.47,927650.0
2025-08-01,8.47,8.495,8.32,8.39,932786.0
2025-07-31,8.39,8.505,8.305,8.41,2129559.0
2025-07-30,8.68,8.68,8.42,8.48,1341486.0
2025-07-29,8.67,8.68,8.6,8.67,1839856.0
2025-07-28,8.64,8.66,8.56,8.6,607541.0
2025-07-25,8.7,8.7,8.62,8.66,557110.0
2025-07-24,8.66,8.75,8.63,8.67,626361.0
2025-07-23,8.79,8.79,8.595,8.66,577009.0
2025-07-22,8.65,8.77,8.64,8.76,489874.0
2025-07-21,8.68,8.775,8.65,8.67,498662.0
2025-07-18,8.67,8.71,8.6,8.65,863169.0
2025-07-17,8.76,8.81,8.64,8.65,454295.0
2025-07-16,8.64,8.795,8.57,8.74,628908.0
2025-07-15,8.71,8.73,8.52,8.6,818220.0
2025-07-14,8.66,8.74,8.64,8.7,807206.0
2025-07-11,8.58,8.72,8.56,8.7,1034924.0
2025-07-10,8.54,8.8,8.54,8.66,1013059.0
2025-07-09,8.61,8.675,8.57,8.58,986058.0
2025-07-08,8.66,8.75,8.565,8.62,1138780.0
2025-07-07,8.74,8.82,8.6,8.64,874474.0
2025-07-03,8.75,8.87,8.75,8.81,493862.0
2025-07-02,8.75,8.79,8.595,8.77,1491628.0
2025-07-01,8.65,8.825,8.635,8.76,1262409.0
2025-06-30,8.71,8.77,8.545,8.65,981050.0
2025-06-27,8.68,8.775,8.615,8.7,1663371.0
2025-06-26,8.38,8.665,8.2801,8.63,996383.0
2025-06-25,8.55,8.63,8.35,8.35,1235035.0
2025-06-24,8.68,8.68,8.515,8.58,803490.0
2025-06-23,8.48,8.66,8.425,8.64,927154.0
2025-06-20,8.57,8.625,8.405,8.48,2068467.0
2025-06-18,8.38,8.59,8.38,8.52,1097735.0
2025-06-17,8.42,8.5,8.36,8.4,1213808.0
2025-06-16,8.37,8.53,8.35,8.45,907339.0
2025-06-13,8.39,8.485,8.28,8.34,1304908.0
2025-06-12,8.3,8.51,8.28,8.47,1037329.0
2025-06-11,8.46,8.495,8.31,8.35,1141632.0
