date,Open,High,Low,Close,Volume
2025-10-31,242.75,254.43,242.75,249.49,5066743.0
2025-10-30,264.5,265.83,261.29,262.03,2712652.0
2025-10-29,265.62,268.85,261.04,262.02,3165319.0
2025-10-28,277.24,279.0,266.71,267.5,2838830.0
2025-10-27,280.56,281.66,278.1,279.0,930396.0
2025-10-24,282.5,284.17,280.29,280.73,1437242.0
2025-10-23,283.03,284.325,280.4101,282.49,1086919.0
2025-10-22,279.52,284.06,277.92,283.04,1405959.0
2025-10-21,278.8,280.595,277.22,279.01,1424058.0
2025-10-20,280.22,280.82,275.7329,279.26,1171205.0
2025-10-17,280.62,284.3,277.95,280.47,1415287.0
2025-10-16,287.27,288.33,276.5,280.17,2379717.0
2025-10-15,301.73,304.57,295.36,296.16,2451563.0
2025-10-14,298.45,303.98,296.87,303.73,1234641.0
2025-10-13,299.05,301.71,295.78,298.0,1176167.0
2025-10-10,304.3,305.74,300.66,301.74,1184572.0
2025-10-09,307.11,307.11,301.29,302.25,761610.0
2025-10-08,310.35,310.35,306.84,306.94,636938.0
2025-10-07,310.39,313.09,308.18,309.81,863762.0
2025-10-06,310.5,311.67,307.68,309.15,1053640.0
2025-10-03,307.78,313.55,307.585,310.48,767240.0
2025-10-02,303.07,308.72,302.0,308.67,1004339.0
2025-10-01,307.87,309.5,303.35,305.84,1864306.0
2025-09-30,305.0,310.49,304.465,309.74,1671255.0
2025-09-29,303.15,305.86,301.095,305.71,1355603.0
2025-09-26,304.92,308.8,303.18,304.15,877053.0
2025-09-25,305.06,306.885,300.815,303.08,1366884.0
2025-09-24,302.48,305.69,300.84,304.55,1125494.0
2025-09-23,299.85,304.53,299.005,304.36,1602058.0
2025-09-22,299.11,300.515,296.4858,300.06,1446940.0
2025-09-19,300.4,301.2,296.435,299.65,2605274.0
2025-09-18,293.0,297.02,291.3083,296.74,1405728.0
2025-09-17,293.05,295.21,291.99,292.66,1248129.0
2025-09-16,287.81,292.75,285.8,291.46,1175792.0
2025-09-15,297.16,298.16,288.2,289.4,1169957.0
2025-09-12,299.01,300.81,297.22,297.28,1302078.0
2025-09-11,293.6,301.02,292.575,300.61,1335113.0
2025-09-10,297.34,298.32,292.83,293.18,1854736.0
2025-09-09,298.24,300.436,297.23,298.5,1119301.0
2025-09-08,298.31,300.0,295.139,299.12,1153122.0
2025-09-05,299.24,300.87,296.43,299.18,1217177.0
2025-09-04,304.96,305.48,300.08,300.22,1282371.0
2025-09-03,304.0,305.95,301.67,303.7,1831463.0
2025-09-02,303.17,303.245,299.14,302.57,1673483.0
2025-08-29,299.68,303.17,298.635,302.75,1472424.0
2025-08-28,297.88,299.93,296.62,299.62,769117.0
2025-08-27,299.88,302.4,298.67,298.72,1513535.0
2025-08-26,298.06,300.27,295.74,300.2,2312415.0
2025-08-25,302.0,303.09,298.62,298.62,1020592.0
2025-08-22,306.68,307.38,302.46,303.17,1165433.0
2025-08-21,302.78,306.39,301.26,305.38,1154636.0
2025-08-20,302.09,305.13,300.64,302.64,1568451.0
