date,Open,High,Low,Close,Volume
2025-10-31,458.65,458.65,442.2,452.77,1003206.0
2025-10-30,462.77,466.2,451.02,454.11,1265422.0
2025-10-29,477.95,483.32,475.87,478.54,676740.0
2025-10-28,483.41,487.66,480.19,484.54,429724.0
2025-10-27,483.46,486.575,480.68,484.63,488783.0
2025-10-24,480.45,482.84,477.7801,479.18,309793.0
2025-10-23,476.6,479.68,472.445,478.15,374592.0
2025-10-22,479.4,481.84,472.1301,472.75,583560.0
2025-10-21,471.62,481.72,471.62,479.36,532533.0
2025-10-20,472.03,476.715,472.03,472.68,761780.0
2025-10-17,468.05,470.7099,463.0,470.25,1065274.0
2025-10-16,482.19,484.3593,463.985,467.73,600228.0
2025-10-15,490.22,493.69,478.52,481.27,500548.0
2025-10-14,477.8,492.485,477.8,486.52,448299.0
2025-10-13,486.13,487.335,480.305,481.81,404124.0
2025-10-10,493.23,496.16,478.565,479.43,460597.0
2025-10-09,493.64,495.62,487.88,491.38,324621.0
2025-10-08,498.41,498.41,489.82,490.17,540725.0
2025-10-07,497.07,500.4799,494.14,497.79,528979.0
2025-10-06,491.88,496.13,488.79,493.81,350696.0
2025-10-03,490.7,493.805,486.4842,492.0,455413.0
2025-10-02,487.2,494.45,487.2,490.66,490069.0
2025-10-01,489.7,489.78,481.17,486.6,508868.0
2025-09-30,499.22,501.73,488.57,491.25,743772.0
2025-09-29,499.82,501.005,496.67,499.59,477954.0
2025-09-26,500.0,505.555,497.02,499.29,625173.0
2025-09-25,491.0,496.25,488.26,491.95,382297.0
2025-09-24,494.53,496.74,489.61,491.89,376690.0
2025-09-23,493.53,500.715,490.31,494.13,389995.0
2025-09-22,487.65,496.03,484.38,494.36,551438.0
2025-09-19,491.0,491.08,486.34,489.52,1500975.0
2025-09-18,488.68,495.455,487.72,491.39,561212.0
2025-09-17,486.91,493.4325,482.41,486.17,771196.0
2025-09-16,488.12,489.1025,483.635,486.13,576356.0
2025-09-15,498.59,498.59,486.42,487.65,632817.0
2025-09-12,501.26,501.56,495.881,497.08,302148.0
2025-09-11,492.32,501.13,490.48,500.97,465016.0
2025-09-10,492.82,497.14,489.26,492.0,415562.0
2025-09-09,490.685,498.53,488.095,493.34,434914.0
2025-09-08,491.34,493.645,485.3087,492.44,594402.0
2025-09-05,511.5,511.875,487.64,489.28,678087.0
2025-09-04,509.99,513.04,505.9775,511.9,454111.0
2025-09-03,510.36,513.8975,501.785,507.2,417256.0
2025-09-02,509.71,512.845,503.595,512.82,384708.0
2025-08-29,517.18,521.83,513.52,514.81,418838.0
2025-08-28,519.16,520.0,515.52,516.63,353090.0
2025-08-27,516.47,521.305,515.9,518.26,273940.0
2025-08-26,509.05,517.0,508.61,516.89,466591.0
2025-08-25,516.49,518.2104,508.82,511.49,350188.0
2025-08-22,508.66,520.78,506.13,516.92,442126.0
2025-08-21,503.63,505.475,499.21,505.23,305123.0
2025-08-20,504.84,507.07,501.45,505.4,443042.0
2025-08-19,504.51,508.66,504.16,506.26,338734.0
2025-08-18,501.43,506.41,501.17,505.63,365792.0
2025-08-15,515.0,515.65,502.74,503.08,424794.0
2025-08-14,508.21,516.025,503.8,513.69,467390.0
2025-08-13,519.12,521.065,498.005,509.26,625313.0
2025-08-12,510.0,517.16,505.435,517.0,371357.0
2025-08-11,506.31,509.3699,504.05,506.65,356984.0
2025-08-08,501.84,505.235,499.49,504.96,331750.0
2025-08-07,509.95,511.3651,497.55,498.45,399588.0
2025-08-06,506.64,509.15,503.99,508.43,349772.0
2025-08-05,509.29,512.095,503.0775,505.03,267302.0
2025-08-04,503.28,509.33,503.28,506.28,306446.0
2025-08-01,508.3,509.04,496.655,501.52,496337.0
2025-07-31,518.18,525.385,514.74,518.19,553273.0
2025-07-30,524.23,526.35,515.965,519.75,483635.0
2025-07-29,522.68,524.92,517.29,520.99,420126.0
2025-07-28,521.17,530.14,517.3,518.45,456183.0
2025-07-25,516.7,527.405,516.035,521.06,465240.0
2025-07-24,519.175,519.44,500.9078,517.1,864530.0
2025-07-23,538.85,539.535,533.64,536.96,462009.0
2025-07-22,535.66,537.895,530.85,536.58,305823.0
2025-07-21,544.72,545.0,533.9,534.51,329221.0
2025-07-18,542.0,544.71,539.37,544.55,406246.0
2025-07-17,523.32,540.405,523.32,539.82,477550.0
2025-07-16,524.54,527.58,516.28,524.84,429576.0
2025-07-15,537.08,537.08,522.4,522.67,559698.0
2025-07-14,535.82,540.8723,535.3,538.98,355859.0
2025-07-11,538.52,539.51,534.67,536.31,358608.0
2025-07-10,541.9,547.735,540.7501,542.51,408115.0
2025-07-09,540.48,541.9,534.85,539.47,350630.0
2025-07-08,538.47,539.9025,535.12,536.07,385696.0
2025-07-07,544.0,548.47,533.34,536.42,455864.0
2025-07-03,541.85,545.25,538.665,543.3,264141.0
2025-07-02,539.36,542.96,535.4,542.44,520948.0
2025-07-01,530.89,541.0,526.27,538.6,401950.0
2025-06-30,529.84,534.34,527.82,533.73,442144.0
2025-06-27,527.44,533.56,523.17,528.07,655105.0
2025-06-26,524.03,527.0,517.1154,525.48,616507.0
2025-06-25,523.11,524.42,517.68,524.02,356964.0
2025-06-24,524.26,527.6575,520.275,521.34,537115.0
2025-06-23,511.63,519.96,506.75,518.96,504816.0
2025-06-20,509.47,510.9918,503.73,510.35,976393.0
2025-06-18,506.69,514.035,505.27,506.43,541394.0
2025-06-17,508.62,512.25,504.2,506.74,340908.0
2025-06-16,507.56,517.13,506.38,512.91,359420.0
2025-06-13,508.33,510.879,500.075,501.68,393339.0
2025-06-12,509.72,516.87,507.05,515.55,350269.0
2025-06-11,515.3,519.25,513.505,515.65,335979.0
