date,Open,High,Low,Close,Volume
2025-10-31,161.09,162.115,155.74,157.69,6209297.0
2025-10-30,162.47,164.94,158.4,158.44,6911343.0
2025-10-29,157.21,162.4,156.78,162.03,6901369.0
2025-10-28,156.62,158.66,152.33,156.77,5037350.0
2025-10-27,157.41,157.7,155.01,156.81,5509109.0
2025-10-24,155.0,155.83,152.2972,153.82,5170784.0
2025-10-23,146.78,153.95,146.64,152.76,7327398.0
2025-10-22,145.865,147.49,141.68,146.59,7349169.0
2025-10-21,145.45,147.61,144.14,145.94,3648908.0
2025-10-20,146.325,149.88,146.19,146.48,6120657.0
2025-10-17,143.01,144.5,139.24,143.1,6533933.0
2025-10-16,144.9,147.65,143.8601,146.01,6909486.0
2025-10-15,140.42,145.39,140.11,143.38,8686963.0
2025-10-14,142.985,143.02,136.7901,138.79,13672418.0
2025-10-13,160.76,162.0,145.09,147.45,14233870.0
2025-10-10,159.86,162.68,153.74,154.1,10459279.0
2025-10-09,157.0,159.8,154.6014,158.23,8459919.0
2025-10-08,147.99,158.51,147.405,157.36,11283444.0
2025-10-07,150.48,151.55,143.28,145.29,7348652.0
2025-10-06,151.6,153.73,149.5,149.5,7277578.0
2025-10-03,146.01,149.09,144.1,145.5,7178623.0
2025-10-02,150.0,150.54,141.25,144.46,9473784.0
2025-10-01,144.65,149.95,143.02,149.27,7820686.0
2025-09-30,143.43,145.84,143.16,145.71,5828944.0
2025-09-29,144.92,147.8,142.62,143.37,6183567.0
2025-09-26,144.09,144.4,140.76,142.5,4867696.0
2025-09-25,141.69,143.24,139.23,143.06,6325288.0
2025-09-24,144.68,144.68,141.29,142.64,7035668.0
2025-09-23,144.86,147.46,143.02,144.09,8215500.0
2025-09-22,148.78,149.71,145.055,145.4,8675204.0
2025-09-19,148.9,150.25,146.67,149.61,17810916.0
2025-09-18,144.0,146.7199,143.425,146.66,6938977.0
2025-09-17,142.635,143.425,138.5,142.84,8295409.0
2025-09-16,145.26,147.37,141.0,142.16,9382392.0
2025-09-15,139.6,146.9,139.17,145.43,12140824.0
2025-09-12,149.18,149.47,139.02,139.39,17920366.0
2025-09-11,151.99,156.32,150.36,153.04,13666202.0
2025-09-10,145.56,151.71,144.9,150.72,19772546.0
2025-09-09,140.97,142.8814,139.51,141.91,6158540.0
2025-09-08,143.8,144.1,139.84,140.01,7925545.0
2025-09-05,144.13,145.46,140.25,142.85,9567530.0
2025-09-04,138.93,142.5,138.73,141.17,8365002.0
2025-09-03,135.68,137.91,134.8574,137.38,6779572.0
2025-09-02,132.41,136.605,131.0,135.87,7415192.0
2025-08-29,135.51,137.671,134.48,136.55,7959576.0
2025-08-28,131.5,136.835,130.35,136.23,8372464.0
2025-08-27,134.24,134.96,132.688,133.27,6271568.0
2025-08-26,132.79,134.9402,132.21,134.27,7242096.0
2025-08-25,133.58,133.77,130.33,133.04,5341214.0
2025-08-22,130.7,135.0,129.36,133.25,7362082.0
2025-08-21,130.67,132.16,129.33,132.03,5873702.0
2025-08-20,131.3,132.119,127.58,131.47,9449827.0
2025-08-19,137.0,137.62,131.91,132.78,9630349.0
