date,Open,High,Low,Close,Volume
2025-10-31,336.43,348.61,334.8,340.68,2460245.0
2025-10-30,328.07,330.71,326.51,328.19,2212681.0
2025-10-29,327.93,329.19,324.28,326.07,1532198.0
2025-10-28,335.21,335.21,329.0,329.96,1212822.0
2025-10-27,337.0,338.61,335.24,336.87,1438813.0
2025-10-24,340.5,342.33,337.34,337.73,842209.0
2025-10-23,343.0,343.4,338.25,341.35,1238241.0
2025-10-22,343.32,344.29,340.51,343.1,1189537.0
2025-10-21,343.8,346.37,342.18,343.43,981539.0
2025-10-20,347.22,347.22,341.4,344.11,935111.0
2025-10-17,344.07,348.31,344.055,346.6,2057521.0
2025-10-16,348.92,349.04,337.92,343.12,1820374.0
2025-10-15,357.49,359.97,353.93,355.8,1094688.0
2025-10-14,353.78,360.82,352.4,360.51,845702.0
2025-10-13,357.11,359.555,351.865,353.36,728750.0
2025-10-10,362.26,363.29,359.18,360.15,628080.0
2025-10-09,365.6,367.25,359.92,360.42,692525.0
2025-10-08,366.49,370.31,364.935,365.38,1114354.0
2025-10-07,366.25,369.68,364.33,366.93,852908.0
2025-10-06,364.07,367.0,362.12,365.7,1109165.0
2025-10-03,359.95,365.98,359.4908,363.81,666880.0
2025-10-02,357.47,362.23,354.605,360.73,621276.0
2025-10-01,355.15,360.14,353.31,360.13,1444867.0
2025-09-30,354.52,357.01,351.795,356.58,1022835.0
2025-09-29,355.01,356.62,352.555,354.62,1059568.0
2025-09-26,354.17,358.99,351.49,356.08,824595.0
2025-09-25,355.46,356.74,349.15,351.64,1291128.0
2025-09-24,352.84,356.28,352.5,353.74,981312.0
2025-09-23,353.4,356.58,349.3293,353.07,1761201.0
2025-09-22,350.56,355.21,349.21,353.46,1275903.0
2025-09-19,354.185,355.395,348.64,351.32,3728789.0
2025-09-18,355.64,357.8285,352.69,352.76,1392958.0
2025-09-17,357.97,361.235,355.22,358.0,1426892.0
2025-09-16,361.26,362.76,356.15,356.57,1351555.0
2025-09-15,371.9,373.6,363.2,363.8,933789.0
2025-09-12,371.56,374.05,369.805,371.95,844377.0
2025-09-11,366.09,372.39,364.79,372.25,1614304.0
2025-09-10,364.78,365.36,361.08,362.37,798913.0
2025-09-09,369.93,370.478,365.86,366.38,1019889.0
2025-09-08,370.54,370.54,365.47,370.01,1043504.0
2025-09-05,372.91,375.635,368.04,370.54,788992.0
2025-09-04,375.48,375.87,370.85,373.49,751288.0
2025-09-03,372.68,375.0,368.27,374.0,1170124.0
2025-09-02,367.63,372.75,365.96,371.96,1285559.0
2025-08-29,367.85,368.555,365.79,367.0,774627.0
2025-08-28,367.77,368.04,364.03,366.54,711245.0
2025-08-27,369.9,371.09,368.02,368.37,931628.0
2025-08-26,369.14,371.11,367.02,369.0,1449861.0
2025-08-25,374.11,376.69,370.73,370.94,1025887.0
2025-08-22,377.45,378.7,373.85,375.1,1190563.0
2025-08-21,372.5,375.77,371.1701,375.27,1126172.0
2025-08-20,373.93,378.68,372.7195,374.0,1104953.0
2025-08-19,367.09,373.36,366.24,372.86,1111163.0
2025-08-18,366.08,369.78,365.21,365.37,1323892.0
2025-08-15,367.2,370.7,365.21,367.01,1181068.0
2025-08-14,371.04,372.04,365.135,366.35,1292984.0
2025-08-13,366.81,372.46,365.59,370.92,1316792.0
2025-08-12,368.48,368.655,360.25,363.81,2994305.0
2025-08-11,366.95,370.335,365.46,368.09,1274729.0
2025-08-08,367.0,367.01,363.575,366.4,1095233.0
2025-08-07,363.71,366.66,361.25,365.03,1843679.0
2025-08-06,363.2,364.335,358.32,363.68,931793.0
2025-08-05,360.79,364.13,359.78,361.6,1201492.0
2025-08-04,353.78,360.88,351.575,360.4,1133741.0
2025-08-01,356.68,356.68,351.44,353.46,1640942.0
2025-07-31,352.91,360.17,352.91,355.71,1387431.0
2025-07-30,356.0,359.53,353.73,355.34,1526215.0
2025-07-29,369.16,369.16,352.025,354.03,2218368.0
2025-07-28,371.3,373.5468,367.565,369.16,1503381.0
2025-07-25,368.51,381.0,368.51,372.89,2251487.0
2025-07-24,357.17,359.7525,356.01,356.61,1515517.0
2025-07-23,355.61,357.43,351.16,357.28,1679588.0
2025-07-22,351.98,355.815,351.6,354.22,1960917.0
2025-07-21,356.15,356.61,350.75,350.91,1072337.0
2025-07-18,354.965,358.5,352.4,356.11,1079879.0
2025-07-17,352.61,356.49,351.35,354.63,1220240.0
2025-07-16,355.25,355.25,349.6401,354.56,1150957.0
2025-07-15,357.59,359.53,352.38,352.38,1104213.0
2025-07-14,356.88,360.0,353.8262,359.82,764384.0
2025-07-11,357.75,360.57,355.1,355.67,857264.0
2025-07-10,356.54,359.88,355.705,359.0,1116755.0
2025-07-09,353.85,357.27,352.19,356.92,875084.0
2025-07-08,350.69,357.02,348.0279,354.57,2507968.0
2025-07-07,354.25,356.19,351.54,353.23,1183263.0
2025-07-03,352.87,356.31,351.4923,354.76,640714.0
2025-07-02,354.9,358.6,345.78,351.55,1272554.0
2025-07-01,357.13,359.065,353.44,356.93,883242.0
2025-06-30,352.31,357.53,351.21,356.76,1029212.0
2025-06-27,353.51,356.675,351.12,352.73,4487855.0
2025-06-26,355.0,356.76,352.0,353.55,1056830.0
2025-06-25,360.5,360.5,354.425,354.46,1074106.0
2025-06-24,361.09,361.47,355.17,360.68,1270001.0
2025-06-23,354.095,360.38,353.44,359.95,1176587.0
2025-06-20,351.47,357.19,351.46,354.7,1775274.0
2025-06-18,350.81,353.425,347.75,350.83,1035597.0
2025-06-17,348.54,351.59,346.695,350.81,1171341.0
2025-06-16,353.99,355.79,349.39,350.04,1694077.0
2025-06-13,353.6,356.25,352.41,353.0,1025291.0
2025-06-12,351.54,356.11,349.75,355.78,1366409.0
2025-06-11,350.55,352.045,347.42,349.48,1616664.0
