date,Open,High,Low,Close,Volume
2025-10-31,244.02,244.02,239.03,242.59,2161574.0
2025-10-30,246.83,248.6921,244.4,244.66,1090558.0
2025-10-29,253.63,254.125,247.83,248.34,1142962.0
2025-10-28,255.75,256.94,253.8101,254.43,996703.0
2025-10-27,255.75,257.45,254.6,255.76,914817.0
2025-10-24,255.38,256.9,253.58,254.91,829492.0
2025-10-23,254.54,255.785,251.73,254.93,956374.0
2025-10-22,254.04,255.22,252.3086,253.15,1098314.0
2025-10-21,254.21,256.84,253.56,254.71,1058772.0
2025-10-20,254.23,255.32,252.84,254.21,969067.0
2025-10-17,254.02,255.46,251.16,253.2,1324471.0
2025-10-16,256.09,257.0,251.76,253.18,2119395.0
2025-10-15,262.79,264.56,255.44,257.41,1161771.0
2025-10-14,258.1,266.1,258.01,262.0,1343457.0
2025-10-13,259.43,262.485,258.735,260.86,856183.0
2025-10-10,262.93,264.07,256.96,257.08,896216.0
2025-10-09,268.14,269.46,261.6,262.71,1069527.0
2025-10-08,269.8,270.1,267.74,268.58,853832.0
2025-10-07,270.3,273.16,269.2901,270.89,745527.0
2025-10-06,271.35,273.61,270.15,270.95,909062.0
2025-10-03,269.83,272.02,268.27,271.47,841941.0
2025-10-02,267.68,274.83,267.68,270.6,1421325.0
2025-10-01,269.46,272.36,265.91,268.7,1216006.0
2025-09-30,269.94,272.88,268.61,272.72,1616271.0
2025-09-29,267.76,273.52,266.42,270.48,1949258.0
2025-09-26,267.12,269.21,265.1,266.78,1178718.0
2025-09-25,271.26,271.71,265.32,265.78,1973576.0
2025-09-24,278.1,278.1,271.3,272.28,1284341.0
2025-09-23,288.06,288.56,274.71,276.58,1911916.0
2025-09-22,287.91,290.96,286.3,287.49,834890.0
2025-09-19,293.0,293.07,288.67,290.15,1374442.0
2025-09-18,290.28,293.06,288.01,292.45,678019.0
2025-09-17,286.48,294.71,284.3655,290.63,957121.0
2025-09-16,288.43,290.355,282.64,284.95,735932.0
2025-09-15,294.06,296.69,289.43,289.52,1002557.0
2025-09-12,295.7,298.31,292.75,292.82,985980.0
2025-09-11,288.0,294.89,286.77,294.52,716429.0
2025-09-10,285.53,288.305,283.73,287.5,801630.0
2025-09-09,288.3,289.01,285.37,287.14,440360.0
2025-09-08,289.37,289.37,286.16,288.91,717214.0
2025-09-05,290.96,292.69,287.97,289.86,544532.0
2025-09-04,291.66,291.99,286.2201,289.97,579650.0
2025-09-03,291.23,292.595,290.43,291.28,604667.0
2025-09-02,292.13,293.4564,290.9612,292.19,868680.0
2025-08-29,295.51,296.39,293.17,294.11,510794.0
2025-08-28,295.42,297.3,293.245,295.02,541777.0
2025-08-27,293.06,295.62,293.06,294.59,543390.0
2025-08-26,293.74,294.6,292.84,293.97,660733.0
2025-08-25,298.81,300.0,293.55,294.17,403842.0
2025-08-22,295.0,301.105,294.57,299.3,765247.0
2025-08-21,290.96,293.67,290.26,293.52,777189.0
2025-08-20,290.57,294.39,289.265,292.37,534087.0
2025-08-19,288.58,291.7324,288.17,290.22,962406.0
2025-08-18,288.1,290.38,287.105,288.14,607209.0
2025-08-15,293.19,293.29,289.975,290.46,1033343.0
2025-08-14,291.92,292.41,288.36,292.17,1208358.0
2025-08-13,289.84,294.25,288.76,294.21,902496.0
2025-08-12,285.34,289.6,284.15,289.27,1061420.0
2025-08-11,288.87,290.02,280.76,283.95,1115155.0
2025-08-08,288.84,290.29,287.38,288.74,1372310.0
2025-08-07,292.0,293.14,287.77,288.56,670677.0
2025-08-06,293.17,293.28,288.96,289.05,560633.0
2025-08-05,289.0,293.02,289.0,292.48,773480.0
2025-08-04,282.28,287.635,282.28,287.48,855530.0
2025-08-01,285.17,285.17,278.405,281.75,1072181.0
2025-07-31,292.54,296.51,285.9901,287.88,1544283.0
2025-07-30,294.78,294.78,288.32,290.13,1539755.0
2025-07-29,296.05,296.49,293.46,295.19,654101.0
2025-07-28,297.83,297.87,294.69,295.56,661933.0
2025-07-25,297.48,299.53,294.55,299.24,712970.0
2025-07-24,297.3,298.46,295.21,297.22,686563.0
2025-07-23,299.54,300.5155,297.0301,297.89,654596.0
2025-07-22,294.03,298.25,293.825,298.13,739496.0
2025-07-21,296.09,297.025,293.6001,293.72,727878.0
2025-07-18,292.92,296.07,291.5,295.31,2097653.0
2025-07-17,288.27,294.0,288.27,293.58,1254264.0
2025-07-16,286.64,289.88,284.89,288.99,959449.0
2025-07-15,292.04,292.04,284.245,286.65,817013.0
2025-07-14,290.38,292.095,288.9,290.8,617622.0
2025-07-11,291.61,292.42,288.7549,291.97,1042269.0
2025-07-10,294.62,297.38,293.6,294.1,982171.0
2025-07-09,292.82,295.55,290.47,294.24,1040418.0
2025-07-08,290.34,292.96,287.88,292.35,968597.0
2025-07-07,290.38,291.295,287.55,289.02,979737.0
2025-07-03,288.46,292.67,288.46,291.84,682381.0
2025-07-02,286.04,290.51,285.06,290.3,1113771.0
2025-07-01,278.44,287.23,276.49,285.47,1324425.0
2025-06-30,281.13,283.32,278.1,282.06,1286079.0
2025-06-27,282.15,284.75,281.42,282.35,2433377.0
2025-06-26,282.75,283.34,280.96,283.0,1462817.0
2025-06-25,281.0,282.7,280.215,282.0,1617307.0
2025-06-24,274.43,281.02,273.1301,281.0,1580694.0
2025-06-23,270.0,273.37,266.5387,273.18,1133071.0
2025-06-20,276.05,276.2508,270.47,270.5,2050312.0
