date,Open,High,Low,Close,Volume
2025-10-31,81.1,82.11,80.7,81.1,2988791.0
2025-10-30,81.35,84.4,80.67,82.12,2916526.0
2025-10-29,85.85,87.395,85.48,85.77,2739621.0
2025-10-28,85.99,87.32,85.275,86.64,1680903.0
2025-10-27,86.86,87.0,85.53,86.11,1130430.0
2025-10-24,85.99,86.49,85.37,86.19,1195748.0
2025-10-23,84.51,85.749,84.51,84.97,1410697.0
2025-10-22,85.21,86.11,83.67,84.48,1503667.0
2025-10-21,83.91,86.67,83.29,85.59,1900074.0
2025-10-20,83.31,83.93,82.86,83.4,1177063.0
2025-10-17,82.92,83.88,82.14,82.76,1815392.0
2025-10-16,83.94,84.53,82.74,83.49,1513253.0
2025-10-15,83.2,84.06,82.73,83.64,1505571.0
2025-10-14,80.25,83.09,79.9624,82.73,1140849.0
2025-10-13,81.52,82.3,81.19,81.7,1380102.0
2025-10-10,83.9,84.442,80.61,80.7,1689849.0
2025-10-09,84.28,84.28,82.01,82.71,2528515.0
2025-10-08,86.08,86.08,84.105,84.46,1750929.0
2025-10-07,87.59,87.62,84.68,85.26,2243737.0
2025-10-06,88.35,88.8,87.38,87.6,1719396.0
2025-10-03,87.38,88.24,87.15,87.98,1918427.0
2025-10-02,87.5,87.73,85.97,87.36,1842702.0
2025-10-01,86.03,87.67,85.88,87.1,1912899.0
2025-09-30,85.83,86.38,84.915,86.22,1306242.0
2025-09-29,87.0,87.0,85.42,85.77,1246399.0
2025-09-26,84.87,86.33,84.7,86.22,1255099.0
2025-09-25,83.79,84.845,83.16,84.72,1870130.0
2025-09-24,84.82,85.73,84.23,85.04,2193457.0
2025-09-23,85.93,86.5,85.15,85.46,2121914.0
2025-09-22,85.57,86.12,84.99,85.39,1991987.0
2025-09-19,85.09,86.43,84.065,85.28,5223118.0
2025-09-18,83.21,85.57,82.505,85.37,2137017.0
2025-09-17,83.0,84.6467,81.9,82.88,1788727.0
2025-09-16,82.74,83.3,81.14,83.12,2903919.0
2025-09-15,82.95,84.08,82.577,82.8,1586484.0
2025-09-12,84.72,84.72,82.585,82.79,1662282.0
2025-09-11,82.5,84.47,82.2,83.72,2399329.0
2025-09-10,81.725,82.11,80.46,81.61,2738619.0
2025-09-09,82.15,82.74,80.775,82.14,1661249.0
2025-09-08,80.26,82.345,79.5,82.3,2073923.0
2025-09-05,81.4,82.05,79.69,80.44,2586517.0
2025-09-04,79.78,80.62,79.32,80.45,1807737.0
2025-09-03,78.86,80.46,78.8,79.63,3121924.0
2025-09-02,78.12,78.89,77.5,78.39,3164281.0
2025-08-29,80.37,80.64,79.08,79.53,1834099.0
2025-08-28,80.28,80.52,79.195,80.3,2062341.0
2025-08-27,80.5,81.13,79.46,79.95,2562787.0
2025-08-26,78.52,80.02,78.5,79.88,3674503.0
2025-08-25,78.02,79.035,77.98,78.83,1601105.0
2025-08-22,74.9,78.44,74.15,78.43,2149473.0
2025-08-21,74.36,74.54,73.285,74.37,1679277.0
2025-08-20,75.15,76.05,74.6,75.15,2470908.0
2025-08-19,75.89,77.09,75.46,76.14,1563059.0
2025-08-18,74.1,76.16,74.0058,75.71,3216416.0
2025-08-15,74.5,74.85,73.96,74.18,1896384.0
2025-08-14,73.35,74.4,72.45,74.29,2727372.0
2025-08-13,71.88,74.76,71.5801,74.72,2879180.0
2025-08-12,67.2,71.77,67.06,71.7,4128122.0
2025-08-11,67.42,68.15,66.6,66.78,2344048.0
2025-08-08,65.66,67.08,65.41,66.9,1948328.0
2025-08-07,65.84,66.29,65.3,65.8,3082704.0
2025-08-06,65.83,66.08,64.81,65.12,2209578.0
2025-08-05,65.68,65.68,63.495,64.78,7144625.0
2025-08-04,66.2,66.28,64.63,64.86,2657365.0
2025-08-01,67.65,67.65,65.31,65.65,2788315.0
2025-07-31,68.23,69.79,66.4,68.64,3932597.0
2025-07-30,68.59,68.69,66.25,66.68,4595872.0
2025-07-29,70.04,70.37,68.19,68.24,2638610.0
2025-07-28,70.72,70.98,69.69,69.87,2013592.0
2025-07-25,70.77,71.22,69.805,70.91,1807192.0
2025-07-24,70.94,71.45,69.75,70.46,2319738.0
2025-07-23,71.51,72.4297,70.9525,71.91,2083509.0
2025-07-22,69.05,70.2,68.3,69.97,1851081.0
2025-07-21,68.76,69.07,67.51,69.0,1894132.0
2025-07-18,70.29,70.45,67.95,68.2,2481534.0
2025-07-17,69.91,70.54,69.35,70.27,1594524.0
2025-07-16,70.0,70.31,69.05,70.13,1834734.0
2025-07-15,70.67,70.775,69.18,69.3,1468268.0
2025-07-14,69.97,71.42,69.3512,70.48,2520649.0
2025-07-11,70.52,70.84,69.16,69.28,1995459.0
2025-07-10,71.29,71.53,69.89,70.58,2978943.0
2025-07-09,71.8,71.89,70.72,70.92,2474751.0
2025-07-08,72.63,72.71,71.34,71.46,2888991.0
2025-07-07,71.02,72.54,70.72,72.03,2123245.0
2025-07-03,72.97,73.0,71.86,72.56,1048551.0
2025-07-02,71.95,72.83,71.42,72.19,2512286.0
2025-07-01,68.02,71.68,67.45,71.67,2385533.0
2025-06-30,68.68,68.77,67.83,68.22,2017239.0
2025-06-27,68.1,69.49,67.89,68.78,2147951.0
2025-06-26,67.41,69.04,67.35,67.94,1807189.0
2025-06-25,68.36,68.55,66.98,67.41,2020738.0
2025-06-24,67.4,68.48,67.045,68.45,3698592.0
2025-06-23,65.97,66.709,65.03,66.51,2513874.0
2025-06-20,68.24,68.435,66.34,67.05,6297119.0
2025-06-18,67.59,68.36,67.45,67.66,2742426.0
2025-06-17,68.76,69.31,67.38,67.6,2590254.0
2025-06-16,68.64,69.56,67.89,69.18,2158762.0
2025-06-13,68.84,69.31,66.55,67.25,2105373.0
2025-06-12,69.0,70.11,68.5623,69.68,1616717.0
2025-06-11,70.8,71.23,69.95,70.19,2599149.0
