date,Open,High,Low,Close,Volume
2025-10-31,56.0,58.695,55.3,58.22,4149914.0
2025-10-30,55.34,58.055,55.02,56.37,7501164.0
2025-10-29,62.2,63.605,57.615,58.76,7089062.0
2025-10-28,69.78,69.78,62.56,62.94,12272885.0
2025-10-27,77.93,78.0,76.915,77.87,1404034.0
2025-10-24,77.69,78.51,77.27,77.41,1314785.0
2025-10-23,77.73,78.2899,76.88,76.91,1191776.0
2025-10-22,77.09,78.29,76.69,77.77,1195808.0
2025-10-21,76.81,77.195,75.835,76.79,1329056.0
2025-10-20,75.27,77.3575,75.235,76.73,1653239.0
2025-10-17,75.12,75.99,74.2704,74.99,1229868.0
2025-10-16,76.66,77.295,75.11,75.23,1933008.0
2025-10-15,75.62,78.54,75.5001,76.21,1588219.0
2025-10-14,73.62,75.36,73.38,75.07,1314709.0
2025-10-13,73.88,74.2899,72.83,73.87,1560471.0
2025-10-10,74.45,74.5,72.9045,73.92,2721515.0
2025-10-09,75.22,76.23,74.02,74.43,2504738.0
2025-10-08,77.5,78.75,75.16,75.22,3464476.0
2025-10-07,80.1,80.5,77.88,78.09,3016440.0
2025-10-06,84.11,84.3,79.76,79.99,2214090.0
2025-10-03,84.33,85.37,83.58,83.8,1999499.0
2025-10-02,83.1,83.97,82.52,83.7,1119840.0
2025-10-01,82.11,83.625,81.47,83.46,1307114.0
2025-09-30,82.95,83.42,81.78,83.34,1300712.0
2025-09-29,84.34,84.53,83.07,84.42,1451354.0
2025-09-26,84.645,85.15,82.61,83.85,1333439.0
2025-09-25,85.51,85.78,84.1,84.16,1074283.0
2025-09-24,86.51,86.74,85.85,85.89,909988.0
2025-09-23,86.74,87.54,86.35,86.97,985643.0
2025-09-22,85.98,86.32,84.88,85.89,1172014.0
2025-09-19,88.07,88.236,86.15,86.19,3863010.0
2025-09-18,86.37,87.85,85.6253,87.45,1408032.0
2025-09-17,86.08,88.0,85.14,85.14,1144144.0
2025-09-16,86.02,86.58,84.86,85.75,1068402.0
2025-09-15,85.77,86.2,84.62,85.57,1284193.0
2025-09-12,84.91,85.8,84.215,84.92,1560059.0
2025-09-11,84.18,85.8,84.18,84.74,1314398.0
2025-09-10,83.64,84.6412,83.415,84.0,1326968.0
2025-09-09,85.365,85.365,83.47,83.72,1269731.0
2025-09-08,83.78,85.79,83.1772,85.56,1499812.0
2025-09-05,83.77,85.5541,83.5,84.7,1008248.0
2025-09-04,82.02,83.01,81.31,82.89,696723.0
2025-09-03,80.45,81.73,80.26,81.56,997794.0
2025-09-02,81.39,81.885,80.44,80.91,1226466.0
2025-08-29,81.88,82.69,81.565,82.44,890870.0
2025-08-28,81.71,82.0538,80.64,81.83,793818.0
2025-08-27,81.1,82.51,80.88,81.72,905406.0
2025-08-26,80.21,81.375,79.76,80.83,1814290.0
2025-08-25,80.68,81.0,79.65,80.42,940090.0
2025-08-22,77.8,81.42,77.59,80.93,1139490.0
2025-08-21,76.77,77.54,76.51,77.41,716307.0
2025-08-20,78.4,79.23,77.24,77.46,949159.0
2025-08-19,77.86,79.35,77.51,78.27,1290755.0
