date,Open,High,Low,Close,Volume
2025-10-31,174.35,176.7,173.315,173.92,1273490.0
2025-10-30,171.5,175.4335,166.73,174.71,1574400.0
2025-10-29,182.385,182.385,175.6,176.29,1636829.0
2025-10-28,187.85,187.85,183.7824,184.12,587123.0
2025-10-27,188.88,189.53,186.42,188.37,670256.0
2025-10-24,189.51,190.82,188.85,189.43,642676.0
2025-10-23,189.28,190.025,187.2,189.04,560350.0
2025-10-22,188.12,190.44,186.305,189.32,866619.0
2025-10-21,187.47,189.34,186.71,187.12,864238.0
2025-10-20,188.01,189.11,186.78,187.05,502170.0
2025-10-17,184.52,187.06,184.38,187.02,762790.0
2025-10-16,184.15,185.77,183.11,184.46,993649.0
2025-10-15,185.53,187.265,183.28,184.0,889712.0
2025-10-14,184.68,185.965,183.75,185.42,606688.0
2025-10-13,184.28,185.53,183.82,184.68,490094.0
2025-10-10,186.94,187.1962,183.66,184.53,742330.0
2025-10-09,187.05,187.52,185.0,185.85,403688.0
2025-10-08,186.45,187.45,185.74,186.42,583565.0
2025-10-07,187.99,189.755,186.4301,187.52,722471.0
2025-10-06,191.0,191.02,187.34,187.58,964121.0
2025-10-03,190.4,192.63,190.25,190.69,519146.0
2025-10-02,190.85,191.46,189.24,190.1,555529.0
2025-10-01,192.43,193.81,191.25,191.37,792360.0
2025-09-30,191.82,193.31,190.08,193.17,944097.0
2025-09-29,193.74,194.875,192.77,193.56,787999.0
2025-09-26,192.23,195.3,192.23,194.86,695828.0
2025-09-25,192.5,193.92,191.0,191.57,925978.0
2025-09-24,194.4,194.47,192.35,192.77,1193202.0
2025-09-23,192.85,194.68,192.42,194.4,792466.0
2025-09-22,193.51,193.95,191.68,193.01,1079562.0
2025-09-19,193.37,195.13,192.73,192.96,1878914.0
2025-09-18,192.9,194.3,192.17,193.63,727606.0
2025-09-17,192.39,195.26,191.91,192.54,781038.0
2025-09-16,192.51,193.64,191.9,192.28,1051991.0
2025-09-15,195.21,195.71,192.665,192.84,941823.0
2025-09-12,196.96,198.29,195.12,195.15,545794.0
2025-09-11,194.14,197.31,193.32,196.83,656710.0
2025-09-10,194.48,196.095,192.3,192.64,852516.0
2025-09-09,194.0,195.325,193.495,195.24,675075.0
2025-09-08,193.45,194.7,192.79,194.47,604582.0
2025-09-05,193.93,196.85,193.89,195.41,600397.0
2025-09-04,192.05,193.1,191.06,192.72,672593.0
2025-09-03,188.19,191.09,188.19,191.07,696149.0
2025-09-02,194.92,194.92,188.48,189.02,877368.0
2025-08-29,193.86,196.4574,193.61,195.85,886025.0
2025-08-28,194.43,194.72,192.62,194.61,894956.0
2025-08-27,192.04,194.27,191.94,194.12,613517.0
2025-08-26,192.54,193.69,191.79,192.01,1353383.0
2025-08-25,193.18,194.27,191.11,192.27,582805.0
2025-08-22,191.9,195.06,191.705,193.62,1211695.0
2025-08-21,189.14,191.7799,189.14,190.43,681012.0
2025-08-20,192.14,193.9,190.51,190.62,843371.0
2025-08-19,188.86,192.69,188.73,191.45,1436251.0
2025-08-18,190.3,190.64,188.05,188.25,690205.0
2025-08-15,189.29,190.67,188.445,190.58,767538.0
2025-08-14,188.39,189.92,187.29,189.32,1030232.0
2025-08-13,188.8,191.54,186.77,191.06,826324.0
2025-08-12,185.36,187.03,184.285,186.93,701792.0
2025-08-11,186.4,187.14,184.5325,185.08,831057.0
2025-08-08,188.83,189.09,186.32,186.78,720404.0
2025-08-07,187.04,189.37,187.04,188.24,1001760.0
2025-08-06,186.72,187.7,184.565,186.5,1283571.0
2025-08-05,184.18,189.5,182.96,186.31,1919239.0
2025-08-04,184.0,186.18,182.26,182.72,1301529.0
2025-08-01,187.58,188.24,181.23,184.44,1843814.0
2025-07-31,193.32,194.2,185.815,186.28,1582994.0
2025-07-30,202.065,202.065,194.445,196.31,1078274.0
2025-07-29,199.62,203.29,198.775,203.12,533598.0
2025-07-28,201.35,202.24,198.64,198.77,588931.0
2025-07-25,201.24,203.11,200.41,201.75,319705.0
2025-07-24,203.16,203.275,201.35,201.59,506371.0
2025-07-23,204.68,204.68,202.39,203.39,500527.0
2025-07-22,201.49,204.68,201.335,204.51,662573.0
2025-07-21,203.33,205.0,200.18,200.79,645095.0
2025-07-18,202.46,203.31,201.3,202.63,474930.0
2025-07-17,201.93,203.08,200.72,202.13,667503.0
2025-07-16,199.92,202.14,199.34,201.86,606511.0
2025-07-15,201.76,201.985,198.4478,199.48,621426.0
2025-07-14,202.11,203.71,201.5501,201.95,678306.0
2025-07-11,199.96,202.78,199.96,201.86,513236.0
2025-07-10,200.69,204.23,200.52,202.7,825067.0
2025-07-09,201.51,203.12,200.53,200.63,934961.0
2025-07-08,201.29,203.125,200.98,201.47,782309.0
2025-07-07,202.07,204.665,201.48,202.46,883960.0
2025-07-03,202.22,203.9399,201.19,202.57,347838.0
2025-07-02,202.42,203.77,199.27,202.0,866406.0
2025-07-01,203.57,206.48,201.22,203.28,1077763.0
