date,Open,High,Low,Close,Volume
2025-10-31,125.77,128.75,123.9,128.43,2811703.0
2025-10-30,130.13,131.05,126.45,126.7,2298770.0
2025-10-29,133.86,134.46,129.9573,130.06,2211027.0
2025-10-28,137.9,139.59,134.31,134.81,2031462.0
2025-10-27,139.03,140.5,135.4,137.99,3438853.0
2025-10-24,143.49,143.49,141.51,141.59,966471.0
2025-10-23,144.24,144.88,141.645,142.58,746416.0
2025-10-22,143.33,145.42,142.85,143.73,828398.0
2025-10-21,145.45,145.64,142.8,144.16,1096221.0
2025-10-20,143.99,145.61,143.02,145.43,1107188.0
2025-10-17,143.53,144.82,142.82,143.81,1306596.0
2025-10-16,142.23,144.295,142.23,143.21,845578.0
2025-10-15,141.49,143.11,141.02,142.53,1007555.0
2025-10-14,139.96,143.525,139.5,141.56,1629374.0
2025-10-13,141.0,141.991,139.21,139.63,1321906.0
2025-10-10,141.75,144.04,140.14,142.98,1513085.0
2025-10-09,141.45,141.75,140.2027,141.05,988764.0
2025-10-08,143.51,143.51,140.2,141.03,952576.0
2025-10-07,139.38,142.965,139.12,142.51,1815748.0
2025-10-06,137.75,138.99,136.67,138.94,1555522.0
2025-10-03,135.57,138.22,135.57,137.75,967204.0
2025-10-02,135.49,137.12,135.02,135.59,1114622.0
2025-10-01,139.4,139.62,136.03,136.07,1250291.0
2025-09-30,137.41,139.42,137.13,139.19,1428766.0
2025-09-29,136.16,137.28,135.04,137.04,1200396.0
2025-09-26,135.28,136.52,135.2074,136.36,911082.0
2025-09-25,137.66,138.125,135.03,135.1,1433363.0
2025-09-24,136.42,137.1,135.28,136.41,1700555.0
2025-09-23,134.89,137.35,133.86,137.18,1251510.0
2025-09-22,135.07,136.24,134.79,135.05,1021468.0
2025-09-19,135.01,135.655,134.38,135.06,2660206.0
2025-09-18,134.13,135.79,133.3,135.39,1197387.0
2025-09-17,136.84,137.94,135.88,136.09,1024091.0
2025-09-16,137.4,138.3,136.18,136.25,1055963.0
2025-09-15,139.3,139.65,137.24,137.58,1084092.0
2025-09-12,138.5,139.886,138.21,139.28,994552.0
2025-09-11,138.75,139.76,137.6701,139.63,926642.0
2025-09-10,140.21,140.48,137.53,138.5,989965.0
2025-09-09,139.53,140.6,138.73,140.09,725591.0
2025-09-08,142.65,143.225,139.02,140.02,1331826.0
2025-09-05,141.99,143.6,141.5793,143.6,782181.0
2025-09-04,141.98,142.45,140.74,141.57,1128405.0
2025-09-03,140.84,141.374,139.81,140.7,1051772.0
2025-09-02,142.99,143.74,140.99,141.41,1018831.0
2025-08-29,143.08,144.5404,142.94,143.51,941303.0
2025-08-28,144.2,144.36,142.86,142.93,947787.0
2025-08-27,143.84,144.955,143.16,144.75,1208828.0
2025-08-26,144.37,144.63,143.05,143.95,1764564.0
2025-08-25,145.54,146.295,144.07,144.4,854961.0
2025-08-22,146.45,147.84,145.121,146.2,963951.0
2025-08-21,145.31,146.22,145.25,145.87,849072.0
2025-08-20,146.07,147.865,145.36,145.62,1107425.0
2025-08-19,142.92,145.28,142.92,145.21,1562664.0
2025-08-18,144.32,144.8,142.63,142.66,900062.0
2025-08-15,142.935,144.98,142.89,143.92,923760.0
2025-08-14,143.8,144.24,142.78,143.41,1085280.0
2025-08-13,142.08,143.77,141.77,143.73,1174166.0
2025-08-12,144.26,145.0,140.68,142.09,1657668.0
2025-08-11,145.81,146.2,144.7,145.55,1093731.0
2025-08-08,144.83,145.64,144.575,145.36,1986719.0
2025-08-07,141.15,144.7,141.145,144.42,1771118.0
2025-08-06,142.0,143.39,141.47,141.91,2087807.0
2025-08-05,142.13,142.72,140.72,141.5,6160001.0
2025-08-04,145.72,147.65,145.53,147.0,1303994.0
2025-08-01,142.48,146.41,140.705,145.72,2693178.0
2025-07-31,138.5,141.08,137.5,140.24,2078211.0
2025-07-30,139.77,141.17,139.19,139.65,1109033.0
2025-07-29,138.62,141.0,137.91,140.95,1138041.0
2025-07-28,139.55,140.54,137.85,138.71,1065868.0
2025-07-25,140.19,141.06,139.6801,140.32,893935.0
2025-07-24,141.92,142.08,140.46,140.51,1188021.0
2025-07-23,144.36,144.75,140.405,141.88,1173282.0
2025-07-22,142.7,146.295,142.09,144.91,1137228.0
2025-07-21,143.18,144.32,142.565,142.84,753069.0
2025-07-18,142.47,144.67,142.0,142.91,1934449.0
2025-07-17,141.22,142.73,140.02,142.21,1194983.0
2025-07-16,140.73,142.07,139.7518,141.72,941950.0
2025-07-15,142.66,143.035,140.71,140.83,958005.0
2025-07-14,142.56,144.35,142.3857,143.35,998876.0
2025-07-11,141.68,143.02,140.74,142.29,948452.0
2025-07-10,140.27,143.66,140.18,142.68,922287.0
2025-07-09,140.82,142.21,139.91,141.8,1413299.0
2025-07-08,138.61,141.19,137.0,141.02,1381927.0
2025-07-07,140.01,140.485,138.905,139.96,888331.0
