date,Open,High,Low,Close,Volume
2025-10-31,18.81,18.95,18.44,18.47,11557713.0
2025-10-30,18.94,19.805,18.42,19.16,24018284.0
2025-10-29,22.74,22.9165,22.34,22.42,7770286.0
2025-10-28,23.04,23.21,22.77,22.86,5722763.0
2025-10-27,23.26,23.345,23.01,23.17,6408741.0
2025-10-24,23.24,23.28,22.94,23.02,3719599.0
2025-10-23,22.97,23.11,22.53,22.99,5681539.0
2025-10-22,22.89,23.485,22.845,22.93,4732104.0
2025-10-21,23.03,23.14,22.575,22.75,6574549.0
2025-10-20,23.24,23.6,23.11,23.13,4500717.0
2025-10-17,22.93,23.09,22.57,23.09,3953021.0
2025-10-16,22.59,23.315,22.54,22.97,5414902.0
2025-10-15,22.77,23.295,22.605,22.75,4611890.0
2025-10-14,21.99,22.869,21.88,22.82,6023489.0
2025-10-13,22.04,22.39,21.945,22.11,4315780.0
2025-10-10,22.65,22.83,21.63,21.95,5515384.0
2025-10-09,22.94,23.035,22.425,22.51,5581390.0
2025-10-08,22.71,22.915,22.55,22.75,4836765.0
2025-10-07,23.27,23.28,22.88,22.9,4806940.0
2025-10-06,23.9,23.9196,23.11,23.15,6328584.0
2025-10-03,23.37,24.265,23.26,23.86,6547585.0
2025-10-02,23.19,23.63,23.01,23.23,4734382.0
2025-10-01,22.95,23.45,22.755,23.36,6333203.0
2025-09-30,22.35,22.855,22.0793,22.77,6033719.0
2025-09-29,22.0,22.59,21.795,22.38,6710199.0
2025-09-26,21.75,22.05,21.68,21.98,10542534.0
2025-09-25,22.34,22.43,21.59,21.71,7394205.0
2025-09-24,22.73,22.905,22.52,22.56,5869922.0
2025-09-23,22.81,23.16,22.745,22.86,4805544.0
2025-09-22,23.0,23.06,22.8,22.81,4954563.0
2025-09-19,23.71,23.75,23.02,23.02,13671886.0
2025-09-18,23.47,23.81,23.345,23.69,3610170.0
2025-09-17,23.93,24.11,23.1,23.2,5187509.0
2025-09-16,23.85,24.0875,23.7739,23.87,5747102.0
2025-09-15,24.01,24.1701,23.58,23.8,7038107.0
2025-09-12,24.32,24.415,23.9107,23.99,5749946.0
2025-09-11,23.94,24.52,23.9,24.49,4029174.0
2025-09-10,24.42,24.63,23.97,23.98,4466997.0
2025-09-09,24.09,24.58,24.02,24.45,4552165.0
2025-09-08,24.25,24.36,23.785,24.09,5637438.0
2025-09-05,23.78,24.585,23.605,24.42,7373651.0
2025-09-04,23.54,23.73,23.115,23.58,5967769.0
2025-09-03,23.99,24.28,23.36,23.54,7449805.0
2025-09-02,24.41,24.6,23.8,24.17,14048956.0
2025-08-29,24.25,24.72,24.22,24.69,4048508.0
2025-08-28,24.54,24.54,24.155,24.4,4495956.0
2025-08-27,24.46,24.7,24.31,24.53,5559858.0
2025-08-26,24.51,24.64,24.335,24.5,5085533.0
