date,Open,High,Low,Close,Volume
2025-10-31,82.69,83.72,82.085,82.14,3305692.0
2025-10-30,83.49,84.67,82.7955,83.18,2490473.0
2025-10-29,83.5,84.53,83.07,84.0,3640120.0
2025-10-28,82.61,84.5,81.6025,83.86,4529359.0
2025-10-27,84.8,84.99,82.65,82.88,5060899.0
2025-10-24,83.0,83.67,82.95,83.26,3804914.0
2025-10-23,81.11,82.59,80.54,82.43,2055376.0
2025-10-22,82.39,83.0,81.3184,81.37,2896874.0
2025-10-21,80.8,83.0,80.37,82.66,3971215.0
2025-10-20,80.0,81.17,79.895,81.01,4272929.0
2025-10-17,78.52,79.815,78.16,79.71,2332086.0
2025-10-16,78.49,78.94,77.37,78.54,3189188.0
2025-10-15,77.6,79.45,77.38,78.41,3292265.0
2025-10-14,76.24,78.455,75.94,77.21,4214578.0
2025-10-13,72.745,77.54,72.12,77.45,4981619.0
2025-10-10,75.95,75.95,70.41,70.43,4963257.0
2025-10-09,76.49,76.68,74.6333,75.23,2337872.0
2025-10-08,76.63,77.39,75.75,76.95,2555694.0
2025-10-07,75.65,76.055,74.61,75.23,2348713.0
2025-10-06,76.97,77.89,75.4,75.6,3043621.0
2025-10-03,76.76,78.23,76.46,76.86,2172647.0
2025-10-02,77.2,78.665,76.52,76.62,2533218.0
2025-10-01,75.7,77.43,75.05,77.35,3139722.0
2025-09-30,75.35,75.89,74.3201,75.62,2265503.0
2025-09-29,76.67,76.74,74.865,75.66,2683873.0
2025-09-26,74.13,76.195,73.84,76.15,3016274.0
2025-09-25,73.5,74.87,73.47,74.19,3022967.0
2025-09-24,73.37,74.19,73.165,74.17,3169627.0
2025-09-23,72.44,74.68,72.39,73.01,3342143.0
2025-09-22,72.19,73.06,71.74,72.33,3626658.0
2025-09-19,73.76,74.02,71.86,72.23,5600585.0
2025-09-18,74.445,74.93,73.2095,73.73,4474502.0
2025-09-17,74.71,76.93,74.06,74.52,4525611.0
2025-09-16,74.56,74.84,73.44,74.04,2708463.0
2025-09-15,75.95,76.01,73.84,74.55,2713670.0
2025-09-12,78.0,78.0,75.83,75.87,2140315.0
2025-09-11,76.82,78.77,76.82,78.46,2720782.0
2025-09-10,76.1,76.895,75.58,76.61,2858486.0
2025-09-09,77.33,77.445,76.47,77.02,2842242.0
