date,Open,High,Low,Close,Volume
2025-10-31,178.27,179.31,175.6,178.71,2692203.0
2025-10-30,181.02,181.8,178.79,179.38,2722552.0
2025-10-29,183.325,183.325,181.08,181.52,1610557.0
2025-10-28,187.095,187.095,184.16,184.21,1330993.0
2025-10-27,186.01,187.595,185.02,187.04,2561335.0
2025-10-24,187.93,188.5225,185.71,185.83,1540369.0
2025-10-23,188.58,188.91,185.85,186.53,1679342.0
2025-10-22,188.78,190.16,187.3825,188.11,2158791.0
2025-10-21,192.04,192.66,187.5701,189.03,2280150.0
2025-10-20,189.28,193.43,189.28,191.0,1734425.0
2025-10-17,185.29,189.52,184.54,189.1,1943783.0
2025-10-16,182.81,185.37,178.91,185.27,3423511.0
2025-10-15,187.59,189.57,185.97,186.77,1144793.0
2025-10-14,185.5,188.785,185.5,188.36,1180110.0
2025-10-13,186.88,189.25,186.0,186.66,852846.0
2025-10-10,189.4,190.03,186.1101,186.56,1079406.0
2025-10-09,194.13,194.68,188.05,189.08,1231654.0
2025-10-08,192.51,194.1,191.8592,193.93,1112017.0
2025-10-07,192.55,193.62,191.51,192.53,831338.0
2025-10-06,193.92,193.92,190.695,191.99,1093124.0
2025-10-03,191.77,195.33,191.45,193.61,977155.0
2025-10-02,189.05,191.68,188.945,191.6,1273781.0
2025-10-01,187.8,191.64,186.42,190.94,2351537.0
2025-09-30,183.9,187.24,182.95,187.17,1604039.0
2025-09-29,184.6,184.6,182.515,184.0,1348691.0
2025-09-26,181.03,184.715,180.81,184.6,1265908.0
2025-09-25,185.16,185.605,178.11,180.59,1873165.0
2025-09-24,185.81,187.21,185.02,186.05,1037427.0
2025-09-23,186.3,188.15,185.81,186.52,1256372.0
2025-09-22,186.3,187.28,184.8532,186.55,1227725.0
2025-09-19,188.17,188.85,185.6,187.04,2750943.0
2025-09-18,187.81,189.04,187.035,188.37,1123254.0
2025-09-17,186.81,190.02,186.715,187.57,1060920.0
2025-09-16,185.5,188.04,185.16,186.21,1211492.0
2025-09-15,187.14,188.98,185.485,185.74,1334805.0
2025-09-12,189.9,189.9,186.84,186.84,1118129.0
2025-09-11,188.91,191.32,188.15,190.56,1567444.0
2025-09-10,189.25,189.96,186.96,188.43,1865750.0
2025-09-09,191.08,192.31,190.18,190.49,1508593.0
2025-09-08,190.98,191.89,187.81,191.58,2601769.0
2025-09-05,191.0,192.98,190.83,192.39,1244207.0
2025-09-04,189.13,191.6,187.315,191.26,1279873.0
2025-09-03,186.55,189.62,183.725,189.61,3345922.0
2025-09-02,192.74,193.99,188.03,188.15,1630549.0
2025-08-29,191.76,193.04,191.0,192.98,1329467.0
2025-08-28,195.3,195.3,190.74,191.25,1793879.0
2025-08-27,193.64,195.65,193.64,195.4,1330697.0
2025-08-26,194.08,195.23,193.5002,194.07,2245161.0
2025-08-25,199.3,199.475,194.03,194.65,1227457.0
2025-08-22,197.83,200.21,197.235,199.66,1619834.0
2025-08-21,198.46,198.85,196.37,196.63,1304376.0
2025-08-20,198.06,200.22,197.465,199.2,2493543.0
2025-08-19,194.82,198.26,194.27,198.03,1902176.0
2025-08-18,195.82,197.4188,194.955,195.0,1763403.0
2025-08-15,196.0,196.99,194.64,195.94,2616909.0
2025-08-14,195.35,195.57,193.4,195.0,2284276.0
2025-08-13,195.21,196.27,193.94,195.96,2671829.0
2025-08-12,193.5,194.99,192.39,194.96,3171478.0
2025-08-11,193.545,194.41,190.51,192.5,2770591.0
2025-08-08,186.87,193.88,186.87,193.5,3955422.0
2025-08-07,187.35,190.12,184.21,187.68,4838134.0
2025-08-06,176.88,177.3922,172.2,172.41,4225907.0
2025-08-05,178.9,179.68,176.11,176.89,2859465.0
2025-08-04,176.3,179.53,176.3,178.9,2049626.0
2025-08-01,177.37,177.45,174.49,176.37,4688997.0
2025-07-31,180.5,182.26,178.25,178.25,3733919.0
2025-07-30,182.23,182.65,180.33,181.54,1846845.0
2025-07-29,182.63,183.53,181.68,182.38,1500799.0
2025-07-28,184.89,185.4399,182.82,182.94,1850367.0
2025-07-25,184.35,185.92,183.42,185.32,1875861.0
2025-07-24,182.28,185.35,181.33,183.63,1801451.0
2025-07-23,183.6,184.38,180.14,182.58,2623809.0
2025-07-22,176.18,181.63,176.085,181.28,1892060.0
2025-07-21,178.84,179.58,175.31,175.33,3133931.0
2025-07-18,181.5,181.6,177.96,178.85,3470608.0
2025-07-17,178.27,181.04,177.1,180.9,3946278.0
2025-07-16,178.31,179.11,175.965,178.27,4159645.0
2025-07-15,177.08,180.67,176.06,178.31,6013633.0
2025-07-14,174.96,177.3,172.57,177.09,6386771.0
2025-07-11,176.22,176.485,173.87,175.97,2428814.0
2025-07-10,175.59,179.76,174.63,177.5,3014071.0
2025-07-09,175.0,175.63,173.02,175.5,2208354.0
2025-07-08,172.8,175.645,172.5,174.63,1908161.0
2025-07-07,176.28,177.795,172.3411,172.95,2499663.0
2025-07-03,178.18,178.3,175.925,176.16,1057606.0
2025-07-02,177.535,178.08,175.59,177.27,3277517.0
2025-07-01,172.21,179.12,171.32,177.67,3218381.0
2025-06-30,170.61,172.66,170.0867,172.25,2524987.0
2025-06-27,170.38,172.27,169.79,170.86,3070334.0
2025-06-26,170.74,170.865,168.89,169.97,2879313.0
2025-06-25,171.08,172.14,169.94,170.9,2118106.0
2025-06-24,170.35,171.93,169.2,171.57,2915325.0
2025-06-23,168.16,170.635,167.5,169.72,3083630.0
2025-06-20,169.31,169.96,168.0793,168.42,5093509.0
2025-06-18,169.7,170.6,168.43,168.59,2839947.0
2025-06-17,171.95,171.95,169.81,169.94,3782042.0
2025-06-16,172.37,173.44,170.8505,172.1,2376550.0
2025-06-13,173.03,176.33,171.87,172.21,2276369.0
2025-06-12,172.41,175.23,171.7,174.46,1664351.0
2025-06-11,174.5,175.86,171.91,172.72,2361041.0
