date,Open,High,Low,Close,Volume
2025-10-31,107.32,108.28,106.71,107.93,2770619.0
2025-10-30,106.73,108.76,106.48,107.92,2369668.0
2025-10-29,108.13,108.46,106.62,107.05,4258373.0
2025-10-28,107.98,108.92,107.475,108.45,3162709.0
2025-10-27,108.17,108.45,107.52,107.58,2324378.0
2025-10-24,107.25,108.58,107.245,107.99,2250601.0
2025-10-23,107.37,107.37,106.24,106.68,2720241.0
2025-10-22,107.14,107.48,105.36,107.03,3368079.0
2025-10-21,108.33,108.67,107.0,107.0,4875331.0
2025-10-20,106.52,109.05,106.52,108.5,3982189.0
2025-10-17,107.1,107.1,103.1103,105.98,7925271.0
2025-10-16,107.7,110.19,106.03,106.72,6858847.0
2025-10-15,107.97,109.24,106.77,108.93,5545520.0
2025-10-14,105.78,108.2,105.505,107.11,4087048.0
2025-10-13,105.55,106.71,104.54,106.3,3045406.0
2025-10-10,107.17,107.41,104.37,104.54,3809811.0
2025-10-09,106.45,107.39,105.79,106.82,3180032.0
2025-10-08,107.5,107.53,105.4289,106.01,3413315.0
2025-10-07,106.61,107.19,106.0,106.93,2395314.0
2025-10-06,106.81,107.5,105.37,106.43,2580554.0
2025-10-03,107.17,107.56,105.72,106.6,3613669.0
2025-10-02,107.07,107.315,105.78,106.38,3009366.0
2025-10-01,108.58,109.075,106.78,106.83,2586198.0
2025-09-30,109.33,110.745,108.065,108.96,3707098.0
2025-09-29,110.07,110.16,108.7,109.75,2457784.0
2025-09-26,109.27,110.275,108.88,109.53,2095350.0
2025-09-25,108.17,109.47,107.65,109.08,2961549.0
2025-09-24,109.18,109.5,107.82,108.11,2292811.0
2025-09-23,109.27,110.87,108.1,108.66,2282780.0
2025-09-22,107.95,109.715,107.2721,109.46,2905260.0
2025-09-19,108.8,109.21,108.17,108.71,8770772.0
2025-09-18,107.14,108.701,106.81,108.52,2784212.0
2025-09-17,105.83,107.21,105.805,107.01,2935711.0
2025-09-16,106.44,107.0,104.77,105.49,2369522.0
2025-09-15,107.01,107.01,106.1,106.42,2523287.0
2025-09-12,105.16,106.52,105.05,106.48,2609412.0
2025-09-11,104.0,106.33,103.66,105.6,3698088.0
2025-09-10,104.51,104.96,102.63,104.0,2737614.0
2025-09-09,103.89,106.18,103.17,104.77,3918525.0
2025-09-08,103.84,104.65,103.49,104.02,3055255.0
2025-09-05,105.65,106.056,102.895,103.69,2780540.0
2025-09-04,105.11,105.69,104.78,105.56,2308562.0
2025-09-03,104.69,105.03,103.61,104.68,2256195.0
2025-09-02,104.54,105.0,103.34,104.7,3308423.0
2025-08-29,106.24,106.57,104.92,105.6,2933332.0
2025-08-28,105.02,106.2982,104.705,106.1,2778007.0
2025-08-27,104.46,105.51,104.3,105.03,2384454.0
