date,Open,High,Low,Close,Volume
2025-10-31,48.95,48.975,47.9477,48.41,6960458.0
2025-10-30,48.07,49.16,47.7031,48.58,6193545.0
2025-10-29,47.7,48.845,47.58,48.32,7071667.0
2025-10-28,46.39,47.98,46.39,47.86,9193894.0
2025-10-27,47.78,48.2,46.12,46.6,8754034.0
2025-10-24,47.92,50.42,46.845,47.3,13058724.0
2025-10-23,48.175,49.08,48.0,48.89,9548833.0
2025-10-22,47.0,48.33,46.72,47.3,8747506.0
2025-10-21,46.54,47.41,45.63,46.75,11386588.0
2025-10-20,45.42,46.39,45.2,46.28,6772217.0
2025-10-17,44.93,45.5,44.42,45.18,8216428.0
2025-10-16,44.87,45.12,44.245,44.64,8097365.0
2025-10-15,45.29,45.67,44.22,44.47,7972270.0
2025-10-14,44.92,45.36,43.92,44.83,9227848.0
2025-10-13,45.94,45.94,45.04,45.49,11108272.0
2025-10-10,47.475,47.69,44.99,45.04,7467021.0
2025-10-09,48.0,48.29,47.0876,47.89,5456954.0
2025-10-08,48.75,48.9543,47.42,47.85,6007056.0
2025-10-07,49.1,49.435,48.225,48.58,4877883.0
2025-10-06,48.915,49.575,48.8,49.08,5371928.0
2025-10-03,48.74,49.01,48.455,48.5,5414474.0
2025-10-02,48.09,48.64,47.85,48.4,6680394.0
2025-10-01,48.505,48.76,48.22,48.36,6263888.0
2025-09-30,49.925,50.2601,48.12,48.72,11666733.0
2025-09-29,50.36,50.58,49.79,50.55,6319224.0
2025-09-26,50.38,50.925,49.82,50.52,7750970.0
2025-09-25,49.68,50.24,49.5,50.1,6455344.0
2025-09-24,49.47,50.14,49.15,49.87,9056221.0
2025-09-23,47.83,50.065,47.81,48.93,9071389.0
2025-09-22,47.14,47.8483,46.68,47.67,5157472.0
2025-09-19,47.22,47.65,46.4,47.34,15869218.0
2025-09-18,46.78,47.3475,46.47,47.28,5242642.0
2025-09-17,47.15,47.38,46.09,46.48,4613255.0
2025-09-16,46.52,47.38,46.38,47.23,5092986.0
2025-09-15,46.49,47.005,46.235,46.28,5420372.0
2025-09-12,47.16,47.3,46.47,46.49,4015190.0
2025-09-11,46.55,47.315,46.4056,46.97,4858667.0
2025-09-10,45.37,47.005,45.37,46.92,5679114.0
2025-09-09,45.79,46.16,45.44,45.45,3338504.0
2025-09-08,45.87,46.01,45.12,45.64,3870440.0
2025-09-05,46.01,46.24,44.94,45.58,4978751.0
2025-09-04,45.27,46.695,44.83,46.32,7537939.0
2025-09-03,45.34,45.5,44.48,45.0,6485306.0
2025-09-02,45.21,45.76,44.721,45.36,8580266.0
2025-08-29,45.5,45.84,45.365,45.4,4786718.0
2025-08-28,44.78,45.67,44.495,45.565,4218368.0
