date,Open,High,Low,Close,Volume
2025-10-31,192.07,197.67,190.2401,190.77,4080725.0
2025-10-30,181.44,195.1475,181.44,189.84,7173517.0
2025-10-29,163.23,164.71,161.64,164.47,2816509.0
2025-10-28,163.5,164.07,161.97,162.79,2067583.0
2025-10-27,163.06,163.825,161.355,163.8,1796924.0
2025-10-24,159.14,162.185,158.7,161.89,1823220.0
2025-10-23,159.85,162.0,158.928,159.16,1414803.0
2025-10-22,159.3,160.5,157.79,159.52,2247506.0
2025-10-21,157.96,158.93,156.81,158.68,1776831.0
2025-10-20,157.12,158.23,155.835,157.27,1154414.0
2025-10-17,152.56,156.45,152.46,156.41,1930994.0
2025-10-16,155.35,157.64,153.11,153.27,1760372.0
2025-10-15,154.18,156.56,154.18,155.67,1491878.0
2025-10-14,154.34,154.45,151.87,154.19,2316361.0
2025-10-13,156.3,157.35,154.21,154.31,1757815.0
2025-10-10,157.84,158.39,156.7,156.88,1602155.0
2025-10-09,157.77,158.45,156.32,157.21,1584348.0
2025-10-08,156.75,157.99,155.665,157.77,1292589.0
2025-10-07,155.19,156.68,153.31,156.65,1316281.0
2025-10-06,153.27,156.15,152.13,155.19,1425229.0
2025-10-03,158.22,159.24,150.775,154.46,6613455.0
2025-10-02,156.33,158.72,156.0,158.46,3219091.0
2025-10-01,155.81,158.82,155.4,157.93,3714947.0
2025-09-30,154.34,157.7,153.03,156.96,3050738.0
2025-09-29,153.17,155.74,152.83,154.57,3199443.0
2025-09-26,149.85,153.93,149.595,153.71,1706851.0
2025-09-25,154.69,154.93,145.87,148.96,3164907.0
2025-09-24,154.13,157.015,153.855,154.58,2655444.0
2025-09-23,148.59,154.67,147.83,154.62,4205688.0
2025-09-22,149.9,150.12,146.905,147.47,1987602.0
2025-09-19,150.12,150.7,148.955,149.6,3661933.0
2025-09-18,148.53,150.2295,147.64,150.04,1170035.0
2025-09-17,149.35,149.75,147.48,148.68,2011616.0
2025-09-16,151.02,151.02,148.26,148.37,2852823.0
2025-09-15,152.22,152.39,150.23,150.27,1207468.0
2025-09-12,152.37,153.89,151.825,152.24,1162574.0
2025-09-11,150.09,152.77,149.35,152.47,1790661.0
2025-09-10,150.57,152.51,149.25,149.29,1962471.0
2025-09-09,150.01,151.45,148.77,150.94,1306364.0
2025-09-08,149.68,150.49,148.39,150.28,2771548.0
2025-09-05,149.02,149.595,148.12,149.56,1715441.0
2025-09-04,150.62,151.38,146.22,149.34,2366688.0
2025-09-03,149.55,150.58,148.87,150.56,1652535.0
2025-09-02,147.87,150.45,147.2701,149.55,1767271.0
2025-08-29,149.72,150.51,148.16,148.78,2723214.0
2025-08-28,148.92,151.0,148.28,149.51,3290770.0
2025-08-27,147.91,149.44,147.01,149.24,2302215.0
2025-08-26,146.38,147.78,146.04,147.49,2982175.0
2025-08-25,148.09,148.8,145.96,146.04,1674897.0
2025-08-22,151.84,152.75,147.21,148.1,2686074.0
2025-08-21,152.5,153.7,151.56,151.57,3325686.0
2025-08-20,149.38,152.99,148.84,152.95,2523350.0
2025-08-19,148.0,149.645,147.3,149.02,2076669.0
2025-08-18,149.05,151.2,148.52,149.73,2062927.0
2025-08-15,150.35,151.55,149.25,149.61,2571921.0
2025-08-14,147.69,151.49,147.69,150.22,2787328.0
2025-08-13,147.63,148.76,145.47,148.12,3479449.0
2025-08-12,140.995,148.2833,137.75,146.3,7846886.0
2025-08-11,157.02,159.41,156.5,157.66,3111690.0
2025-08-08,153.9,157.53,153.67,157.41,1634311.0
2025-08-07,156.41,156.755,151.42,153.41,3229137.0
2025-08-06,157.75,158.17,153.81,156.6,1709491.0
2025-08-05,158.5,159.64,157.97,158.24,2305872.0
2025-08-04,156.2,158.69,155.9,158.62,1639505.0
2025-08-01,154.71,157.41,153.27,156.0,1592821.0
2025-07-31,157.55,158.73,152.585,155.22,3114136.0
2025-07-30,156.35,158.03,155.75,157.9,1284521.0
2025-07-29,157.03,158.24,156.385,157.39,1199430.0
2025-07-28,157.11,157.11,155.105,156.33,1832501.0
2025-07-25,158.29,159.25,157.04,157.14,1213916.0
2025-07-24,158.3,158.915,157.0346,158.28,1935297.0
2025-07-23,157.48,157.97,156.09,157.76,1772487.0
2025-07-22,158.45,159.5,156.37,157.1,1980141.0
2025-07-21,158.97,159.68,157.04,158.58,1323897.0
2025-07-18,159.24,160.46,157.81,159.56,2035339.0
2025-07-17,160.69,160.965,158.61,159.46,1253554.0
2025-07-16,161.44,161.82,160.2,161.11,1350735.0
2025-07-15,161.25,161.8499,160.11,161.02,1922988.0
2025-07-14,160.81,162.25,160.2732,161.69,1410390.0
2025-07-11,161.46,162.0,160.66,160.97,1314232.0
2025-07-10,164.23,164.409,160.94,162.17,2223608.0
2025-07-09,165.86,165.86,162.05,164.26,1492808.0
2025-07-08,166.82,168.065,163.56,164.45,2066913.0
2025-07-07,165.03,167.74,164.37,167.63,1910580.0
2025-07-03,161.8,164.93,161.0004,164.93,1234057.0
2025-07-02,163.35,164.25,161.65,161.98,3129587.0
2025-07-01,167.55,168.44,162.1,164.4,2785478.0
2025-06-30,167.21,168.4,166.575,168.0,3398114.0
2025-06-27,165.09,168.17,164.6,167.18,2603418.0
2025-06-26,164.51,166.24,163.795,165.61,1552607.0
2025-06-25,164.88,164.88,162.15,163.75,2693581.0
2025-06-24,164.69,165.0,161.57,164.21,4188919.0
2025-06-23,164.04,164.91,162.93,163.99,2944590.0
2025-06-20,165.84,166.3156,162.35,163.4,4642773.0
2025-06-18,165.19,166.025,164.3213,165.4,2598165.0
2025-06-17,162.51,165.11,162.24,164.91,2177498.0
2025-06-16,161.0,162.8699,160.655,162.41,2029922.0
2025-06-13,161.32,162.94,160.19,161.41,2722406.0
2025-06-12,155.1,161.07,152.08,160.52,2968781.0
2025-06-11,152.64,153.849,152.06,153.53,2163904.0
