date,Open,High,Low,Close,Volume
2025-10-31,275.73,278.065,275.62,276.94,1892465.0
2025-10-30,279.26,280.87,277.33,278.06,2180375.0
2025-10-29,274.03,279.335,273.42,278.0,2649542.0
2025-10-28,280.76,280.76,275.07,275.58,2176274.0
2025-10-27,279.7,281.73,279.2001,281.68,1449390.0
2025-10-24,283.67,284.37,280.3725,281.94,1429652.0
2025-10-23,277.81,283.28,277.17,282.94,2680850.0
2025-10-22,275.86,277.73,272.195,276.52,4497908.0
2025-10-21,267.14,269.89,266.4,269.26,2857312.0
2025-10-20,269.37,269.52,267.07,268.2,2009621.0
2025-10-17,267.96,270.1,266.45,268.21,2525161.0
2025-10-16,271.43,272.43,265.3,268.23,3737762.0
2025-10-15,282.78,282.93,275.37,278.31,1897302.0
2025-10-14,283.32,285.62,281.92,284.63,1263277.0
2025-10-13,282.72,284.29,281.7338,282.53,932532.0
2025-10-10,285.69,286.02,281.99,283.01,1283862.0
2025-10-09,288.25,289.355,283.83,284.33,1185550.0
2025-10-08,290.0,290.4999,287.0,287.1,1101803.0
2025-10-07,287.0,289.76,285.91,289.24,1179144.0
2025-10-06,285.0,287.375,283.92,286.39,1334765.0
2025-10-03,280.48,285.18,279.59,283.96,1124174.0
2025-10-02,279.46,282.5,279.0,281.37,1731091.0
2025-10-01,281.57,283.675,280.56,281.41,1700160.0
2025-09-30,279.33,282.89,276.85,282.25,1583596.0
2025-09-29,280.41,280.41,277.55,279.56,1379006.0
2025-09-26,280.0,282.1631,278.48,280.69,1032241.0
2025-09-25,279.76,281.04,277.28,278.3,1312580.0
2025-09-24,275.56,279.59,275.5,278.26,1755290.0
2025-09-23,272.83,276.4999,271.83,275.9,1441905.0
2025-09-22,273.74,275.25,272.77,273.0,1821072.0
2025-09-19,274.465,275.42,273.0,273.89,3627690.0
2025-09-18,270.69,275.0,270.69,274.28,2035019.0
2025-09-17,272.79,274.1999,271.99,272.25,3390844.0
2025-09-16,274.81,275.48,271.45,272.02,2705572.0
2025-09-15,277.45,277.92,273.56,274.33,2418184.0
2025-09-12,280.82,282.51,277.74,278.11,2115412.0
2025-09-11,277.41,283.31,276.73,282.89,1657165.0
2025-09-10,275.73,277.49,274.53,277.45,1559606.0
2025-09-09,276.33,278.67,276.33,276.99,1320236.0
2025-09-08,276.47,278.08,273.92,277.47,1343994.0
2025-09-05,279.17,280.2,276.22,277.38,2523212.0
2025-09-04,280.0,281.0,278.86,279.88,1486353.0
2025-09-03,275.63,278.44,275.62,278.22,1110414.0
2025-09-02,276.64,276.82,273.04,276.81,1700756.0
2025-08-29,274.01,276.21,273.62,275.07,1248428.0
2025-08-28,272.0,273.885,271.11,273.25,1452379.0
2025-08-27,272.0,273.77,271.03,273.05,1557235.0
2025-08-26,273.37,273.37,270.6,272.0,2496022.0
2025-08-25,276.6,277.6539,274.16,274.41,1194528.0
2025-08-22,280.8,281.7199,277.26,277.69,1401790.0
2025-08-21,280.06,280.6,278.55,278.82,1131848.0
2025-08-20,275.71,280.39,274.385,279.68,2438659.0
2025-08-19,273.07,275.335,272.9301,273.8,4132076.0
2025-08-18,273.65,274.36,272.32,272.92,1160777.0
2025-08-15,276.84,277.1401,273.91,274.21,1504446.0
2025-08-14,276.42,276.73,274.0,275.74,1054463.0
2025-08-13,270.72,276.1661,269.93,275.04,1406485.0
2025-08-12,271.7,272.275,269.71,269.77,1436625.0
2025-08-11,271.66,272.8296,270.16,271.0,1276310.0
2025-08-08,269.89,271.7599,269.7001,271.24,961206.0
2025-08-07,270.17,270.5,267.02,269.31,1588128.0
2025-08-06,269.0,270.94,268.005,269.63,1077968.0
2025-08-05,268.77,269.39,267.24,267.68,1260334.0
2025-08-04,267.5,269.0,266.6025,267.74,1386366.0
2025-08-01,266.56,267.765,264.1,267.4,3215048.0
2025-07-31,266.19,269.15,265.59,266.04,2963096.0
2025-07-30,268.88,269.82,265.075,266.51,1948303.0
2025-07-29,268.06,269.2499,266.56,268.55,2442100.0
2025-07-28,268.77,269.495,264.5301,265.99,2541574.0
2025-07-25,270.585,272.56,269.09,269.15,2979067.0
2025-07-24,270.0,272.67,269.023,270.18,2120947.0
2025-07-23,273.01,273.01,264.54,270.15,5215394.0
2025-07-22,274.22,279.45,274.22,278.73,2360496.0
2025-07-21,274.0,275.7424,273.34,274.02,1963913.0
2025-07-18,275.08,277.7,273.23,274.13,2977900.0
2025-07-17,275.78,277.1784,274.0,275.46,2771699.0
2025-07-16,277.46,278.99,275.76,277.6,1498049.0
2025-07-15,277.95,279.05,275.1809,275.68,1246140.0
2025-07-14,277.93,280.3,277.2,280.2,1017624.0
2025-07-11,279.37,279.81,277.08,278.05,1249423.0
2025-07-10,279.5,281.275,278.41,280.54,1675248.0
2025-07-09,279.5,280.35,277.63,280.0,2052844.0
2025-07-08,278.19,282.04,277.45,279.95,1326192.0
2025-07-07,282.6,284.265,278.5701,279.97,1427455.0
2025-07-03,281.56,285.5,279.93,283.8,1523457.0
2025-07-02,288.17,288.49,277.63,280.08,2546846.0
2025-07-01,289.19,290.5,285.2,289.59,1884462.0
2025-06-30,284.32,289.86,282.69,289.72,1993317.0
2025-06-27,282.97,286.49,281.5,285.12,3782107.0
2025-06-26,283.52,284.98,282.375,283.57,1749406.0
2025-06-25,285.69,285.69,282.22,282.82,1424829.0
2025-06-24,288.11,288.94,285.865,286.78,1351921.0
2025-06-23,284.26,288.46,283.38,288.19,1193301.0
2025-06-20,283.28,286.39,282.64,283.82,2389079.0
2025-06-18,283.8,284.456,281.39,282.15,1217218.0
2025-06-17,285.35,286.55,282.66,283.8,983500.0
2025-06-16,287.59,289.33,285.68,286.43,1273031.0
2025-06-13,286.47,289.0,286.01,286.79,964834.0
2025-06-12,284.8,289.42,284.78,289.29,1258576.0
2025-06-11,285.53,286.9199,283.2,285.61,1591780.0
