date,Open,High,Low,Close,Volume
2025-10-31,90.6,90.92,89.97,90.22,2582194.0
2025-10-30,92.44,94.02,90.9,91.32,2800786.0
2025-10-29,94.24,95.32,92.27,92.32,4055869.0
2025-10-28,94.0,95.0,90.065,94.58,10161406.0
2025-10-27,97.91,98.36,97.11,97.6,2369659.0
2025-10-24,98.65,99.205,97.51,98.49,2108899.0
2025-10-23,100.0,100.5,95.34,98.27,3984311.0
2025-10-22,98.52,99.34,97.61,97.7,2637597.0
2025-10-21,98.38,100.12,98.06,98.65,1804889.0
2025-10-20,97.13,98.92,96.946,98.87,2378367.0
2025-10-17,98.29,98.53,96.5,97.48,2654774.0
2025-10-16,97.71,99.47,97.595,98.06,2172590.0
2025-10-15,96.97,98.52,96.938,98.06,1984436.0
2025-10-14,96.18,97.63,95.98,97.29,2361443.0
2025-10-13,96.2,97.2732,95.29,96.1,2626530.0
2025-10-10,97.5,97.81,95.52,97.58,2703827.0
2025-10-09,96.98,97.35,96.12,96.62,1895024.0
2025-10-08,94.83,96.5,94.625,96.42,4330275.0
2025-10-07,94.21,95.15,93.28,95.14,3420428.0
2025-10-06,94.71,94.9292,93.81,93.99,1656404.0
2025-10-03,95.3,97.05,95.14,95.45,2359468.0
2025-10-02,95.95,96.42,94.815,95.46,2149599.0
2025-10-01,96.95,97.19,95.06,95.71,3328724.0
2025-09-30,96.435,97.26,95.74,96.49,3696060.0
2025-09-29,95.54,96.82,94.85,96.19,4540205.0
2025-09-26,93.96,95.52,93.96,95.31,2786081.0
2025-09-25,94.16,95.32,93.71,93.98,2579511.0
2025-09-24,94.18,94.56,93.4,93.71,2133545.0
2025-09-23,94.44,95.05,94.12,94.35,1924945.0
2025-09-22,94.21,94.71,93.61,94.28,3935956.0
2025-09-19,92.99,94.32,92.385,93.6,5261533.0
2025-09-18,94.0,94.39,92.595,92.96,2717244.0
2025-09-17,93.61,96.38,93.52,94.8,3476808.0
2025-09-16,93.4,94.28,93.39,93.57,2549708.0
2025-09-15,95.0,95.24,92.27,93.57,4768940.0
2025-09-12,95.33,95.905,95.0,95.39,2930038.0
2025-09-11,94.07,95.75,93.69,95.58,2838989.0
2025-09-10,94.02,94.764,93.65,94.03,2614574.0
2025-09-09,94.08,94.63,93.11,94.5,8185987.0
2025-09-08,93.035,94.01,91.3,93.88,9020472.0
2025-09-05,96.57,96.93,95.56,96.15,5239399.0
2025-09-04,97.84,97.84,94.9,95.46,3967540.0
2025-09-03,97.95,99.52,96.91,97.07,3401780.0
2025-09-02,98.17,99.82,97.6206,98.1,4349969.0
2025-08-29,97.86,99.25,97.86,99.14,3263087.0
2025-08-28,100.13,100.18,97.52,97.74,3276684.0
2025-08-27,101.7,102.19,100.15,100.15,3804159.0
2025-08-26,100.99,101.83,99.0,101.39,4864611.0
2025-08-25,103.81,104.08,102.93,102.97,1565565.0
2025-08-22,103.14,104.6103,102.985,103.79,2387787.0
2025-08-21,102.53,103.31,102.195,102.8,1897936.0
2025-08-20,103.34,103.56,102.43,102.86,4009177.0
2025-08-19,101.66,102.575,101.105,102.42,2798770.0
2025-08-18,101.85,102.3,100.13,100.55,2682682.0
2025-08-15,101.28,102.66,100.86,101.69,2849877.0
2025-08-14,101.34,101.425,99.75,101.05,2249150.0
2025-08-13,102.34,102.88,101.26,101.82,3751739.0
2025-08-12,103.66,104.64,101.275,102.33,6153320.0
2025-08-11,104.08,104.64,103.26,103.78,2492538.0
2025-08-08,106.32,106.68,104.23,104.5,1964562.0
2025-08-07,105.47,106.63,104.28,106.21,2285251.0
2025-08-06,105.23,106.64,105.07,105.29,2064411.0
2025-08-05,107.04,107.12,104.69,104.94,2534375.0
2025-08-04,106.76,107.89,106.15,107.19,2977167.0
2025-08-01,107.08,112.75,106.095,106.88,3429550.0
2025-07-31,105.95,107.12,104.76,105.09,4962605.0
2025-07-30,108.12,109.365,106.04,106.97,4169191.0
2025-07-29,109.29,110.14,107.345,109.33,3494945.0
2025-07-28,110.88,111.43,108.53,108.8,4044244.0
2025-07-25,113.8,113.8,110.48,111.48,3420686.0
2025-07-24,112.97,115.76,112.41,113.91,6095833.0
2025-07-23,109.66,110.7,109.2,109.73,4709212.0
2025-07-22,106.91,110.49,106.47,110.25,3734928.0
2025-07-21,105.85,106.85,105.51,106.4,2576662.0
2025-07-18,104.4,105.54,104.19,105.14,5210615.0
2025-07-17,103.72,104.58,103.3,104.24,2061656.0
2025-07-16,102.22,103.8,102.0,103.79,1580361.0
2025-07-15,103.17,103.24,101.46,101.95,1969844.0
2025-07-14,102.47,103.44,101.86,103.24,2649777.0
2025-07-11,103.29,103.75,102.065,102.76,1804492.0
2025-07-10,103.4,104.46,102.4,103.97,2712397.0
2025-07-09,102.495,103.49,101.21,103.41,1952613.0
2025-07-08,100.76,102.82,100.76,102.58,2209810.0
2025-07-07,102.87,103.11,101.07,101.85,2110422.0
2025-07-03,102.61,103.14,101.0675,102.92,1246284.0
2025-07-02,103.39,103.87,102.91,103.17,1951495.0
2025-07-01,102.7,104.33,102.08,103.72,3405595.0
2025-06-30,100.35,102.79,99.3,102.73,3899183.0
2025-06-27,100.0,101.27,99.73,100.65,3004443.0
2025-06-26,102.2,102.45,99.74,100.35,4204207.0
2025-06-25,102.46,102.935,101.41,101.82,2327252.0
2025-06-24,102.43,103.71,101.03,103.19,4688577.0
2025-06-23,100.63,103.02,100.32,102.53,5335823.0
2025-06-20,99.36,100.59,99.1634,100.18,5035153.0
2025-06-18,99.01,99.67,98.03,99.38,3549386.0
2025-06-17,99.03,99.5183,98.14,98.81,1881204.0
2025-06-16,98.24,100.38,97.9,99.0,4456727.0
2025-06-13,98.74,99.675,98.07,98.39,2301129.0
2025-06-12,99.72,100.28,99.34,100.03,2803818.0
2025-06-11,99.7,100.42,98.74,99.43,3617284.0
