date,Open,High,Low,Close,Volume
2025-10-31,338.73,340.73,336.22,338.69,1429974.0
2025-10-30,340.0,342.2,333.41,336.09,1559514.0
2025-10-29,337.3,347.0,334.0,341.43,2413024.0
2025-10-28,339.01,348.08,327.165,341.3,3215992.0
2025-10-27,357.525,357.525,346.0,351.4,4236538.0
2025-10-24,339.76,351.13,339.76,345.1,1856352.0
2025-10-23,329.3,338.18,327.62,337.27,1533685.0
2025-10-22,333.44,336.495,326.16,330.51,1996692.0
2025-10-21,327.53,335.12,327.11,333.45,1258822.0
2025-10-20,327.79,331.1188,326.39,329.64,1458433.0
2025-10-17,322.59,328.21,320.0,326.12,1481818.0
2025-10-16,326.175,327.05,320.08,324.25,1788568.0
2025-10-15,330.65,330.65,321.39,324.1,1599584.0
2025-10-14,324.5,329.85,318.0201,325.75,1602928.0
2025-10-13,329.75,334.2,324.944,332.23,1724191.0
2025-10-10,348.1,350.26,325.86,327.0,2156104.0
2025-10-09,348.25,348.77,343.58,348.67,1227307.0
2025-10-08,346.07,354.255,346.07,350.0,1292909.0
2025-10-07,352.7,353.33,342.08,345.48,949557.0
2025-10-06,350.0,354.85,350.0,353.36,1441237.0
2025-10-03,347.24,353.1499,345.0,347.27,1056334.0
2025-10-02,354.55,355.135,346.35,347.24,1649871.0
2025-10-01,348.27,355.1528,347.41,351.97,1156795.0
2025-09-30,349.2,352.05,346.92,351.26,1195417.0
2025-09-29,352.88,352.88,347.81,348.52,1207820.0
2025-09-26,349.92,351.09,346.99,350.11,1299435.0
2025-09-25,352.52,355.03,350.03,351.06,1921357.0
2025-09-24,366.71,366.71,355.8,356.96,1656035.0
2025-09-23,370.975,371.84,363.98,366.3,1528127.0
2025-09-22,370.0,373.9,364.695,373.37,1620319.0
2025-09-19,367.26,374.3,365.515,373.35,5005069.0
2025-09-18,359.5,366.05,356.43,364.88,1762833.0
2025-09-17,349.88,349.88,341.2045,347.27,1671830.0
2025-09-16,350.17,352.57,347.945,349.01,1459143.0
2025-09-15,343.17,352.0,342.26,351.52,1405348.0
2025-09-12,353.465,355.065,342.0857,343.48,1616973.0
2025-09-11,342.36,357.76,338.9,354.7,3571615.0
2025-09-10,348.5,348.53,326.35,338.53,5847753.0
2025-09-09,362.0,362.71,356.4,361.77,1271816.0
2025-09-08,353.67,361.36,353.0,360.64,1773447.0
2025-09-05,353.025,355.305,345.88,351.01,1115965.0
2025-09-04,346.93,350.1199,344.43,349.33,905658.0
2025-09-03,340.88,347.43,340.57,347.32,1140786.0
2025-09-02,343.95,346.86,340.67,342.81,1202504.0
2025-08-29,353.6,355.23,346.19,350.43,1304294.0
2025-08-28,347.72,355.49,347.72,354.29,1081597.0
2025-08-27,345.0,347.68,343.11,346.88,1069981.0
2025-08-26,344.14,345.56,343.14,344.03,1718735.0
2025-08-25,347.0,349.05,344.66,345.19,1022437.0
2025-08-22,348.54,354.96,346.79,349.63,1198435.0
2025-08-21,343.46,348.84,343.46,347.57,1038313.0
2025-08-20,346.2,346.435,339.62,345.45,1779917.0
2025-08-19,354.0,355.5,346.06,346.88,1825343.0
2025-08-18,349.285,356.9122,348.06,356.25,1496194.0
2025-08-15,349.05,351.03,344.79,349.88,1567784.0
2025-08-14,348.33,350.0,346.28,348.92,1220379.0
2025-08-13,356.04,356.4,346.09,349.12,1208629.0
2025-08-12,349.09,353.66,345.48,353.61,1263284.0
2025-08-11,352.08,354.1641,346.77,349.09,1624559.0
2025-08-08,356.43,357.59,351.5,352.06,1373176.0
2025-08-07,363.015,365.4,349.66,354.33,1526700.0
2025-08-06,361.86,364.07,358.7,360.16,1058804.0
2025-08-05,366.2,369.1399,357.7,360.5,1682437.0
2025-08-04,358.78,364.89,355.63,364.88,1841948.0
2025-08-01,358.0,360.31,353.01,356.97,2070357.0
2025-07-31,371.52,376.445,363.47,364.57,3012745.0
2025-07-30,367.49,374.05,363.75,371.03,3894030.0
2025-07-29,355.0,370.6065,353.0,366.26,4666680.0
2025-07-28,334.475,334.9999,328.455,333.76,2682369.0
2025-07-25,325.0,335.16,324.5,332.19,2718308.0
2025-07-24,325.56,327.5,324.37,324.64,1649843.0
2025-07-23,320.48,326.52,318.49,326.46,1524023.0
2025-07-22,317.54,321.69,313.0001,319.6,1211417.0
2025-07-21,315.04,318.83,315.04,316.32,1042247.0
2025-07-18,321.37,322.1482,315.04,315.57,1391024.0
2025-07-17,313.08,321.23,311.45,320.855,1276061.0
2025-07-16,318.7,318.7,311.085,314.58,1595846.0
2025-07-15,319.84,324.4899,317.67,318.04,1447559.0
2025-07-14,320.13,320.97,314.7,317.49,1863085.0
2025-07-11,321.57,324.32,318.16,320.6,1201776.0
2025-07-10,325.26,325.26,318.2,322.66,1463741.0
2025-07-09,324.14,325.54,320.54,322.91,1092525.0
2025-07-08,322.12,323.705,319.0201,323.28,2022887.0
2025-07-07,326.81,327.98,318.8,320.3,1824445.0
2025-07-03,326.47,330.09,321.3764,326.81,2274696.0
2025-07-02,307.23,312.75,306.0001,310.95,1164871.0
2025-07-01,306.35,310.99,304.73,309.46,1332210.0
2025-06-30,306.12,310.12,305.21,308.15,1748252.0
2025-06-27,307.03,315.9,304.29,305.2,2331778.0
2025-06-26,299.0,303.87,298.33,303.69,2128233.0
2025-06-25,297.834,301.26,295.33,297.53,1736796.0
2025-06-24,295.85,297.14,293.61,296.8,1906386.0
2025-06-23,294.33,295.82,289.69,293.56,2134880.0
2025-06-20,299.63,300.76,293.84,295.4,2373325.0
2025-06-18,297.78,300.1,295.6086,296.84,1221116.0
2025-06-17,299.79,304.44,298.13,299.0,1130561.0
2025-06-16,300.69,302.405,297.03,300.81,1697079.0
2025-06-13,302.0,305.3,299.62,300.0,1188950.0
2025-06-12,306.4,310.0,306.1,307.85,1012783.0
2025-06-11,306.0,309.39,302.4501,307.2,1259707.0
