date,Open,High,Low,Close,Volume
2025-10-31,37.86,38.87,37.57,38.44,3161274.0
2025-10-30,38.785,39.3,37.9,38.0,2784672.0
2025-10-29,40.85,42.47,39.66,40.12,2297394.0
2025-10-28,43.52,43.715,41.16,41.2,1476185.0
2025-10-27,42.77,44.17,42.713,43.84,1888449.0
2025-10-24,43.08,43.08,42.15,42.21,817666.0
2025-10-23,41.76,43.25,41.66,42.35,1560512.0
2025-10-22,41.32,42.01,40.4,40.44,1165123.0
2025-10-21,41.02,42.085,40.66,41.61,1160381.0
2025-10-20,40.69,41.65,40.17,41.04,1704273.0
2025-10-17,39.76,40.23,39.3501,40.19,1697212.0
2025-10-16,40.53,40.7999,39.57,39.98,1298198.0
2025-10-15,41.38,41.81,40.15,40.19,1474999.0
2025-10-14,39.24,41.13,38.85,40.82,1069868.0
2025-10-13,40.18,41.38,40.04,40.16,1343295.0
2025-10-10,42.41,42.61,39.21,39.29,2509519.0
2025-10-09,43.0,43.05,41.71,42.21,1138651.0
2025-10-08,42.94,43.3,42.52,42.63,1427855.0
2025-10-07,44.73,44.8863,42.462,42.61,1676638.0
2025-10-06,45.05,45.0713,44.1328,44.29,1481918.0
2025-10-03,45.38,45.8294,44.82,45.14,1727861.0
2025-10-02,43.86,45.47,43.845,45.31,2359946.0
2025-10-01,41.98,42.762,41.59,42.35,1402119.0
2025-09-30,40.88,42.25,40.39,42.08,1683061.0
2025-09-29,41.31,41.425,40.13,40.84,1625919.0
2025-09-26,40.02,41.71,39.83,40.78,2383433.0
2025-09-25,41.51,42.0888,39.88,39.94,2316677.0
2025-09-24,42.81,43.225,42.2,42.38,1528951.0
2025-09-23,43.93,44.3399,42.55,42.6,2402024.0
2025-09-22,44.25,44.25,43.34,43.69,3055431.0
2025-09-19,45.31,45.415,44.12,44.25,2567453.0
2025-09-18,45.98,46.355,44.88,45.48,1878972.0
2025-09-17,45.6,47.75,44.705,45.11,2195665.0
2025-09-16,45.01,45.9,44.59,45.42,1933890.0
2025-09-15,46.21,46.83,44.75,44.78,1352628.0
2025-09-12,46.84,46.84,45.4,45.6,1014016.0
2025-09-11,43.99,46.97,43.84,46.87,1728760.0
2025-09-10,44.5,45.63,44.05,44.22,1934104.0
2025-09-09,46.285,46.37,44.51,44.68,2473766.0
2025-09-08,47.84,48.16,45.65,46.52,2091106.0
2025-09-05,46.51,49.3299,46.341,48.73,2223201.0
2025-09-04,44.42,46.53,43.705,46.43,2374062.0
2025-09-03,45.56,46.1,44.3154,44.64,1755641.0
2025-09-02,46.65,46.65,44.92,46.07,1860364.0
2025-08-29,46.89,47.9,46.85,47.63,1801423.0
2025-08-28,47.84,47.84,46.425,46.87,1348855.0
2025-08-27,46.71,47.7322,46.67,47.16,1635242.0
2025-08-26,47.28,47.85,46.82,47.09,1555164.0
2025-08-25,48.11,48.63,46.79,47.32,2324892.0
2025-08-22,44.94,48.86,44.6359,48.63,2787689.0
2025-08-21,44.75,45.12,44.0801,44.68,1687297.0
2025-08-20,45.09,45.81,44.73,45.39,1629526.0
2025-08-19,43.89,46.0,43.89,45.24,2708425.0
2025-08-18,42.06,44.22,42.0,43.11,2262246.0
2025-08-15,42.86,43.12,41.995,42.48,1773036.0
2025-08-14,40.7,42.87,40.31,42.62,3401019.0
2025-08-13,41.08,43.36,40.87,41.8,3994900.0
2025-08-12,40.0,42.99,36.98,41.22,12813092.0
2025-08-11,48.41,48.9,45.82,47.42,3839709.0
2025-08-08,48.75,49.04,47.63,48.05,1759097.0
2025-08-07,49.425,49.9922,48.27,48.65,1532138.0
2025-08-06,49.45,50.1905,47.501,47.82,2015285.0
2025-08-05,48.95,50.0,48.12,49.35,1686000.0
2025-08-04,48.93,49.145,47.92,48.07,2018631.0
2025-08-01,50.86,50.86,46.63,48.55,2774873.0
2025-07-31,53.29,54.0,51.98,52.23,2516096.0
2025-07-30,56.76,56.99,53.6,54.14,1642854.0
2025-07-29,58.08,58.33,56.73,56.97,2507598.0
2025-07-28,58.49,58.68,57.4,57.91,1202317.0
2025-07-25,57.62,58.97,56.86,58.7,1419328.0
2025-07-24,58.06,58.88,56.5953,57.1,2189155.0
2025-07-23,60.03,60.94,58.755,59.75,1496024.0
2025-07-22,58.41,59.52,57.95,58.74,1511895.0
2025-07-21,58.25,59.23,57.6101,58.01,1043681.0
2025-07-18,59.0,59.28,56.955,57.31,1810332.0
2025-07-17,56.92,59.01,56.75,58.5,1724032.0
2025-07-16,57.51,58.09,55.3882,56.92,1411167.0
2025-07-15,60.39,60.395,57.465,57.51,1885363.0
2025-07-14,60.48,60.9,58.7,59.27,1528231.0
2025-07-11,60.64,61.46,60.23,61.03,814337.0
2025-07-10,61.25,63.55,60.86,62.39,1785008.0
2025-07-09,61.05,61.75,59.22,60.77,1386750.0
2025-07-08,58.6,62.24,58.49,60.36,1851998.0
2025-07-07,59.97,60.65,57.88,58.1,1624905.0
2025-07-03,61.0,61.24,60.33,60.88,1082023.0
2025-07-02,58.89,60.85,58.21,60.62,2601783.0
2025-07-01,55.32,59.84,55.15,58.13,2588266.0
2025-06-30,56.2,56.7,54.97,55.33,1538756.0
2025-06-27,56.86,57.94,56.01,56.77,3103063.0
2025-06-26,56.26,57.15,55.8622,56.55,1410494.0
2025-06-25,56.05,56.0999,54.86,55.61,852318.0
2025-06-24,55.49,56.7,55.21,56.02,1067553.0
2025-06-23,52.89,54.74,52.51,54.6,1753723.0
2025-06-20,54.37,54.52,53.425,53.51,1259253.0
2025-06-18,54.14,55.14,53.975,54.39,1527089.0
2025-06-17,55.68,55.87,54.46,54.48,1229018.0
2025-06-16,55.78,56.29,54.56,56.24,1802508.0
2025-06-13,55.58,57.04,54.32,54.63,1737158.0
2025-06-12,56.73,57.67,56.0001,56.87,1218724.0
2025-06-11,60.0,60.36,57.87,58.19,1863083.0
