date,Open,High,Low,Close,Volume
2025-10-31,82.56,84.01,82.28,83.29,1861800.0
2025-10-30,84.03,84.45,82.601,82.81,2144669.0
2025-10-29,85.69,85.89,83.745,84.15,1648556.0
2025-10-28,85.79,87.135,85.6,86.1,1467648.0
2025-10-27,87.27,87.87,85.77,86.39,1617625.0
2025-10-24,87.16,87.64,86.3,86.47,1458709.0
2025-10-23,86.86,87.67,85.81,86.93,1985839.0
2025-10-22,83.5,86.82,83.42,85.93,3078326.0
2025-10-21,84.5,85.01,83.26,83.29,2617586.0
2025-10-20,83.78,84.54,83.44,83.93,1659879.0
2025-10-17,82.47,84.045,82.28,83.51,2160567.0
2025-10-16,85.99,87.475,82.35,83.02,2873952.0
2025-10-15,86.99,87.61,85.22,85.44,1578718.0
2025-10-14,88.03,88.415,85.4226,86.73,1669123.0
2025-10-13,87.56,88.53,87.54,88.21,1163273.0
2025-10-10,87.23,88.78,86.5137,87.34,1999150.0
2025-10-09,91.53,91.63,88.55,88.61,1538269.0
2025-10-08,92.5,92.51,89.98,90.69,1762183.0
2025-10-07,91.86,92.225,91.01,91.97,1841783.0
2025-10-06,90.68,92.37,90.52,92.06,3067729.0
2025-10-03,90.43,91.79,89.69,90.09,1535748.0
2025-10-02,86.75,90.0,86.72,89.84,2759772.0
2025-10-01,89.67,90.33,86.34,86.43,2308242.0
2025-09-30,90.35,90.37,89.33,89.7,2709950.0
2025-09-29,92.15,92.46,89.32,90.51,2229217.0
2025-09-26,89.84,92.2899,88.94,92.13,2161435.0
2025-09-25,91.74,93.08,88.08,89.71,4369468.0
2025-09-24,87.66,92.88,87.23,91.65,4843220.0
2025-09-23,86.17,87.38,85.75,87.14,3112181.0
2025-09-22,85.03,86.29,84.43,85.64,2498879.0
2025-09-19,84.33,85.665,83.42,85.09,6496330.0
2025-09-18,84.52,84.795,83.14,84.1,2793935.0
2025-09-17,84.81,85.4,84.075,84.19,2269908.0
2025-09-16,85.97,86.27,84.65,84.96,2600948.0
2025-09-15,85.84,86.1,85.04,85.35,2287230.0
2025-09-12,86.21,86.63,85.28,85.63,1403134.0
2025-09-11,87.23,87.39,85.88,86.13,1778220.0
2025-09-10,84.53,87.31,84.53,86.9,2313235.0
2025-09-09,84.97,85.385,84.37,84.66,2293984.0
2025-09-08,85.19,85.19,83.53,84.5,1839946.0
2025-09-05,84.0,84.675,83.28,84.48,2333014.0
2025-09-04,83.8,84.31,81.72,84.18,3726206.0
2025-09-03,86.75,87.61,84.73,84.77,2045967.0
2025-09-02,86.59,87.505,86.0,87.43,3436264.0
2025-08-29,87.31,87.49,86.245,86.63,1380869.0
2025-08-28,86.57,87.32,84.905,87.31,2466932.0
2025-08-27,86.38,87.15,86.1,86.35,2034007.0
2025-08-26,85.88,86.64,85.05,86.63,2623472.0
2025-08-25,86.68,88.84,85.785,86.17,2411846.0
2025-08-22,86.42,87.28,86.04,86.51,1634201.0
2025-08-21,85.55,86.6399,85.55,86.36,1549060.0
2025-08-20,84.97,85.6,84.15,85.43,2126424.0
2025-08-19,84.49,84.79,83.69,84.0,1892790.0
2025-08-18,85.69,85.995,83.57,84.45,3058493.0
2025-08-15,84.62,86.39,84.62,85.9,2428910.0
2025-08-14,84.59,85.36,83.5737,85.27,2755612.0
2025-08-13,85.075,86.44,84.0,86.42,4131686.0
2025-08-12,82.88,84.28,81.93,82.9,3628700.0
2025-08-11,81.48,83.665,81.47,82.63,3050125.0
2025-08-08,83.27,83.71,80.315,80.91,5730999.0
2025-08-07,84.2,85.35,79.635,82.89,7534317.0
2025-08-06,91.74,93.29,89.9,89.9,3845358.0
2025-08-05,93.65,94.08,90.66,92.72,2374940.0
2025-08-04,91.94,94.12,91.3482,93.65,2157373.0
2025-08-01,92.8,92.9,90.01,91.56,1655487.0
2025-07-31,91.73,92.95,91.605,92.83,2024289.0
2025-07-30,93.76,94.37,92.0,92.64,2027664.0
2025-07-29,93.62,95.055,92.74,94.91,2088969.0
2025-07-28,93.79,93.79,91.8081,92.53,1206597.0
2025-07-25,93.4,93.65,92.64,93.3,1550483.0
2025-07-24,93.57,94.09,93.2,93.5,2218349.0
2025-07-23,92.09,94.17,92.09,93.71,2142017.0
2025-07-22,91.12,92.27,90.91,91.72,1972164.0
2025-07-21,92.45,92.62,90.4679,90.99,1816019.0
2025-07-18,92.01,93.92,91.855,92.63,2297553.0
2025-07-17,91.92,92.55,91.475,91.79,2226472.0
2025-07-16,95.81,96.4,92.51,92.6,3154707.0
2025-07-15,97.41,97.98,95.31,95.9,1713623.0
2025-07-14,98.44,99.385,97.265,97.41,1854282.0
2025-07-11,95.5,98.33,95.465,98.24,2912099.0
2025-07-10,97.46,97.77,95.51,95.76,2184476.0
2025-07-09,96.76,99.16,96.1,98.75,2511707.0
2025-07-08,96.26,98.71,95.9116,97.12,2838071.0
2025-07-07,94.28,95.295,93.88,95.19,2417785.0
2025-07-03,93.61,94.96,93.61,94.65,1516352.0
2025-07-02,93.27,94.34,92.91,93.85,2526715.0
2025-07-01,91.87,93.1,91.62,92.49,1873153.0
2025-06-30,90.71,92.315,90.08,92.0,3076077.0
2025-06-27,90.65,91.11,90.08,90.99,3340137.0
2025-06-26,91.44,92.23,90.48,90.69,2908707.0
2025-06-25,94.58,94.65,91.365,91.4,3489469.0
2025-06-24,93.6,95.31,92.91,94.68,4188148.0
2025-06-23,100.6,101.135,96.12,96.53,5159615.0
2025-06-20,100.23,100.4,98.34,100.36,9801450.0
2025-06-18,101.31,102.55,99.575,100.31,5226563.0
2025-06-17,102.0,102.88,100.825,102.48,3057263.0
2025-06-16,101.0,104.45,100.1,100.74,5174015.0
2025-06-13,96.26,100.48,96.26,99.93,6229067.0
2025-06-12,93.24,94.5,92.46,93.83,2558270.0
2025-06-11,92.56,95.55,90.7458,95.24,3495855.0
