date,Open,High,Low,Close,Volume
2025-10-31,154.8,156.23,150.93,153.99,2883059.0
2025-10-30,149.61,158.7,149.22,154.88,5571970.0
2025-10-29,127.19,131.1,126.83,129.38,2913732.0
2025-10-28,129.87,130.07,127.355,128.07,1476845.0
2025-10-27,126.96,129.18,126.17,129.06,1557952.0
2025-10-24,126.86,127.31,125.41,126.06,1469449.0
2025-10-23,126.95,127.71,125.35,125.41,1358285.0
2025-10-22,128.31,129.22,126.89,127.15,1549684.0
2025-10-21,127.46,130.16,127.36,128.28,1106179.0
2025-10-20,127.78,128.6,126.435,127.46,1335208.0
2025-10-17,126.24,127.905,125.83,127.39,1417407.0
2025-10-16,129.36,129.86,125.76,125.99,1602449.0
2025-10-15,128.81,129.21,127.28,128.01,1150028.0
2025-10-14,124.39,128.13,123.64,127.98,1569499.0
2025-10-13,125.7,126.3265,124.34,124.39,997971.0
2025-10-10,129.67,130.5,125.03,125.31,2183201.0
2025-10-09,133.56,133.7,128.69,128.9,1805656.0
2025-10-08,132.56,134.81,130.55,134.04,1560183.0
2025-10-07,134.67,134.96,133.3,133.79,844831.0
2025-10-06,134.65,135.28,133.68,134.36,997535.0
2025-10-03,135.0,137.77,134.865,135.4,1209175.0
2025-10-02,132.89,135.38,132.89,134.77,1203895.0
2025-10-01,132.86,133.45,131.79,132.66,1408542.0
2025-09-30,131.45,132.49,130.2674,132.4,1928040.0
2025-09-29,133.355,133.355,130.5232,131.87,1408014.0
2025-09-26,134.02,134.59,131.63,131.81,1701853.0
2025-09-25,133.08,134.495,132.4,133.84,1875540.0
2025-09-24,134.79,135.53,131.6,133.3,2231222.0
2025-09-23,133.98,136.31,133.57,134.24,1687476.0
2025-09-22,136.02,136.22,132.97,133.98,2036964.0
2025-09-19,137.25,137.996,134.91,136.07,4618993.0
2025-09-18,136.355,137.91,136.06,137.09,1809250.0
2025-09-17,133.79,137.03,133.25,135.09,2152009.0
2025-09-16,133.24,134.04,132.04,133.77,2061769.0
2025-09-15,132.71,134.91,132.02,133.27,1598994.0
2025-09-12,130.605,132.92,130.45,132.41,1412332.0
2025-09-11,127.24,131.175,126.9,131.02,1607113.0
2025-09-10,125.34,127.825,125.3,127.64,1180303.0
2025-09-09,125.52,126.59,125.12,126.05,944143.0
2025-09-08,126.39,126.78,125.23,125.9,1217764.0
2025-09-05,126.97,127.8,124.15,126.13,1448044.0
2025-09-04,128.47,129.23,127.17,127.84,1285935.0
2025-09-03,128.36,129.39,127.35,128.79,985937.0
2025-09-02,128.03,129.05,127.51,128.89,1366659.0
2025-08-29,129.6,131.17,127.915,128.7,2265200.0
