date,Open,High,Low,Close,Volume
2025-10-31,152.95,155.92,152.75,154.59,998835.0
2025-10-30,151.5,154.6098,150.925,154.36,742573.0
2025-10-29,150.7,152.27,150.0,151.83,790911.0
2025-10-28,157.1,157.1,151.42,151.75,970742.0
2025-10-27,156.74,158.34,156.5,157.64,657767.0
2025-10-24,155.72,157.09,155.72,156.67,370215.0
2025-10-23,155.66,156.59,154.93,155.72,350246.0
2025-10-22,157.24,157.795,154.83,155.47,495949.0
2025-10-21,154.06,156.87,153.524,156.29,496169.0
2025-10-20,153.92,155.155,153.04,154.9,379489.0
2025-10-17,151.72,154.43,151.72,153.02,592611.0
2025-10-16,153.975,154.62,151.09,151.39,675438.0
2025-10-15,158.56,159.5299,155.525,156.35,573784.0
2025-10-14,157.42,159.3,156.705,158.75,498988.0
2025-10-13,159.0,159.665,157.33,157.88,487064.0
2025-10-10,162.64,163.55,158.7,158.97,712137.0
2025-10-09,165.61,166.19,161.06,161.68,540361.0
2025-10-08,165.43,166.7945,164.77,165.55,445107.0
2025-10-07,165.21,166.895,165.0,165.69,406097.0
2025-10-06,164.31,165.93,163.65,165.21,476007.0
2025-10-03,160.51,164.034,160.51,163.29,594106.0
2025-10-02,158.85,160.64,158.48,160.51,452283.0
2025-10-01,157.5,160.34,157.21,159.79,484612.0
2025-09-30,156.46,158.4,155.8115,158.1,378685.0
2025-09-29,157.04,157.315,155.87,156.37,396898.0
2025-09-26,155.29,157.14,155.15,156.9,312002.0
2025-09-25,154.83,156.5692,154.12,154.42,380409.0
2025-09-24,154.53,155.23,154.01,154.52,337629.0
2025-09-23,154.05,156.03,154.05,154.44,302779.0
2025-09-22,154.47,155.505,153.91,154.69,357860.0
2025-09-19,156.48,156.89,154.272,156.11,1123169.0
2025-09-18,153.66,156.095,153.66,155.93,426087.0
2025-09-17,153.05,156.36,152.975,154.48,405937.0
2025-09-16,154.69,154.7,153.1,153.27,434683.0
2025-09-15,157.15,157.645,154.65,155.13,515882.0
2025-09-12,156.36,157.67,156.135,156.86,613681.0
2025-09-11,152.51,156.9,152.18,156.76,395252.0
2025-09-10,152.33,152.95,151.22,152.31,443075.0
