date,Open,High,Low,Close,Volume
2025-10-31,76.85,77.21,75.69,76.5,1171982.0
2025-10-30,76.9,78.68,76.73,77.09,1234950.0
2025-10-29,77.24,78.25,76.18,76.77,1800431.0
2025-10-28,77.73,78.03,77.16,77.63,1325901.0
2025-10-27,78.65,78.91,77.47,77.94,1633661.0
2025-10-24,77.51,79.0,77.51,78.23,2442703.0
2025-10-23,76.57,77.83,76.46,77.22,2141090.0
2025-10-22,77.03,78.09,76.525,76.6,1983095.0
2025-10-21,76.55,78.17,76.48,77.41,1586196.0
2025-10-20,75.25,76.86,75.23,76.76,2927416.0
2025-10-17,76.52,77.47,74.535,74.92,3412166.0
2025-10-16,78.4,78.845,73.34,73.85,5012783.0
2025-10-15,79.93,80.07,77.99,78.61,3491517.0
2025-10-14,77.0,80.15,77.0,79.49,2814590.0
2025-10-13,77.0,77.89,76.69,77.37,2666043.0
2025-10-10,80.24,80.55,75.81,75.87,3456369.0
2025-10-09,80.08,81.04,79.7,80.21,4459196.0
2025-10-08,80.5,81.49,79.5,79.86,6459053.0
2025-10-07,80.7,81.98,79.48,80.05,8390699.0
2025-10-06,81.0,83.22,79.06,80.2,23294686.0
2025-10-03,70.46,71.3313,70.15,70.55,1359640.0
2025-10-02,68.99,70.6,68.49,70.12,2277818.0
2025-10-01,67.99,69.235,67.67,69.09,1248421.0
2025-09-30,69.07,69.41,66.845,68.52,1427224.0
2025-09-29,69.56,69.715,68.22,69.0,1160245.0
2025-09-26,69.35,70.02,68.885,69.42,1219632.0
2025-09-25,68.45,69.3975,68.25,68.89,928391.0
2025-09-24,68.82,69.6,68.67,68.93,1456408.0
2025-09-23,68.57,69.84,68.04,68.77,1584931.0
2025-09-22,69.26,69.79,68.15,68.42,967268.0
2025-09-19,70.4,70.64,69.325,69.86,2603557.0
2025-09-18,69.89,71.26,69.63,70.34,1435545.0
2025-09-17,68.67,70.86,68.405,69.59,1988809.0
2025-09-16,68.89,69.25,67.35,68.46,1321778.0
2025-09-15,69.895,70.0,68.45,68.75,1559576.0
2025-09-12,69.48,70.66,69.1685,70.46,1590586.0
2025-09-11,69.35,70.18,68.935,69.46,1286379.0
2025-09-10,68.45,69.82,67.98,69.25,1563160.0
2025-09-09,68.24,69.58,68.24,69.06,1781277.0
2025-09-08,68.71,68.975,67.21,68.69,1782073.0
2025-09-05,70.76,71.23,68.72,68.86,1213688.0
2025-09-04,70.6,70.67,69.77,70.6,1239252.0
2025-09-03,69.9,71.27,69.05,69.99,1528696.0
2025-09-02,69.54,70.99,68.73,70.07,2922711.0
2025-08-29,70.82,71.13,69.9808,70.58,2148031.0
2025-08-28,71.57,71.7205,70.45,70.82,1243473.0
2025-08-27,69.38,71.265,69.38,71.05,2259161.0
2025-08-26,68.37,71.11,68.37,69.69,1935941.0
2025-08-25,69.19,69.65,68.38,68.67,1862606.0
2025-08-22,67.29,70.22,67.265,69.58,2357988.0
2025-08-21,67.13,67.44,66.64,66.94,1421094.0
2025-08-20,67.73,67.895,66.74,67.55,1621442.0
2025-08-19,67.4,68.26,67.09,67.58,2097451.0
2025-08-18,67.77,67.88,66.89,67.72,1738640.0
2025-08-15,68.75,69.1,67.89,67.89,1434982.0
2025-08-14,68.24,69.23,67.89,69.17,1267608.0
2025-08-13,68.15,68.97,67.515,68.89,1424472.0
2025-08-12,66.51,68.145,66.395,68.04,1693080.0
2025-08-11,66.48,67.07,65.72,65.83,1934373.0
2025-08-08,66.53,67.4,65.86,66.86,1249938.0
2025-08-07,67.35,67.52,65.32,66.01,1201461.0
2025-08-06,68.25,68.32,66.5,66.5,1893596.0
2025-08-05,67.46,67.79,66.35,67.6,1575627.0
2025-08-04,67.1,67.635,66.695,67.39,1369010.0
2025-08-01,66.53,66.83,64.81,66.61,1930519.0
2025-07-31,67.78,68.8,67.37,67.57,2767913.0
2025-07-30,69.41,69.81,67.58,67.97,2573461.0
2025-07-29,69.63,70.15,69.25,69.34,2647459.0
2025-07-28,68.4,69.91,68.355,69.63,3987396.0
2025-07-25,67.17,68.15,65.8,67.99,3551856.0
2025-07-24,66.63,67.64,66.33,67.48,3430177.0
2025-07-23,65.97,67.0,65.67,66.63,4765755.0
2025-07-22,63.57,65.31,63.18,65.28,5679184.0
2025-07-21,64.96,65.49,62.91,63.16,3933845.0
2025-07-18,62.65,65.94,62.65,65.32,4791530.0
2025-07-17,60.78,62.51,60.735,62.42,3132171.0
2025-07-16,61.56,61.94,59.96,61.14,2240831.0
2025-07-15,63.46,63.68,61.21,61.23,2702581.0
2025-07-14,63.19,63.86,63.04,63.83,2360190.0
2025-07-11,63.45,63.88,62.85,63.42,1343510.0
2025-07-10,62.74,64.085,62.61,64.01,1814302.0
2025-07-09,63.55,63.6999,62.38,62.8,2106787.0
2025-07-08,62.96,63.54,62.77,63.11,1860558.0
2025-07-07,63.33,63.965,62.6,62.95,1581372.0
2025-07-03,62.94,63.9,62.59,63.78,1638551.0
2025-07-02,61.33,62.39,60.62,62.35,1995526.0
2025-07-01,59.44,61.6,59.44,60.93,1722662.0
2025-06-30,59.57,60.03,59.3102,59.65,1233556.0
2025-06-27,59.23,59.93,58.965,59.46,1883455.0
2025-06-26,57.9,59.18,57.795,59.08,1219776.0
2025-06-25,58.1,58.145,57.53,57.87,974728.0
2025-06-24,57.97,58.73,57.81,58.23,1444298.0
2025-06-23,56.12,57.47,55.93,57.36,2139470.0
2025-06-20,56.11,56.62,55.74,56.49,1390684.0
2025-06-18,54.87,56.31,54.72,55.83,1068199.0
2025-06-17,55.165,55.8,54.76,55.0,1050279.0
2025-06-16,55.52,55.95,55.22,55.47,1339912.0
2025-06-13,56.31,56.58,54.75,54.99,1683928.0
2025-06-12,57.53,57.54,56.745,57.51,1361725.0
2025-06-11,59.15,59.39,57.87,57.95,1740713.0
