date,Open,High,Low,Close,Volume
2025-10-31,32.51,32.51,31.205,31.69,50225035.0
2025-10-30,31.27,34.13,31.01,32.53,110050474.0
2025-10-29,39.99,40.65,39.585,39.76,30048438.0
2025-10-28,41.0,41.0,40.23,40.26,12383421.0
2025-10-27,41.4,41.52,40.95,41.06,13615723.0
2025-10-24,42.18,42.19,41.04,41.19,12195019.0
2025-10-23,41.645,42.055,41.1,41.8,11440966.0
2025-10-22,42.24,42.38,41.428,41.61,10182395.0
2025-10-21,41.59,42.74,41.575,42.36,12065932.0
2025-10-20,41.82,42.335,41.3201,41.63,15121597.0
2025-10-17,41.665,42.3,41.49,41.86,9933391.0
2025-10-16,41.82,42.175,41.47,41.76,12209615.0
2025-10-15,42.35,42.815,41.735,41.77,15218839.0
2025-10-14,40.3,42.605,40.06,42.1,20564470.0
2025-10-13,40.12,41.06,40.085,40.9,13235776.0
2025-10-10,41.08,41.4,39.81,39.82,15268976.0
2025-10-09,41.04,41.66,40.865,40.89,15623122.0
2025-10-08,41.0,41.105,40.26,40.98,15236368.0
2025-10-07,41.5,41.8887,40.65,40.95,15614950.0
2025-10-06,41.91,42.025,41.18,41.63,17182520.0
2025-10-03,40.27,41.955,40.17,41.76,30057373.0
2025-10-02,39.03,40.38,39.0,40.27,20073408.0
2025-10-01,39.21,39.72,38.7647,38.97,16240535.0
2025-09-30,39.86,39.9356,38.845,39.19,19388885.0
2025-09-29,40.28,40.38,39.6,39.9,22483128.0
2025-09-26,39.33,40.09,39.21,40.08,14898252.0
2025-09-25,39.36,39.5,38.82,39.33,16684150.0
2025-09-24,39.65,39.71,38.99,39.55,21056163.0
2025-09-23,40.23,40.38,39.48,39.68,21692560.0
2025-09-22,39.19,40.22,39.09,40.13,27428029.0
2025-09-19,40.03,40.035,38.98,39.32,36441942.0
2025-09-18,39.73,40.33,39.4,39.81,23592526.0
2025-09-17,39.485,40.2472,39.37,39.67,22952973.0
2025-09-16,39.0,39.48,38.9,39.3,23534091.0
2025-09-15,38.7,39.04,38.415,38.58,19221281.0
2025-09-12,38.99,38.99,38.34,38.63,22319658.0
2025-09-11,38.71,39.1,38.3,38.96,25071537.0
2025-09-10,39.37,39.49,38.5,38.71,24959176.0
2025-09-09,39.56,39.84,39.25,39.46,17916518.0
2025-09-08,41.0,41.02,39.23,39.65,35121765.0
2025-09-05,41.49,41.975,40.73,41.06,22015520.0
2025-09-04,41.72,41.795,41.035,41.41,18998867.0
2025-09-03,42.0,42.26,41.645,41.79,11856882.0
2025-09-02,41.81,42.17,41.47,41.75,20801565.0
2025-08-29,42.27,42.4,41.7735,42.14,14796123.0
2025-08-28,42.73,42.74,42.02,42.41,13220128.0
2025-08-27,42.52,42.94,42.46,42.65,12756826.0
2025-08-26,42.8,43.13,42.28,42.52,18598413.0
2025-08-25,43.55,43.59,42.61,42.75,12736301.0
2025-08-22,43.33,43.72,43.07,43.64,10912848.0
2025-08-21,42.95,43.1,42.54,42.91,11193664.0
2025-08-20,43.21,43.99,43.0,43.07,12488090.0
2025-08-19,43.5,43.77,42.92,43.25,19153745.0
2025-08-18,43.98,44.27,43.36,43.38,18105552.0
2025-08-15,43.18,44.09,43.11,44.04,19054151.0
2025-08-14,43.44,43.44,42.01,43.17,22872348.0
2025-08-13,42.82,43.575,42.4,43.48,19498208.0
2025-08-12,42.75,43.19,42.43,42.83,17463971.0
2025-08-11,41.37,42.04,41.18,41.62,17591522.0
2025-08-08,42.52,42.72,41.43,41.44,22596478.0
2025-08-07,42.98,43.19,42.38,42.69,14615946.0
2025-08-06,42.78,42.94,42.39,42.69,14071927.0
2025-08-05,42.86,43.41,42.425,42.63,15932819.0
2025-08-04,42.7,43.1,42.25,42.88,16701288.0
2025-08-01,42.61,43.1497,42.46,42.52,19124230.0
2025-07-31,43.51,43.905,42.825,42.88,26262822.0
2025-07-30,44.43,44.54,43.63,43.76,28442210.0
2025-07-29,44.72,44.83,44.12,44.38,28369134.0
2025-07-28,46.56,46.61,44.86,44.86,32072008.0
2025-07-25,45.9,47.18,45.76,46.76,33814927.0
2025-07-24,46.2,47.02,45.13,45.74,77860670.0
2025-07-23,52.45,53.03,52.16,52.78,20980487.0
2025-07-22,52.67,52.98,51.53,52.38,15930314.0
2025-07-21,54.13,54.2,52.44,52.46,14140094.0
2025-07-18,54.215,54.29,53.49,53.93,9518132.0
2025-07-17,53.62,54.05,52.52,53.54,10968733.0
2025-07-16,54.07,54.21,53.13,53.38,11712927.0
2025-07-15,54.95,55.14,53.94,53.95,8718869.0
2025-07-14,55.72,55.75,54.26,54.82,12636100.0
2025-07-11,56.26,56.31,55.5,56.0,8285678.0
2025-07-10,56.46,57.04,56.075,56.41,10338712.0
2025-07-09,55.65,56.05,55.08,55.94,8640878.0
2025-07-08,55.49,55.83,54.735,55.45,9939240.0
2025-07-07,56.68,56.71,54.785,55.46,14068518.0
2025-07-03,56.97,57.25,56.72,57.07,10384051.0
2025-07-02,58.14,58.42,56.525,56.77,14399316.0
2025-07-01,56.165,58.335,56.165,58.24,21803810.0
2025-06-30,55.005,56.44,55.005,56.15,15307421.0
2025-06-27,54.195,55.245,54.18,55.05,14969919.0
2025-06-26,54.85,55.08,53.38,54.27,13125049.0
2025-06-25,54.93,55.325,54.63,55.14,10443359.0
2025-06-24,54.2,54.99,54.16,54.65,11490034.0
2025-06-23,52.775,53.81,52.19,53.78,15723447.0
2025-06-20,52.015,52.96,51.64,52.78,16810352.0
2025-06-18,51.5,52.38,51.36,51.83,8845488.0
2025-06-17,52.25,52.65,51.08,51.38,9999138.0
2025-06-16,50.61,53.085,50.57,52.54,15203673.0
2025-06-13,50.285,50.7436,49.965,50.24,9307675.0
2025-06-12,51.91,51.99,50.84,50.89,10220043.0
2025-06-11,50.82,52.16,50.76,51.79,12380799.0
