date,Open,High,Low,Close,Volume
2025-10-31,437.87,443.79,436.16,437.68,667996.0
2025-10-30,437.69,449.2112,436.49,438.09,911985.0
2025-10-29,419.14,442.8,418.77,441.26,1594898.0
2025-10-28,421.28,422.655,413.98,414.3,691707.0
2025-10-27,425.9,426.39,417.13,421.06,714856.0
2025-10-24,421.57,423.52,420.0,421.45,509895.0
2025-10-23,410.93,418.58,409.79,417.74,709369.0
2025-10-22,418.4,419.89,407.57,407.98,1023645.0
2025-10-21,412.0,421.58,410.905,417.97,1106964.0
2025-10-20,415.36,417.035,411.635,414.01,799654.0
2025-10-17,418.4,422.69,405.82,411.83,1741815.0
2025-10-16,424.63,426.09,417.77,422.67,821056.0
2025-10-15,421.47,425.68,416.27,423.39,863662.0
2025-10-14,403.1,421.275,400.7218,416.65,883032.0
2025-10-13,420.0,420.0,408.25,409.0,1080834.0
2025-10-10,428.88,430.45,412.76,413.08,684507.0
2025-10-09,434.65,436.59,423.5,426.69,595356.0
2025-10-08,434.9,437.4,432.1,436.35,468824.0
2025-10-07,437.52,439.31,430.79,434.17,822275.0
2025-10-06,434.87,440.51,431.79,438.88,853084.0
2025-10-03,432.52,437.655,429.17,432.8,931475.0
2025-10-02,425.37,433.0,421.93,432.59,912716.0
2025-10-01,419.93,427.981,418.65,424.65,693963.0
2025-09-30,419.67,423.115,416.64,422.37,972866.0
2025-09-29,420.85,421.04,415.2,419.43,878151.0
2025-09-26,417.46,421.0,416.01,418.04,704822.0
2025-09-25,413.53,415.68,410.22,414.04,848512.0
2025-09-24,423.94,426.5695,417.25,417.98,1021693.0
2025-09-23,427.0,432.5,423.0,424.16,818849.0
2025-09-22,423.15,426.95,419.4134,424.85,749393.0
2025-09-19,426.43,427.125,420.62,423.64,1594146.0
2025-09-18,413.27,428.96,411.3301,426.39,1280150.0
2025-09-17,417.3,420.75,407.96,411.78,1047788.0
2025-09-16,415.0,416.92,410.21,415.44,809559.0
2025-09-15,411.71,415.3,409.12,414.2,880959.0
2025-09-12,409.0,413.77,408.83,410.27,935933.0
2025-09-11,405.0,413.66,402.8701,411.03,875556.0
2025-09-10,396.15,405.85,395.86,405.27,846347.0
2025-09-09,396.68,396.68,390.11,394.78,514195.0
2025-09-08,399.54,400.305,394.265,397.4,608004.0
2025-09-05,403.56,405.29,397.15,399.85,864186.0
2025-09-04,392.44,401.57,390.662,400.93,882701.0
2025-09-03,394.73,398.078,389.52,392.13,680509.0
2025-09-02,392.87,395.89,391.68,395.23,636167.0
2025-08-29,399.05,401.73,395.29,398.44,593469.0
2025-08-28,402.93,403.4,400.05,401.92,453730.0
2025-08-27,396.5,402.83,396.5,401.4,533066.0
2025-08-26,395.66,399.28,395.02,398.46,973499.0
2025-08-25,401.2,403.41,395.77,396.1,495646.0
2025-08-22,395.25,405.865,394.31,402.3,775240.0
2025-08-21,394.0,396.73,391.38,394.2,736515.0
2025-08-20,400.5,403.07,396.0,396.35,848098.0
2025-08-19,403.41,407.86,400.66,402.21,618265.0
2025-08-18,398.19,402.55,397.2479,401.95,485762.0
2025-08-15,404.95,405.08,397.51,399.42,701354.0
2025-08-14,406.8,406.8,398.66,404.8,1184273.0
2025-08-13,399.4,408.38,395.83,406.8,983808.0
2025-08-12,389.76,399.09,388.36,399.06,774653.0
2025-08-11,392.0,392.93,386.3001,388.31,839880.0
2025-08-08,385.89,391.56,383.9025,387.03,932761.0
2025-08-07,385.94,387.525,379.41,384.61,1275582.0
2025-08-06,375.9,382.54,372.0,381.68,1392923.0
2025-08-05,375.0,387.865,364.14,373.23,1898940.0
2025-08-04,358.01,362.34,356.9201,361.59,949634.0
2025-08-01,360.63,361.49,354.68,355.84,882046.0
2025-07-31,364.9,370.51,364.9,367.62,762690.0
2025-07-30,367.46,370.36,363.39,365.5,916766.0
2025-07-29,370.7,370.935,362.42,366.34,1027028.0
2025-07-28,369.66,371.46,366.07,370.7,805904.0
2025-07-25,367.34,369.985,362.82,369.52,697923.0
2025-07-24,360.0,366.42,356.0491,365.27,1124664.0
2025-07-23,359.75,363.5,358.15,361.98,1099128.0
2025-07-22,345.0,358.25,344.02,357.25,1453413.0
2025-07-21,352.17,354.36,344.53,344.62,1087420.0
2025-07-18,349.07,350.71,345.7901,350.4,915554.0
2025-07-17,344.67,349.18,344.18,348.17,1130598.0
2025-07-16,342.42,347.68,340.395,345.57,977303.0
2025-07-15,341.88,342.97,339.7444,341.94,1177799.0
2025-07-14,337.18,340.585,335.48,340.22,653922.0
2025-07-11,338.26,341.06,334.7021,338.82,632089.0
2025-07-10,335.86,344.3,334.7,340.03,985570.0
2025-07-09,333.12,335.45,329.415,334.6,987902.0
2025-07-08,329.53,332.62,328.025,330.75,891206.0
2025-07-07,330.63,332.71,325.25,327.85,747253.0
2025-07-03,335.14,335.94,330.435,331.83,549622.0
2025-07-02,331.1,333.92,328.0,333.44,755650.0
2025-07-01,326.48,332.9152,325.0,329.62,912036.0
2025-06-30,325.53,329.14,322.4501,327.5,878922.0
2025-06-27,325.14,328.755,324.03,325.72,911110.0
2025-06-26,321.06,325.2,319.37,324.2,1003981.0
2025-06-25,324.06,325.0,317.74,318.75,742853.0
2025-06-24,320.02,324.655,317.765,323.85,669084.0
2025-06-23,314.09,316.68,307.905,316.34,587755.0
