date,Open,High,Low,Close,Volume
2025-10-31,87.91,89.61,87.5301,88.86,5635803.0
2025-10-30,87.93,89.2533,87.29,88.14,6114224.0
2025-10-29,86.85,88.41,86.74,88.08,5476320.0
2025-10-28,88.3,88.36,86.69,86.79,5234831.0
2025-10-27,88.7,89.39,88.31,88.69,5715952.0
2025-10-24,90.49,90.6,87.93,88.03,7886582.0
2025-10-23,89.71,90.99,89.15,90.08,7866274.0
2025-10-22,87.27,87.76,86.52,87.41,8307836.0
2025-10-21,87.25,87.68,86.24,86.41,5895521.0
2025-10-20,86.7,87.25,86.2,87.06,4636382.0
2025-10-17,86.93,87.4885,86.13,86.48,5775031.0
2025-10-16,87.62,88.43,85.6,86.91,7816573.0
2025-10-15,88.93,88.99,86.59,87.74,6036125.0
2025-10-14,86.9,88.89,86.754,88.17,6004300.0
2025-10-13,88.36,88.98,87.58,88.78,5887288.0
2025-10-10,90.92,91.0,87.64,87.64,7892361.0
2025-10-09,94.31,95.02,91.82,91.95,6940005.0
2025-10-08,95.19,95.21,93.29,93.75,5289732.0
2025-10-07,94.45,95.275,92.63,95.23,4072066.0
2025-10-06,94.78,95.42,94.34,94.91,3454270.0
2025-10-03,93.66,94.71,93.4801,94.16,4321560.0
2025-10-02,95.0,96.14,93.125,93.38,5428565.0
2025-10-01,94.27,95.94,93.83,95.46,4794582.0
2025-09-30,94.61,95.07,93.55,94.59,7318461.0
2025-09-29,97.2,97.3905,94.66,95.85,8700508.0
2025-09-26,97.06,99.65,96.86,98.48,6812913.0
2025-09-25,95.2,97.07,95.2,96.81,8076300.0
2025-09-24,94.49,96.645,94.0,95.63,7935814.0
2025-09-23,92.6,95.53,92.6,93.47,8241930.0
2025-09-22,91.5,92.83,91.08,92.01,5798849.0
2025-09-19,93.79,93.825,91.365,91.92,15284109.0
2025-09-18,93.6,94.4,92.91,93.48,4416563.0
2025-09-17,94.02,95.2,93.14,93.82,7073063.0
2025-09-16,93.08,95.1,92.65,94.54,7860793.0
2025-09-15,92.7,93.05,91.69,92.33,4932200.0
2025-09-12,94.76,95.07,92.42,92.43,5170407.0
2025-09-11,92.83,94.16,92.6775,94.13,4721131.0
2025-09-10,91.86,94.33,91.69,94.32,4353843.0
2025-09-09,92.31,93.66,91.45,91.86,5838579.0
2025-09-08,93.03,93.23,90.507,91.4,9750614.0
2025-09-05,94.13,94.865,92.13,92.95,8510324.0
2025-09-04,94.55,96.1682,93.98,95.77,5612659.0
2025-09-03,97.63,98.28,94.335,94.65,9765634.0
2025-09-02,99.1,99.65,97.785,98.99,5192258.0
2025-08-29,98.29,99.315,98.06,98.97,4594400.0
2025-08-28,98.07,98.66,96.83,98.45,4240982.0
2025-08-27,97.1,98.63,96.77,97.9,5759528.0
2025-08-26,97.59,98.0,96.38,97.05,7052117.0
2025-08-25,96.79,98.22,96.2001,98.18,6850791.0
2025-08-22,95.23,97.395,95.18,96.78,6338575.0
2025-08-21,94.76,95.3691,93.81,94.78,5342090.0
2025-08-20,94.0,95.195,93.95,94.89,6133511.0
2025-08-19,93.54,94.56,93.19,93.76,5412150.0
2025-08-18,94.46,94.6,93.34,94.0,4849707.0
2025-08-15,95.45,96.4299,94.73,95.33,6564712.0
2025-08-14,95.6,95.775,94.29,95.65,10057790.0
2025-08-13,94.4,95.88,94.26,95.88,7263344.0
2025-08-12,94.39,96.78,93.53,94.59,7526991.0
2025-08-11,94.61,95.5,92.87,93.53,6491368.0
2025-08-08,93.56,94.93,91.7,93.91,8765310.0
2025-08-07,92.04,95.14,91.18,92.6,10307297.0
2025-08-06,94.59,95.7,92.575,93.11,7078514.0
2025-08-05,93.15,93.5129,91.955,93.2,7716174.0
2025-08-04,92.25,93.87,92.1,92.85,9384502.0
2025-08-01,94.94,95.49,92.38,92.76,6349218.0
2025-07-31,95.26,96.95,95.1,95.34,5648167.0
2025-07-30,97.39,97.45,95.87,96.67,6607594.0
2025-07-29,97.31,98.07,96.65,97.99,5157789.0
2025-07-28,95.69,97.32,95.69,97.02,4632430.0
2025-07-25,95.7,96.01,94.735,94.95,4501837.0
2025-07-24,94.4,95.79,94.3,95.62,5048208.0
2025-07-23,93.54,95.28,93.15,95.04,6921475.0
2025-07-22,91.25,93.3,91.15,92.98,5545502.0
2025-07-21,91.74,92.15,90.9,91.0,4436764.0
2025-07-18,93.365,93.7499,90.92,91.64,7968179.0
2025-07-17,91.1,92.97,90.7702,92.81,4899410.0
2025-07-16,92.41,93.0,91.1,91.51,3774052.0
2025-07-15,94.27,94.56,92.47,92.55,4152412.0
2025-07-14,94.96,95.66,93.81,94.17,5504632.0
2025-07-11,94.7,96.19,94.66,95.61,4903431.0
2025-07-10,94.1,95.54,93.2,95.37,4066491.0
2025-07-09,95.22,95.79,94.4,94.53,5351500.0
2025-07-08,92.55,96.92,92.52,95.79,12934664.0
2025-07-07,93.35,93.72,91.24,92.55,6287147.0
2025-07-03,93.95,94.77,93.55,93.68,4331501.0
2025-07-02,93.12,94.48,91.91,94.44,9436035.0
2025-07-01,89.855,92.33,89.2,91.99,11895193.0
2025-06-30,89.51,90.19,89.1,89.74,6519202.0
2025-06-27,90.895,90.95,89.8,90.17,7555727.0
2025-06-26,89.28,90.91,89.21,90.89,6544995.0
2025-06-25,89.31,90.02,88.8,89.0,8380832.0
2025-06-24,90.24,91.65,89.035,89.39,11016197.0
2025-06-23,96.25,96.31,91.15,91.71,9749666.0
2025-06-20,94.35,95.18,93.69,94.69,16026429.0
2025-06-18,95.52,96.1475,93.31,93.8,9115952.0
2025-06-17,95.925,96.75,94.825,95.5,9468113.0
2025-06-16,96.12,96.92,94.01,95.0,10330383.0
2025-06-13,96.53,98.25,95.46,96.96,16849720.0
2025-06-12,92.7,94.76,92.13,94.69,7862291.0
2025-06-11,91.82,93.815,91.14,93.35,8738497.0
