date,Open,High,Low,Close,Volume
2025-10-31,30.09,30.34,29.73,30.13,7219321.0
2025-10-30,30.05,30.5563,29.96,30.29,4448617.0
2025-10-29,30.79,30.85,29.93,29.98,5530438.0
2025-10-28,31.25,31.465,30.85,30.94,4761648.0
2025-10-27,30.94,31.42,30.9,31.39,5205409.0
2025-10-24,31.25,31.28,30.79,30.93,3789059.0
2025-10-23,31.22,31.41,30.855,31.05,5678626.0
2025-10-22,31.07,31.73,31.01,31.38,6226637.0
2025-10-21,31.03,31.235,30.89,31.07,3437548.0
2025-10-20,30.98,31.14,30.76,31.02,3715002.0
2025-10-17,30.9,31.08,30.6101,30.86,4298137.0
2025-10-16,30.15,30.98,30.15,30.71,4792572.0
2025-10-15,30.09,30.39,29.892,30.15,4554136.0
2025-10-14,29.83,30.38,29.69,30.34,5615785.0
2025-10-13,30.28,30.57,29.75,29.8,5409835.0
2025-10-10,29.91,30.52,29.8995,30.39,5602619.0
2025-10-09,30.5,30.6,29.82,29.89,4733870.0
2025-10-08,31.05,31.05,30.47,30.49,6036677.0
2025-10-07,31.35,31.465,30.815,31.11,4948610.0
2025-10-06,31.61,31.7486,30.96,31.29,6572779.0
2025-10-03,31.63,32.085,31.57,31.95,5079640.0
2025-10-02,31.47,31.85,31.25,31.6,5301879.0
2025-10-01,31.78,32.22,31.42,31.99,5263564.0
2025-09-30,30.99,31.865,30.95,31.58,7301419.0
2025-09-29,32.08,32.1,30.75,30.87,6681372.0
2025-09-26,32.2,32.72,31.97,32.08,5362976.0
2025-09-25,33.74,33.81,32.19,32.21,4559542.0
2025-09-24,33.77,34.175,33.4,33.73,4408314.0
2025-09-23,33.24,33.84,33.16,33.75,4543255.0
2025-09-22,33.34,33.5,32.925,33.24,5079351.0
2025-09-19,33.78,33.785,33.36,33.43,14260077.0
2025-09-18,32.81,33.82,32.74,33.57,4886821.0
2025-09-17,33.61,34.0,32.86,32.93,5299470.0
2025-09-16,32.96,33.715,32.82,33.56,4849521.0
2025-09-15,33.23,33.33,32.69,32.87,4386840.0
2025-09-12,33.6,33.73,33.11,33.23,4240236.0
2025-09-11,33.66,34.08,33.375,33.76,6555750.0
