date,Open,High,Low,Close,Volume
2025-10-31,20.67,21.02,20.39,20.75,3383488.0
2025-10-30,21.01,21.225,20.445,20.78,3275497.0
2025-10-29,21.84,22.14,21.2,21.35,2313542.0
2025-10-28,22.65,22.65,22.14,22.21,1487995.0
2025-10-27,22.58,22.85,22.4,22.54,1613344.0
2025-10-24,22.71,22.925,22.25,22.27,1272229.0
2025-10-23,22.55,22.98,22.31,22.63,1402768.0
2025-10-22,22.32,22.56,22.03,22.44,1756073.0
2025-10-21,22.13,22.765,21.67,22.44,3010012.0
2025-10-20,21.5,21.73,21.19,21.43,1551576.0
2025-10-17,20.53,21.35,20.53,21.18,2078499.0
2025-10-16,20.71,20.9,20.44,20.71,1401396.0
2025-10-15,20.59,21.34,20.38,20.75,2554834.0
2025-10-14,19.44,20.35,19.4,20.02,1221765.0
2025-10-13,19.49,20.23,19.32,19.98,1944550.0
2025-10-10,20.49,20.565,18.85,19.11,3066174.0
2025-10-09,21.06,21.1,20.24,20.51,2055960.0
2025-10-08,20.89,21.28,20.49,21.15,1767554.0
2025-10-07,21.35,21.4,20.295,20.79,2384776.0
2025-10-06,21.55,21.645,21.03,21.18,1546181.0
2025-10-03,21.49,21.76,21.245,21.52,2166685.0
2025-10-02,20.93,21.345,20.705,21.23,1557257.0
2025-10-01,19.9,21.1,19.895,20.99,3373938.0
2025-09-30,19.65,20.1,19.56,19.92,2157200.0
2025-09-29,19.96,19.96,19.25,19.69,2365476.0
2025-09-26,19.36,19.99,19.26,19.86,2221498.0
2025-09-25,19.92,20.03,19.23,19.33,2718986.0
2025-09-24,20.44,20.51,20.05,20.21,1856505.0
2025-09-23,20.31,20.75,20.105,20.45,2187308.0
2025-09-22,20.24,20.36,19.92,20.05,2561879.0
2025-09-19,21.57,21.57,20.45,20.5,3521519.0
2025-09-18,22.12,22.35,21.375,21.52,2008382.0
2025-09-17,21.5,22.19,21.365,21.82,2714085.0
2025-09-16,21.71,21.97,21.05,21.36,1885398.0
2025-09-15,20.53,21.7,20.46,21.67,3165320.0
2025-09-12,21.49,21.6174,20.42,20.45,3009225.0
2025-09-11,21.45,21.96,21.02,21.84,2261941.0
2025-09-10,21.4,21.59,20.82,21.37,3488510.0
2025-09-09,20.27,21.92,20.115,21.34,7482731.0
2025-09-08,21.37,21.41,20.44,20.47,2712809.0
2025-09-05,21.79,22.2,21.28,21.28,2461061.0
2025-09-04,21.14,21.81,21.1,21.76,3177630.0
2025-09-03,20.35,21.13,20.33,21.12,1867075.0
2025-09-02,20.45,20.71,20.21,20.59,2395696.0
2025-08-29,21.55,21.71,20.54,20.59,2965940.0
2025-08-28,21.68,21.85,21.15,21.57,1484361.0
2025-08-27,21.48,21.87,21.48,21.55,1737147.0
2025-08-26,21.44,21.91,21.28,21.46,3041841.0
2025-08-25,21.36,21.74,21.11,21.33,1542078.0
2025-08-22,20.5,21.78,20.44,21.49,2961094.0
2025-08-21,19.94,20.5,19.8,20.42,1923395.0
2025-08-20,20.0,20.53,19.9501,20.15,2714205.0
2025-08-19,20.75,20.79,19.93,20.08,2244497.0
2025-08-18,20.9,20.985,20.41,20.5,2437748.0
2025-08-15,21.31,21.41,20.86,20.94,2044040.0
2025-08-14,21.24,21.395,20.81,21.36,3289966.0
2025-08-13,21.09,22.18,20.33,22.03,6880787.0
2025-08-12,19.58,20.245,19.5,19.62,3701041.0
2025-08-11,19.83,20.17,19.25,19.42,2841894.0
2025-08-08,20.56,20.67,19.65,19.7,3469542.0
2025-08-07,21.1,21.1,19.4,20.77,4733412.0
2025-08-06,20.6,21.5,19.609,20.84,12219176.0
2025-08-05,18.24,18.36,17.3,18.2,4753957.0
2025-08-04,17.1,18.31,17.06,18.31,5209221.0
2025-08-01,17.62,17.75,16.84,16.99,4417322.0
2025-07-31,18.33,18.605,18.075,18.19,3612723.0
2025-07-30,19.4,19.5,18.43,18.59,2009655.0
2025-07-29,19.65,19.74,18.89,19.15,2072351.0
2025-07-28,19.74,20.0,19.52,19.74,1910645.0
2025-07-25,19.76,19.87,18.865,19.66,2491028.0
2025-07-24,19.65,20.025,19.34,19.58,1988275.0
2025-07-23,20.13,20.21,19.6,19.88,1864464.0
2025-07-22,19.41,19.65,19.02,19.53,2718491.0
2025-07-21,19.78,20.17,19.37,19.41,2357323.0
2025-07-18,19.42,19.7,19.305,19.57,1399081.0
2025-07-17,18.75,19.615,18.53,19.47,3009567.0
2025-07-16,18.7,18.86,18.23,18.58,2269195.0
2025-07-15,19.57,19.65,18.64,18.69,1665870.0
2025-07-14,19.02,19.24,18.65,19.18,2011886.0
2025-07-11,19.27,19.65,19.1,19.25,1967208.0
2025-07-10,19.53,20.05,19.4,19.74,2525201.0
2025-07-09,18.9,19.58,18.82,19.53,3362656.0
2025-07-08,18.59,18.81,17.97,18.8,3175827.0
2025-07-07,18.07,18.76,17.97,18.5,2963343.0
2025-07-03,18.23,18.32,17.885,18.14,1660330.0
2025-07-02,18.34,18.4864,17.66,18.13,3813365.0
2025-07-01,17.61,18.8594,17.56,18.21,3609768.0
2025-06-30,17.55,17.78,17.44,17.7,2410282.0
2025-06-27,17.74,17.87,17.16,17.58,18916665.0
2025-06-26,17.11,17.57,16.875,17.53,2090909.0
2025-06-25,16.93,17.14,16.665,16.98,2067799.0
2025-06-24,17.08,17.25,16.56,16.91,2034637.0
2025-06-23,16.58,16.9,16.22,16.78,2794441.0
2025-06-20,17.23,17.23,16.67,16.82,2943128.0
2025-06-18,17.2,17.495,16.975,17.09,2518881.0
2025-06-17,17.22,17.36,16.75,16.83,1898271.0
2025-06-16,16.89,17.61,16.81,17.4,2662732.0
2025-06-13,17.45,17.645,16.49,16.54,2615020.0
2025-06-12,17.64,17.86,17.44,17.84,1457893.0
2025-06-11,17.79,18.77,17.789,18.03,4312179.0
