date,Open,High,Low,Close,Volume
2025-10-31,72.72,73.48,72.43,73.11,24007995.0
2025-10-30,71.37,73.11,71.34,72.91,18101769.0
2025-10-29,72.68,72.82,70.915,71.33,18020591.0
2025-10-28,71.2,72.68,71.03,72.62,19896779.0
2025-10-27,70.54,71.46,70.43,71.39,15986782.0
2025-10-24,70.635,70.94,70.06,70.63,13075554.0
2025-10-23,70.6,71.235,70.23,70.27,14614128.0
2025-10-22,70.86,70.97,69.85,70.66,14967248.0
2025-10-21,70.58,71.2375,70.38,70.72,15763347.0
2025-10-20,70.12,70.97,70.12,70.65,12183524.0
2025-10-17,69.06,70.77,68.95,70.13,16286931.0
2025-10-16,69.78,70.07,68.57,69.09,13950643.0
2025-10-15,69.305,70.2999,68.82,69.52,16260540.0
2025-10-14,67.11,69.16,66.8131,68.66,15402046.0
2025-10-13,68.55,68.89,67.13,67.46,14127945.0
2025-10-10,70.41,70.8093,67.89,67.94,20961507.0
2025-10-09,70.31,70.62,69.03,69.96,21209483.0
2025-10-08,69.81,70.755,69.0,70.33,34246259.0
2025-10-07,68.915,69.225,68.445,68.985,16493157.0
2025-10-06,68.435,68.95,67.81,68.91,21952715.0
2025-10-03,67.95,68.585,67.65,67.92,11113184.0
2025-10-02,69.175,69.49,68.255,68.31,15708257.0
2025-10-01,67.9,68.82,67.69,68.75,15530716.0
2025-09-30,67.705,68.77,67.69,68.42,20498939.0
2025-09-29,67.715,67.95,67.44,67.72,14358252.0
2025-09-26,67.87,67.91,66.85,67.22,15077408.0
2025-09-25,67.32,68.235,67.1101,67.85,22351675.0
2025-09-24,67.7,67.865,66.89,67.32,17433102.0
2025-09-23,67.58,68.22,67.07,67.54,22240010.0
2025-09-22,67.86,68.0,67.3,67.75,20396683.0
2025-09-19,68.92,68.92,67.1802,68.21,47822501.0
2025-09-18,67.9,68.76,67.48,68.68,20279009.0
2025-09-17,67.0,67.88,66.38,67.72,18652123.0
2025-09-16,67.02,67.38,66.55,66.93,18019318.0
2025-09-15,66.505,67.2,66.345,67.02,16203088.0
2025-09-12,66.88,67.34,66.13,66.53,18529180.0
2025-09-11,68.31,68.57,67.505,67.69,17560793.0
2025-09-10,67.59,68.32,67.12,68.13,14689475.0
2025-09-09,66.74,67.435,66.64,67.34,11649370.0
2025-09-08,66.72,67.005,66.35,66.88,14038024.0
2025-09-05,67.715,68.1,66.48,66.9,21050788.0
2025-09-04,68.1,68.41,67.41,67.99,14388533.0
2025-09-03,68.045,68.13,67.33,67.67,14010593.0
2025-09-02,68.105,68.32,67.38,67.8,18928844.0
2025-08-29,69.11,69.46,68.835,69.09,14952966.0
2025-08-28,68.36,69.5758,68.35,69.43,15256031.0
2025-08-27,68.32,68.745,68.15,68.44,13876664.0
2025-08-26,67.165,68.75,67.11,68.39,28307872.0
2025-08-25,67.28,67.495,67.11,67.14,11724472.0
2025-08-22,67.33,68.04,67.005,67.32,16830586.0
2025-08-21,67.1,67.22,66.47,67.02,12456622.0
2025-08-20,66.82,67.185,66.535,67.11,14946418.0
2025-08-19,66.76,67.52,66.4802,66.76,18746598.0
2025-08-18,66.08,67.11,65.75,66.95,20903411.0
2025-08-15,68.45,68.65,65.86,66.2,40877322.0
2025-08-14,68.0,70.61,67.48,69.3,39317329.0
