date,Open,High,Low,Close,Volume
2025-10-31,61.33,61.94,61.05,61.44,4608824.0
2025-10-30,61.28,61.955,60.94,61.7,5796320.0
2025-10-29,63.04,63.395,62.74,63.2,5030741.0
2025-10-28,63.76,63.89,63.19,63.46,2821603.0
2025-10-27,64.02,64.56,63.67,63.93,3973479.0
2025-10-24,63.8,63.9,63.44,63.66,2627803.0
2025-10-23,63.95,63.95,63.03,63.48,3227807.0
2025-10-22,61.9,63.2264,61.9,63.12,5414320.0
2025-10-21,61.93,62.33,61.65,61.97,4074799.0
2025-10-20,61.96,62.43,61.54,61.98,4634281.0
2025-10-17,61.08,62.045,60.95,61.4,7513413.0
2025-10-16,62.0,62.2682,60.99,61.0,4379730.0
2025-10-15,62.65,62.84,61.875,61.91,3550951.0
2025-10-14,62.46,62.77,62.04,62.67,4189659.0
2025-10-13,62.27,63.0412,62.18,62.67,2157925.0
2025-10-10,62.7,63.125,61.83,61.83,2925592.0
2025-10-09,63.59,63.815,62.55,62.75,3033253.0
2025-10-08,65.18,65.445,62.8,63.11,6075943.0
2025-10-07,64.19,65.61,63.78,65.61,4409839.0
2025-10-06,63.52,65.065,63.4001,64.3,5261021.0
2025-10-03,62.5,63.66,62.49,63.37,4329057.0
2025-10-02,61.325,63.68,61.325,63.49,11310271.0
2025-10-01,66.9,66.9,60.705,61.47,12189763.0
2025-09-30,67.9,67.95,67.19,67.63,4701436.0
2025-09-29,68.4,68.67,67.55,67.77,5341441.0
2025-09-26,67.54,68.12,67.192,68.09,4817120.0
2025-09-25,69.93,69.985,65.9096,67.08,7240376.0
2025-09-24,69.64,70.34,69.445,69.61,3474692.0
2025-09-23,69.94,70.56,69.435,69.48,3360856.0
2025-09-22,70.4,70.48,69.74,69.75,2831462.0
2025-09-19,70.57,71.02,70.39,70.86,12447770.0
2025-09-18,70.84,71.0217,70.13,70.66,5365941.0
2025-09-17,70.08,71.1,69.77,70.64,3470295.0
2025-09-16,70.01,70.4,69.45,69.88,5056641.0
2025-09-15,73.89,74.5,69.28,70.07,8800953.0
2025-09-12,72.9,75.91,72.33,74.29,6599860.0
2025-09-11,71.64,73.11,71.585,72.99,2750438.0
2025-09-10,72.18,72.81,71.56,71.78,2939510.0
2025-09-09,73.14,73.66,72.0,72.5,3336700.0
2025-09-08,72.2,73.03,71.7,72.95,4724464.0
2025-09-05,72.53,72.73,71.39,72.3,3173244.0
2025-09-04,72.44,72.81,72.01,72.65,3147817.0
2025-09-03,73.46,73.697,72.35,72.39,3095387.0
2025-09-02,73.72,74.035,73.3,73.92,3261681.0
2025-08-29,74.23,74.63,74.055,74.19,4034995.0
2025-08-28,75.03,75.16,73.385,74.32,3928414.0
2025-08-27,73.8,75.12,73.61,75.03,6016690.0
2025-08-26,73.43,73.96,72.13,73.94,6802585.0
2025-08-25,73.3,73.825,72.9,73.6,3261577.0
2025-08-22,73.33,73.58,72.695,73.37,2664008.0
2025-08-21,72.71,73.265,72.56,72.98,2815363.0
2025-08-20,72.41,73.17,72.33,72.96,3086785.0
2025-08-19,72.29,72.48,71.87,72.4,2723604.0
2025-08-18,71.72,72.65,71.655,72.29,2818743.0
2025-08-15,71.94,72.24,71.6,71.76,2649632.0
