date,Open,High,Low,Close,Volume
2025-10-31,76.65,78.225,76.1201,78.15,9680843.0
2025-10-30,76.08,79.0,75.915,76.69,14120164.0
2025-10-29,82.5,85.15,80.33,80.6,14783506.0
2025-10-28,83.74,83.74,81.61,82.2,9852797.0
2025-10-27,81.35,82.5599,80.88,82.45,6129008.0
2025-10-24,81.52,82.16,81.085,81.93,5642460.0
2025-10-23,81.24,81.625,80.51,81.07,6025904.0
2025-10-22,82.96,83.03,81.74,82.01,6361145.0
2025-10-21,82.36,83.52,82.08,83.04,6220401.0
2025-10-20,82.46,82.625,81.52,82.48,5703563.0
2025-10-17,81.4,82.875,81.01,82.52,6951683.0
2025-10-16,80.73,81.905,80.6324,81.37,7567878.0
2025-10-15,80.0,81.93,79.85,80.67,11762211.0
2025-10-14,78.31,79.94,77.75,79.66,12540030.0
2025-10-13,77.54,79.675,77.37,78.44,8435993.0
2025-10-10,78.16,78.99,77.375,77.9,8329882.0
2025-10-09,77.25,77.66,76.53,76.74,5963898.0
2025-10-08,77.35,77.92,75.63,76.93,5062612.0
2025-10-07,77.5,77.9,76.64,77.12,4606499.0
2025-10-06,77.14,77.6861,76.585,76.84,5894811.0
2025-10-03,77.45,79.2,77.08,77.49,7085382.0
2025-10-02,76.35,77.76,76.27,77.45,4905815.0
2025-10-01,75.3,77.54,75.25,76.87,11095158.0
2025-09-30,75.23,75.83,73.83,75.39,7294212.0
2025-09-29,75.69,75.85,74.09,75.57,6605459.0
2025-09-26,74.935,75.95,74.53,75.77,4900774.0
2025-09-25,76.72,76.79,74.11,74.61,6884243.0
2025-09-24,76.67,77.34,76.04,76.38,6860507.0
2025-09-23,75.09,76.92,74.9095,76.5,5938867.0
2025-09-22,74.32,75.765,73.8,75.13,7226584.0
2025-09-19,74.69,76.235,74.355,74.92,13445816.0
2025-09-18,73.49,74.455,73.18,74.42,5324732.0
2025-09-17,73.67,74.84,73.51,74.0,4301546.0
2025-09-16,73.45,73.73,72.39,73.48,6585020.0
2025-09-15,74.95,75.0,72.5101,73.46,7703360.0
2025-09-12,74.42,75.55,74.415,74.98,6400838.0
2025-09-11,73.83,75.0,73.28,74.67,9974611.0
2025-09-10,72.07,74.0,71.96,73.97,11451736.0
2025-09-09,71.56,73.0467,70.72,71.75,10585460.0
2025-09-08,73.83,73.9943,69.6,70.26,13326382.0
2025-09-05,73.38,74.49,73.06,73.78,5075189.0
2025-09-04,73.42,73.905,72.91,73.69,4995135.0
2025-09-03,74.09,74.4527,72.865,73.32,6699079.0
2025-09-02,72.98,74.53,72.88,74.09,8987905.0
2025-08-29,72.24,73.23,72.16,73.15,6394440.0
2025-08-28,71.97,72.301,71.1142,72.14,5195201.0
2025-08-27,71.63,72.09,71.5702,71.93,3588113.0
2025-08-26,71.25,71.7899,71.06,71.55,5333468.0
2025-08-25,71.34,71.64,70.396,71.21,4687170.0
2025-08-22,71.82,72.3,71.1,71.3,6983571.0
2025-08-21,70.89,72.12,70.55,71.43,7071358.0
2025-08-20,71.01,71.36,70.6528,70.82,4983974.0
2025-08-19,69.96,71.08,69.8077,70.97,5233136.0
2025-08-18,70.28,71.045,69.4,70.17,9246348.0
2025-08-15,68.2,69.13,67.4223,68.6,8252531.0
2025-08-14,66.605,67.16,66.24,66.73,5872715.0
2025-08-13,65.81,66.34,65.265,65.9,5686290.0
2025-08-12,64.76,65.7035,64.32,65.51,4868675.0
2025-08-11,65.63,66.25,64.74,64.88,5556335.0
2025-08-08,63.54,65.62,63.3,65.54,6461670.0
2025-08-07,63.63,63.8299,62.55,63.58,4515500.0
2025-08-06,63.13,63.895,62.52,63.52,5292166.0
2025-08-05,61.45,64.03,61.35,63.42,9061866.0
2025-08-04,62.02,62.44,61.42,61.45,7866240.0
2025-08-01,62.32,62.7,61.19,62.47,11382008.0
2025-07-31,65.51,66.92,61.23,62.1,27417854.0
2025-07-30,61.7,62.88,61.0,62.3,15343835.0
2025-07-29,59.8,60.94,58.99,60.0,11026760.0
2025-07-28,60.56,61.13,59.3509,59.64,8953575.0
2025-07-25,59.61,61.17,59.435,60.7,10881915.0
2025-07-24,61.65,61.65,58.5,58.75,12438604.0
2025-07-23,61.34,62.045,60.97,61.85,5448640.0
2025-07-22,61.09,62.2,60.86,61.08,6686925.0
2025-07-21,62.55,62.55,61.525,61.64,7020363.0
2025-07-18,63.35,63.44,61.5,61.96,8612043.0
2025-07-17,63.25,63.88,62.4837,63.3,7352264.0
2025-07-16,64.0,64.71,63.73,63.8,5830963.0
2025-07-15,64.48,64.67,63.28,63.94,5956059.0
2025-07-14,64.75,64.7707,64.06,64.36,6864509.0
2025-07-11,65.1,65.24,64.21,64.78,7022490.0
2025-07-10,66.88,66.88,65.355,65.62,6327975.0
2025-07-09,67.01,67.17,65.58,66.66,6330122.0
2025-07-08,66.77,67.4,66.645,66.94,4279605.0
2025-07-07,67.2,67.43,65.955,66.68,6419036.0
2025-07-03,66.92,67.775,66.63,67.43,3770987.0
2025-07-02,68.895,69.11,66.54,66.6,10820113.0
2025-07-01,68.77,70.23,68.75,69.58,5673386.0
2025-06-30,68.68,69.17,68.25,68.98,6047223.0
2025-06-27,67.99,68.82,67.87,68.49,5937351.0
2025-06-26,66.8,68.5396,66.7169,68.14,8100059.0
2025-06-25,67.16,67.41,66.07,66.37,7573589.0
2025-06-24,66.73,68.21,66.535,67.58,10270555.0
2025-06-23,66.37,67.12,65.87,66.81,6845635.0
2025-06-20,66.98,67.5,66.54,66.57,11829885.0
2025-06-18,66.85,67.51,66.485,66.84,5209806.0
2025-06-17,67.73,68.6,66.67,67.09,6094147.0
2025-06-16,67.55,68.305,66.68,67.71,7578448.0
2025-06-13,66.17,67.77,66.1,67.46,7562262.0
2025-06-12,65.73,66.36,64.8242,66.35,6562684.0
2025-06-11,64.27,65.75,64.11,65.72,7422438.0
