date,Open,High,Low,Close,Volume
2025-10-31,81.375,83.13,81.07,81.65,4005314.0
2025-10-30,81.265,82.37,80.57,81.47,3467909.0
2025-10-29,81.53,83.4,81.53,82.16,3424160.0
2025-10-28,81.45,83.17,81.18,81.9,3780815.0
2025-10-27,81.15,82.43,80.8201,81.38,3083724.0
2025-10-24,81.9,82.1,80.83,81.01,1752340.0
2025-10-23,80.445,81.73,80.21,81.29,1908966.0
2025-10-22,80.71,81.0675,79.03,79.71,1994245.0
2025-10-21,81.0,81.82,80.85,81.13,2242054.0
2025-10-20,80.12,81.04,80.0,80.95,3045377.0
2025-10-17,78.4,80.12,78.28,79.57,3728741.0
2025-10-16,79.0,79.075,77.55,78.13,3280236.0
2025-10-15,78.27,79.65,77.86,78.53,3184147.0
2025-10-14,74.73,77.84,74.65,77.58,2743682.0
2025-10-13,74.74,76.8799,74.74,75.95,2795854.0
2025-10-10,78.12,78.87,73.68,73.7,4294709.0
2025-10-09,78.73,79.3,77.51,77.84,2416442.0
2025-10-08,79.08,79.52,78.26,78.37,1912042.0
2025-10-07,80.95,81.25,78.4884,78.88,2603505.0
2025-10-06,80.08,81.97,79.95,80.82,3182234.0
2025-10-03,81.175,81.79,79.665,79.72,3972239.0
2025-10-02,78.3,81.05,78.25,80.99,4218612.0
2025-10-01,77.47,78.73,77.455,78.22,2792237.0
2025-09-30,76.8,77.93,76.63,77.9,3579547.0
2025-09-29,76.94,77.455,76.025,77.04,3018790.0
2025-09-26,75.16,76.51,74.9735,76.18,2716879.0
2025-09-25,75.65,75.89,74.26,74.55,2392252.0
2025-09-24,77.52,78.135,75.19,75.81,3453755.0
2025-09-23,78.58,79.2,77.44,77.47,4703880.0
2025-09-22,77.92,79.42,77.24,78.26,4732419.0
2025-09-19,78.23,78.4,77.06,78.1,6643598.0
2025-09-18,76.94,78.42,76.17,78.1,3407960.0
2025-09-17,77.31,78.88,76.51,76.78,3779769.0
2025-09-16,77.31,77.69,76.7026,77.17,2369686.0
2025-09-15,77.81,78.21,76.94,77.11,3133569.0
2025-09-12,77.57,78.84,77.02,77.29,1717181.0
2025-09-11,76.32,78.075,75.99,77.99,2585058.0
