date,Open,High,Low,Close,Volume
2025-10-31,98.675,98.75,96.91,98.66,2897956.0
2025-10-30,100.66,100.87,99.04,99.58,2461864.0
2025-10-29,101.02,101.6,99.775,99.91,2222224.0
2025-10-28,102.05,103.27,100.88,101.92,2050857.0
2025-10-27,101.75,103.23,101.54,102.77,2659037.0
2025-10-24,103.18,103.7782,101.35,101.99,2124924.0
2025-10-23,103.48,105.2,102.72,102.99,1651437.0
2025-10-22,105.05,105.515,102.96,103.58,2270433.0
2025-10-21,106.65,106.91,105.18,105.51,1931239.0
2025-10-20,105.75,108.35,105.255,106.44,2343829.0
2025-10-17,104.67,105.81,104.32,105.74,2088465.0
2025-10-16,106.25,107.25,103.43,103.88,3399544.0
2025-10-15,104.42,107.03,103.56,106.32,4313705.0
2025-10-14,102.25,103.94,101.1,103.71,3269452.0
2025-10-13,98.77,102.12,98.52,101.87,3319543.0
2025-10-10,99.0,100.525,98.1,99.22,2971618.0
2025-10-09,98.58,99.0,97.145,98.67,2942119.0
2025-10-08,96.73,99.23,96.505,98.16,3336860.0
2025-10-07,97.41,97.7,95.341,96.37,3428027.0
2025-10-06,100.27,100.53,98.07,98.13,3189541.0
2025-10-03,101.03,101.315,99.73,100.21,3450717.0
2025-10-02,99.45,101.65,99.43,101.4,2953255.0
2025-10-01,103.26,103.26,98.7,99.68,4677993.0
2025-09-30,103.11,103.83,101.215,103.35,4139119.0
2025-09-29,102.6,103.0,100.8884,102.94,3380455.0
2025-09-26,103.21,103.21,101.67,102.12,3158474.0
2025-09-25,104.915,105.928,102.5874,102.85,2468064.0
2025-09-24,103.165,104.51,103.04,104.5,2461241.0
2025-09-23,102.24,104.395,102.1701,103.67,2840124.0
2025-09-22,102.1,102.22,99.9,101.86,3549512.0
2025-09-19,107.28,107.34,101.04,102.11,6059417.0
2025-09-18,106.07,107.28,104.97,106.9,3963755.0
2025-09-17,104.66,106.235,104.485,106.14,2592195.0
2025-09-16,104.31,105.0,103.34,104.21,2313442.0
2025-09-15,104.06,104.96,103.49,104.52,3383319.0
2025-09-12,104.44,105.42,103.72,104.4,2557386.0
2025-09-11,106.675,107.13,104.72,105.39,2931908.0
2025-09-10,104.5,106.49,104.03,106.47,3130652.0
2025-09-09,107.78,108.3,104.3601,104.55,4369483.0
2025-09-08,110.565,110.7,107.255,108.72,3468167.0
2025-09-05,108.955,109.84,108.41,109.28,1913073.0
2025-09-04,110.11,110.24,107.865,108.44,2765183.0
2025-09-03,108.785,110.195,106.64,109.69,2604201.0
2025-09-02,109.75,110.93,108.34,110.46,2638311.0
2025-08-29,112.305,113.82,107.4173,108.76,4583381.0
2025-08-28,114.975,115.0,105.6862,111.71,7421241.0
2025-08-27,110.58,111.33,110.01,111.2,3621609.0
2025-08-26,112.43,112.48,110.08,110.5,2717711.0
2025-08-25,112.2,112.8,111.02,112.35,2806471.0
2025-08-22,112.11,113.75,111.37,112.4,2428681.0
2025-08-21,114.08,114.55,111.91,112.49,2545165.0
2025-08-20,112.73,115.9099,112.465,114.85,2609117.0
2025-08-19,112.55,113.65,111.4742,112.78,3268008.0
2025-08-18,113.58,114.0,112.25,112.3,1968417.0
2025-08-15,114.68,114.68,112.07,112.77,3258078.0
2025-08-14,115.335,115.65,113.46,114.7,1752736.0
2025-08-13,115.11,116.3,112.443,115.79,3874889.0
2025-08-12,115.22,116.2776,114.05,115.19,2277739.0
2025-08-11,116.65,117.48,114.32,114.55,2696133.0
2025-08-08,116.0,117.95,115.295,116.32,2424686.0
2025-08-07,113.13,115.83,113.0,115.63,2678917.0
2025-08-06,111.48,114.3,111.34,113.32,2859562.0
2025-08-05,109.78,111.65,109.78,110.86,2972869.0
2025-08-04,108.33,111.2334,108.015,110.94,3329195.0
2025-08-01,105.32,109.0296,105.06,108.53,4217052.0
2025-07-31,105.0,106.35,104.5,104.9,3133347.0
2025-07-30,106.7,107.27,105.42,105.54,3020712.0
2025-07-29,105.88,107.3544,105.51,106.85,2038184.0
2025-07-28,107.03,107.055,104.7,105.81,2729589.0
2025-07-25,107.82,108.7499,107.22,107.56,1603905.0
2025-07-24,109.43,109.6,107.74,107.75,1667398.0
2025-07-23,109.5,110.0,107.66,109.24,2186644.0
2025-07-22,108.1,109.97,108.1,109.83,2058792.0
2025-07-21,110.09,110.28,107.34,107.6,2816729.0
2025-07-18,109.55,110.54,108.82,110.09,2745035.0
2025-07-17,111.11,112.0,108.6901,109.23,4763161.0
2025-07-16,113.36,113.7,111.11,112.57,2140700.0
2025-07-15,113.61,114.18,112.97,113.22,2285221.0
2025-07-14,113.29,114.685,112.62,114.39,2023981.0
2025-07-11,112.12,113.35,111.91,113.14,2226074.0
2025-07-10,111.76,113.57,111.61,112.26,2520093.0
2025-07-09,112.74,112.74,111.06,112.35,2479555.0
2025-07-08,114.82,115.4,111.94,112.69,3302527.0
2025-07-07,114.5,116.3,113.21,116.3,4143999.0
2025-07-03,115.49,116.07,112.6782,114.11,2041983.0
2025-07-02,115.39,116.2199,113.95,115.46,2484337.0
2025-07-01,114.24,116.25,114.0,115.3,2834993.0
2025-06-30,113.85,114.87,112.65,114.38,3041865.0
2025-06-27,112.99,114.71,112.99,114.45,3326502.0
2025-06-26,112.96,114.17,112.19,112.63,1990400.0
2025-06-25,113.0,114.24,112.265,112.77,3117168.0
2025-06-24,111.47,113.86,109.5467,113.31,4592224.0
2025-06-23,112.29,115.02,111.615,114.95,3964585.0
2025-06-20,112.19,112.53,110.32,111.51,4972341.0
2025-06-18,113.24,114.035,111.63,112.31,2228414.0
2025-06-17,112.99,113.8566,112.0201,113.32,2096671.0
2025-06-16,111.49,114.59,111.1111,113.63,2901294.0
2025-06-13,112.18,113.1,111.3,111.68,2319390.0
2025-06-12,111.65,111.97,109.82,111.84,2831852.0
2025-06-11,111.37,112.24,110.892,111.45,2693832.0
