date,Open,High,Low,Close,Volume
2025-10-31,98.1,99.8229,97.72,99.12,2740515.0
2025-10-30,101.94,102.005,98.66,98.8,3064903.0
2025-10-29,101.72,103.2,100.49,101.33,2629991.0
2025-10-28,102.415,104.49,100.14,102.7,4327515.0
2025-10-27,100.02,102.99,100.02,102.59,4854898.0
2025-10-24,100.6,101.19,98.865,99.05,2180209.0
2025-10-23,100.17,102.1499,99.69,100.62,3186550.0
2025-10-22,98.51,101.44,97.43,100.47,4495397.0
2025-10-21,98.6,99.645,97.58,98.95,3576691.0
2025-10-20,96.59,99.265,96.475,99.02,4590868.0
2025-10-17,94.35,96.69,94.13,96.44,3941033.0
2025-10-16,95.48,96.38,92.67,94.03,5247980.0
2025-10-15,100.46,100.53,94.785,95.97,8795339.0
2025-10-14,92.62,96.175,92.235,95.58,7053333.0
2025-10-13,89.03,93.72,88.79,92.59,7575086.0
2025-10-10,89.63,93.08,87.565,87.61,5937997.0
2025-10-09,88.14,89.27,87.2501,89.02,4536230.0
2025-10-08,85.91,88.36,85.755,87.83,6811541.0
2025-10-07,85.28,86.47,84.71,85.04,5055008.0
2025-10-06,90.12,90.24,87.45,87.68,4792545.0
2025-10-03,90.39,91.03,89.05,89.98,3776175.0
2025-10-02,90.3,90.6453,88.075,90.24,6167787.0
2025-10-01,93.75,93.81,90.19,90.32,7443183.0
2025-09-30,94.38,95.05,93.43,94.37,4209159.0
2025-09-29,95.4,95.4,91.71,94.21,5793927.0
2025-09-26,94.1,95.529,93.41,95.06,4205463.0
2025-09-25,95.9,96.635,93.79,94.03,3383918.0
2025-09-24,94.65,96.27,94.24,95.9,3573313.0
2025-09-23,94.87,95.22,93.79,94.65,3328575.0
2025-09-22,95.3,95.83,93.72,94.48,3352601.0
2025-09-19,98.54,98.8699,94.64,95.26,7146927.0
2025-09-18,96.85,98.54,96.5,98.26,3872286.0
2025-09-17,95.7,98.705,95.47,97.78,5325677.0
2025-09-16,96.75,97.38,94.9,95.48,5277884.0
2025-09-15,97.45,98.685,96.605,97.26,4096445.0
2025-09-12,98.94,99.73,96.6,97.45,3666367.0
2025-09-11,99.23,101.03,98.69,99.39,3765221.0
2025-09-10,97.35,99.77,97.0,98.85,5670252.0
2025-09-09,99.0,99.37,95.38,96.3,7918860.0
2025-09-08,101.045,101.37,96.96,99.4,7464541.0
2025-09-05,100.18,101.24,99.1201,101.12,5825475.0
2025-09-04,101.68,101.85,98.725,100.25,7670942.0
2025-09-03,100.8,104.28,98.0,102.03,15736926.0
2025-09-02,108.9,112.13,108.04,111.35,5514886.0
2025-08-29,113.5,113.65,108.61,109.17,3723193.0
2025-08-28,115.08,115.735,111.775,112.5,3115605.0
2025-08-27,112.13,113.72,111.64,112.86,3011990.0
2025-08-26,112.78,112.97,111.2,111.98,3894313.0
2025-08-25,113.54,114.5,111.63,111.8,2341521.0
2025-08-22,112.88,113.87,111.97,113.32,2223752.0
2025-08-21,112.59,112.9,111.11,112.59,2914995.0
2025-08-20,112.11,113.73,111.54,113.35,2741079.0
2025-08-19,112.23,113.37,111.1,112.48,3558048.0
2025-08-18,114.25,114.505,111.82,112.06,3373391.0
2025-08-15,114.93,114.93,112.37,113.49,3439145.0
2025-08-14,114.21,115.095,112.97,114.63,3658696.0
2025-08-13,113.87,115.655,112.4436,115.4,3331058.0
2025-08-12,114.29,116.69,113.3,114.06,3354957.0
2025-08-11,116.12,116.31,114.04,114.29,2484088.0
2025-08-08,117.63,118.06,115.695,116.12,2049762.0
2025-08-07,116.625,117.555,115.3648,117.16,2304298.0
2025-08-06,115.66,117.8019,115.58,116.37,2504942.0
2025-08-05,116.0,116.31,114.99,115.66,2458043.0
2025-08-04,114.76,116.5,114.185,115.72,3291107.0
2025-08-01,113.185,115.02,112.21,114.72,3154876.0
2025-07-31,113.47,114.12,112.9,113.55,3221457.0
2025-07-30,114.83,115.18,113.51,114.15,2394215.0
2025-07-29,115.25,115.25,113.399,114.99,2974070.0
2025-07-28,114.49,115.83,114.04,115.43,4699050.0
2025-07-25,114.2,115.2975,113.31,114.41,2004254.0
2025-07-24,115.0,115.99,114.12,114.21,4398341.0
2025-07-23,114.76,115.42,113.4534,114.92,2505706.0
2025-07-22,112.78,115.2,112.48,114.77,4921619.0
2025-07-21,112.46,113.455,110.35,112.31,3672092.0
2025-07-18,108.71,111.03,108.305,110.12,3548556.0
2025-07-17,106.41,108.33,106.2,108.15,3479919.0
2025-07-16,106.89,107.33,104.84,106.62,3027438.0
2025-07-15,108.38,108.665,106.24,106.55,2685078.0
2025-07-14,109.18,109.18,106.22,108.63,2904031.0
2025-07-11,108.37,109.74,107.6,109.36,3136309.0
2025-07-10,106.19,108.95,105.725,108.37,3724930.0
2025-07-09,104.44,105.04,102.9505,104.75,1702220.0
2025-07-08,104.74,106.96,103.35,104.39,3463308.0
2025-07-07,101.75,104.37,100.58,104.23,2846209.0
2025-07-03,103.17,103.17,101.06,101.91,2140917.0
2025-07-02,100.91,103.23,100.91,103.01,2960088.0
2025-07-01,99.04,101.77,98.64,101.5,3016597.0
2025-06-30,98.65,99.64,97.3,99.04,2769728.0
2025-06-27,99.565,101.6,98.63,98.7,5092465.0
2025-06-26,99.49,99.73,97.855,99.44,2397519.0
2025-06-25,99.29,100.535,98.845,99.45,2778693.0
2025-06-24,100.46,100.675,97.52,98.68,2900366.0
2025-06-23,98.27,100.735,97.52,100.51,5544323.0
2025-06-20,97.54,99.23,97.0,98.71,6650881.0
2025-06-18,98.31,99.36,97.2,97.53,3396422.0
2025-06-17,98.24,98.97,97.8301,98.35,2715104.0
2025-06-16,96.3,99.55,95.69,99.0,3503003.0
2025-06-13,95.52,96.92,94.81,95.19,3000634.0
2025-06-12,93.91,96.14,93.83,96.09,2506417.0
2025-06-11,93.43,94.82,93.43,94.21,2716146.0
