date,Open,High,Low,Close,Volume
2025-10-31,179.1,182.87,179.1,181.46,1895614.0
2025-10-30,180.07,185.395,179.7,180.14,1223348.0
2025-10-29,180.18,181.69,179.435,180.8,1568122.0
2025-10-28,178.44,179.92,177.3,179.71,1125027.0
2025-10-27,179.41,180.02,177.29,177.96,1172302.0
2025-10-24,180.8,180.8,177.4,177.43,1575925.0
2025-10-23,172.52,181.36,170.0,181.22,2234517.0
2025-10-22,172.92,173.575,167.34,167.61,2069386.0
2025-10-21,168.29,173.63,168.29,173.04,1453265.0
2025-10-20,167.65,169.35,166.925,168.92,1165282.0
2025-10-17,165.35,166.59,164.725,166.5,2917455.0
2025-10-16,163.52,166.37,163.33,166.13,1945889.0
2025-10-15,164.8,164.99,161.275,162.66,1048131.0
2025-10-14,159.18,163.67,158.97,162.55,1094247.0
2025-10-13,163.85,163.85,161.16,161.16,1187243.0
2025-10-10,163.21,164.06,160.4,161.45,1681913.0
2025-10-09,165.41,165.45,162.05,162.3,831239.0
2025-10-08,165.41,166.0,163.72,164.75,697286.0
2025-10-07,167.3,167.34,164.22,164.59,825533.0
2025-10-06,167.68,167.75,165.169,166.52,791333.0
2025-10-03,166.49,168.32,166.34,166.61,832597.0
2025-10-02,166.71,168.18,166.065,166.75,793393.0
2025-10-01,165.4,167.48,165.32,166.4,768659.0
2025-09-30,166.42,167.1466,164.62,166.83,1151326.0
2025-09-29,168.98,169.0099,166.24,166.64,1303999.0
2025-09-26,166.47,168.25,165.5843,167.99,849620.0
2025-09-25,166.08,166.445,163.7,165.59,1377885.0
2025-09-24,169.07,169.75,167.04,167.29,1205899.0
2025-09-23,171.34,172.26,168.49,169.09,1133243.0
2025-09-22,170.35,170.95,169.52,170.24,855510.0
2025-09-19,173.15,173.56,170.891,171.34,1492694.0
2025-09-18,172.68,174.37,171.92,172.8,831426.0
2025-09-17,173.24,175.81,170.38,171.45,720378.0
2025-09-16,171.9,172.86,171.04,172.57,947329.0
2025-09-15,173.11,173.86,171.685,171.94,742901.0
2025-09-12,177.45,177.595,172.88,172.98,1133214.0
2025-09-11,175.79,178.61,175.79,178.1,1031799.0
2025-09-10,175.19,177.855,174.94,175.64,882255.0
2025-09-09,177.52,177.52,174.0523,174.68,764701.0
2025-09-08,177.77,178.63,175.82,178.0,1136113.0
2025-09-05,178.96,180.475,176.6,177.75,1047588.0
2025-09-04,174.74,178.4,174.255,178.36,771559.0
2025-09-03,175.49,175.99,173.9625,174.73,722760.0
2025-09-02,176.7,176.81,174.38,175.77,955424.0
2025-08-29,180.9,181.565,178.65,178.86,496970.0
2025-08-28,182.81,183.425,181.01,181.59,570373.0
2025-08-27,181.51,183.68,181.275,182.71,546320.0
2025-08-26,180.45,182.56,179.96,182.21,1566049.0
2025-08-25,183.26,183.33,180.46,180.51,514327.0
2025-08-22,178.72,183.84,178.54,183.07,1059362.0
2025-08-21,178.0,179.426,177.07,177.41,841925.0
2025-08-20,179.14,179.6,177.74,178.74,881054.0
2025-08-19,177.77,180.17,177.22,179.71,1379176.0
2025-08-18,176.42,177.54,175.7074,177.15,555811.0
2025-08-15,179.64,179.64,176.43,176.54,620612.0
2025-08-14,180.77,181.02,178.59,179.4,772194.0
2025-08-13,178.765,182.91,178.6388,182.83,1119363.0
2025-08-12,176.43,178.09,175.76,177.99,901645.0
2025-08-11,174.22,175.445,173.83,175.29,1334023.0
2025-08-08,174.47,175.305,173.3,173.52,608878.0
2025-08-07,175.99,176.52,173.34,173.97,721026.0
2025-08-06,177.5,177.75,174.06,174.3,1285725.0
2025-08-05,177.1,177.785,174.9145,177.18,1085346.0
2025-08-04,175.72,176.47,174.995,176.1,1043895.0
2025-08-01,178.05,178.585,174.43,174.97,1540733.0
2025-07-31,181.57,183.53,180.675,181.14,1213028.0
2025-07-30,184.58,185.01,181.3828,182.22,1120180.0
2025-07-29,186.33,186.54,183.4,184.05,955649.0
2025-07-28,187.0,187.0,184.57,184.93,1105385.0
2025-07-25,186.96,187.5409,184.0,186.5,1579895.0
2025-07-24,195.03,195.2311,184.905,186.63,2770310.0
2025-07-23,190.84,191.7499,189.25,190.9,1087402.0
2025-07-22,186.5,189.9,186.5,189.54,859121.0
2025-07-21,189.09,189.1733,186.61,186.98,1169525.0
2025-07-18,191.02,191.405,187.29,188.24,2574041.0
2025-07-17,187.96,191.2,187.49,190.59,880095.0
2025-07-16,187.33,189.0,184.88,187.84,805629.0
2025-07-15,190.92,190.92,187.0,187.07,971756.0
2025-07-14,188.52,189.2078,186.0,188.9,1925256.0
2025-07-11,188.76,189.495,188.16,188.94,730008.0
2025-07-10,188.78,192.41,188.33,190.52,657825.0
2025-07-09,189.9,189.9,186.855,188.22,859780.0
2025-07-08,187.8,189.85,187.7301,188.43,892843.0
2025-07-07,187.88,189.47,185.6225,187.37,1069523.0
2025-07-03,188.88,189.6999,187.65,188.63,488787.0
2025-07-02,187.13,188.42,185.47,188.15,779166.0
2025-07-01,182.65,187.94,182.525,186.16,912526.0
2025-06-30,183.3,183.52,182.32,183.23,950390.0
2025-06-27,183.36,184.43,182.15,183.3,1179681.0
2025-06-26,181.0,183.78,180.62,183.04,729741.0
2025-06-25,180.2,180.68,178.7,180.05,700887.0
2025-06-24,178.68,180.23,177.656,179.94,1037878.0
2025-06-23,174.52,177.805,173.05,177.53,841318.0
2025-06-20,177.23,177.71,174.25,174.88,2230871.0
2025-06-18,175.94,177.325,175.29,175.7,1090711.0
2025-06-17,178.63,179.375,175.83,176.08,804746.0
2025-06-16,178.54,180.75,178.295,179.75,735542.0
2025-06-13,177.02,178.875,175.81,176.54,898546.0
2025-06-12,177.69,178.9,176.26,178.78,768722.0
2025-06-11,181.46,181.68,178.39,179.14,881756.0
