date,Open,High,Low,Close,Volume
2025-10-31,177.92,180.76,177.0001,180.15,1315428.0
2025-10-30,180.97,181.36,177.83,178.2,1192871.0
2025-10-29,180.02,182.705,177.33,182.41,1842346.0
2025-10-28,182.64,183.4852,180.69,181.33,773448.0
2025-10-27,184.72,185.445,182.46,183.63,1037177.0
2025-10-24,187.27,187.27,184.29,184.82,786270.0
2025-10-23,187.08,187.98,184.68,186.46,714745.0
2025-10-22,188.19,189.0499,186.47,187.41,703814.0
2025-10-21,188.06,188.98,187.09,187.49,830378.0
2025-10-20,191.26,191.5,187.56,187.92,1026983.0
2025-10-17,188.58,190.32,187.14,188.19,1269925.0
2025-10-16,187.34,188.9,186.63,187.45,902533.0
2025-10-15,187.78,191.26,187.51,188.36,894325.0
2025-10-14,183.74,187.97,183.48,187.0,1069185.0
2025-10-13,183.4,186.9,182.205,185.01,1245751.0
2025-10-10,185.56,186.0,181.11,181.17,1190958.0
2025-10-09,188.23,188.835,186.41,186.69,785878.0
2025-10-08,191.3,191.74,187.845,187.92,1142580.0
2025-10-07,193.07,194.0692,189.37,191.54,1018405.0
2025-10-06,193.4,196.555,192.44,193.27,1115974.0
2025-10-03,192.72,194.1618,191.54,193.18,930389.0
2025-10-02,191.34,194.31,191.0,193.49,1029119.0
2025-10-01,190.11,192.42,189.6714,192.4,1056952.0
2025-09-30,191.8,191.9879,189.54,190.36,1166247.0
2025-09-29,189.02,193.02,188.09,192.98,1588150.0
2025-09-26,187.81,189.58,186.98,188.12,1290015.0
2025-09-25,186.78,187.46,183.08,187.02,1593500.0
2025-09-24,186.49,188.24,185.2985,186.61,1302337.0
2025-09-23,185.08,186.84,183.49,186.52,1515525.0
2025-09-22,184.81,185.46,182.76,185.21,2103444.0
2025-09-19,192.76,192.81,184.595,184.73,3337547.0
2025-09-18,193.67,195.069,186.9,192.74,6696471.0
2025-09-17,210.46,211.9,208.54,208.79,1375955.0
2025-09-16,212.42,214.335,209.445,210.04,1261891.0
2025-09-15,213.3,215.13,212.065,212.16,1004747.0
2025-09-12,214.09,215.28,212.445,212.61,1138654.0
2025-09-11,211.52,214.03,209.88,213.4,939022.0
2025-09-10,211.47,213.145,209.01,211.46,1139201.0
2025-09-09,209.69,212.25,208.85,211.85,1201459.0
2025-09-08,209.53,211.2,208.2601,210.79,1199019.0
2025-09-05,209.63,211.39,208.095,210.14,739831.0
2025-09-04,209.22,210.47,207.485,210.19,736646.0
2025-09-03,207.02,208.45,206.64,208.27,788590.0
2025-09-02,205.73,208.52,205.73,208.06,783251.0
2025-08-29,206.65,208.0,205.875,206.94,701739.0
2025-08-28,206.12,207.0,205.1,206.71,730561.0
2025-08-27,205.52,206.89,205.3125,206.26,591545.0
2025-08-26,205.72,206.725,204.95,205.98,907432.0
2025-08-25,208.19,210.0,205.24,205.24,995229.0
