date,Open,High,Low,Close,Volume
2025-10-31,32.12,32.585,31.94,32.49,5408421.0
2025-10-30,31.91,32.49,31.65,32.01,6257119.0
2025-10-29,32.18,32.52,31.945,32.05,7060352.0
2025-10-28,32.73,32.78,32.0,32.01,6428920.0
2025-10-27,33.03,33.39,32.7924,32.93,5762748.0
2025-10-24,33.6,33.65,32.89,32.97,4557462.0
2025-10-23,33.43,33.83,33.2,33.44,8202054.0
2025-10-22,32.46,32.77,31.995,32.41,8167385.0
2025-10-21,31.9,32.25,31.4735,32.06,7512988.0
2025-10-20,31.77,32.28,31.6035,31.93,5770178.0
2025-10-17,32.05,32.24,31.555,31.74,7610670.0
2025-10-16,32.65,32.84,31.64,32.03,6797933.0
2025-10-15,33.06,33.25,32.275,32.61,5688447.0
2025-10-14,32.42,33.115,32.2555,32.71,8404982.0
2025-10-13,32.95,33.25,32.55,33.21,4928062.0
2025-10-10,33.9,34.03,32.49,32.5,11041520.0
2025-10-09,35.25,35.75,34.29,34.35,6872711.0
2025-10-08,34.985,35.0,34.25,34.97,11524916.0
2025-10-07,34.76,35.0,33.99,34.99,6927609.0
2025-10-06,34.82,35.36,34.57,34.91,4807198.0
2025-10-03,34.49,34.905,34.3707,34.56,6409368.0
2025-10-02,35.0,35.485,34.1819,34.32,7237390.0
2025-10-01,34.88,35.54,34.75,35.32,6187728.0
2025-09-30,35.19,35.36,34.515,35.06,9104919.0
2025-09-29,36.81,36.82,35.34,35.52,9375344.0
2025-09-26,35.87,37.26,35.79,36.99,9215497.0
2025-09-25,35.07,35.8499,35.03,35.76,6065416.0
2025-09-24,34.99,35.695,34.87,35.21,5455327.0
2025-09-23,34.09,35.49,33.995,34.48,8409111.0
2025-09-22,33.82,33.995,33.58,33.72,6826370.0
2025-09-19,34.79,34.81,33.92,33.96,13572291.0
2025-09-18,35.6,35.6,34.73,35.01,6103006.0
2025-09-17,34.72,35.885,34.335,35.41,7499506.0
2025-09-16,33.935,35.1299,33.89,34.97,8053671.0
2025-09-15,34.59,34.603,33.725,33.77,9102243.0
2025-09-12,35.56,35.79,34.77,34.77,7123771.0
2025-09-11,35.0,35.35,34.77,35.29,6243185.0
2025-09-10,34.36,35.52,34.2,35.52,8043207.0
2025-09-09,34.72,35.28,34.31,34.31,5073642.0
2025-09-08,35.05,35.05,34.125,34.51,8061030.0
2025-09-05,35.04,35.535,34.34,34.76,8729180.0
2025-09-04,34.93,35.625,34.67,35.58,4615710.0
2025-09-03,35.83,36.2,34.92,35.08,6754393.0
2025-09-02,36.0,36.57,35.665,36.42,6044842.0
2025-08-29,35.81,36.28,35.8,36.1,6146301.0
2025-08-28,35.73,35.97,35.25,35.88,5125658.0
2025-08-27,35.1,35.99,35.1,35.56,7925288.0
2025-08-26,35.41,35.58,34.91,35.23,7114813.0
2025-08-25,35.14,35.805,34.9,35.77,6681280.0
2025-08-22,34.08,35.285,34.03,35.16,8412638.0
2025-08-21,33.62,34.06,33.305,33.89,5312535.0
2025-08-20,33.61,34.0,33.34,33.78,8273857.0
2025-08-19,33.38,34.1075,33.355,33.58,6284558.0
2025-08-18,33.535,33.815,33.15,33.55,5380168.0
2025-08-15,33.8,34.09,33.585,33.69,5365614.0
2025-08-14,33.43,33.8953,33.035,33.85,4720456.0
2025-08-13,33.24,33.62,32.945,33.62,5817555.0
2025-08-12,32.98,33.745,32.74,33.32,5763044.0
2025-08-11,33.27,33.57,32.55,32.87,8541793.0
2025-08-08,32.65,33.54,32.36,33.28,9269121.0
2025-08-07,33.09,33.665,32.285,32.39,10939144.0
2025-08-06,33.0,33.86,32.14,32.45,15777813.0
2025-08-05,32.04,32.44,31.65,32.31,9814237.0
2025-08-04,31.9,32.275,31.675,31.94,7853620.0
2025-08-01,32.81,33.03,31.73,32.14,8893047.0
2025-07-31,33.415,34.04,33.07,33.22,5467853.0
2025-07-30,33.94,34.1636,33.505,33.76,6439942.0
2025-07-29,34.18,34.33,33.71,34.22,6184110.0
2025-07-28,33.34,34.12,33.3,34.09,7174635.0
2025-07-25,33.33,33.4592,32.855,32.94,5664247.0
2025-07-24,33.02,33.625,32.73,33.3,9729052.0
2025-07-23,32.99,33.535,32.745,33.24,6605681.0
2025-07-22,32.47,33.04,32.445,32.81,6161522.0
2025-07-21,32.9,33.0175,32.3,32.35,4939707.0
2025-07-18,33.16,33.63,32.73,32.85,7130153.0
2025-07-17,31.72,32.82,31.63,32.78,6668819.0
2025-07-16,32.18,32.33,31.45,31.75,11508911.0
2025-07-15,33.32,33.35,32.15,32.17,6964042.0
2025-07-14,33.77,33.81,33.07,33.2,6961294.0
2025-07-11,33.76,34.315,33.62,33.97,5724419.0
2025-07-10,34.2,34.59,33.7,33.95,7753106.0
2025-07-09,34.75,35.03,34.23,34.59,6306162.0
2025-07-08,32.91,35.19,32.715,34.92,16160851.0
