date,Open,High,Low,Close,Volume
2025-10-31,13.94,14.44,13.42,14.2,5599630.0
2025-10-30,12.99,13.26,12.92,12.94,2677734.0
2025-10-29,13.46,13.565,13.1,13.17,1965197.0
2025-10-28,13.31,13.5591,13.27,13.36,2202973.0
2025-10-27,13.72,13.72,13.4,13.43,1537267.0
2025-10-24,13.51,13.64,13.49,13.54,1384401.0
2025-10-23,13.13,13.37,13.12,13.37,1687767.0
2025-10-22,13.2,13.455,13.08,13.27,1667278.0
2025-10-21,13.0,13.43,12.99,13.27,1469630.0
2025-10-20,12.97,13.1,12.82,12.99,1401948.0
2025-10-17,12.69,13.0,12.69,12.85,1136953.0
2025-10-16,13.07,13.12,12.63,12.82,2150354.0
2025-10-15,13.41,13.43,13.08,13.1,1232967.0
2025-10-14,13.03,13.5,12.985,13.32,1371152.0
2025-10-13,13.09,13.245,12.95,13.22,1408860.0
2025-10-10,13.64,13.64,12.825,12.89,1700535.0
2025-10-09,13.38,13.595,13.17,13.58,1279914.0
2025-10-08,13.36,13.56,13.29,13.34,1344324.0
2025-10-07,13.62,13.65,13.2,13.28,2049231.0
2025-10-06,13.85,13.915,13.6,13.6,1339747.0
2025-10-03,13.66,13.945,13.6149,13.8,2491316.0
2025-10-02,13.84,14.01,13.58,13.59,1690859.0
2025-10-01,13.55,13.87,13.48,13.8,1826697.0
2025-09-30,13.61,13.76,13.46,13.63,1468388.0
2025-09-29,14.09,14.09,13.63,13.63,2342630.0
2025-09-26,13.31,14.14,13.25,14.01,2986871.0
2025-09-25,13.81,13.835,13.09,13.27,2164408.0
2025-09-24,13.77,14.06,13.73,13.94,1734993.0
2025-09-23,14.36,14.36,13.67,13.67,1997133.0
2025-09-22,13.77,14.32,13.77,14.31,1842861.0
2025-09-19,14.34,14.42,13.77,13.79,4246596.0
2025-09-18,14.12,14.34,14.065,14.27,1581882.0
2025-09-17,14.05,14.465,13.935,13.99,1663790.0
2025-09-16,13.95,14.155,13.88,14.07,1971700.0
2025-09-15,14.2,14.28,13.84,13.91,1310332.0
2025-09-12,14.43,14.54,14.02,14.02,1657137.0
2025-09-11,14.25,14.57,14.17,14.55,1826811.0
2025-09-10,14.41,14.49,14.095,14.22,1941197.0
2025-09-09,14.64,14.73,14.405,14.43,1593682.0
2025-09-08,14.74,14.74,14.36,14.65,1892101.0
2025-09-05,14.58,15.0389,14.48,14.79,1787203.0
2025-09-04,14.4,14.61,14.0737,14.5,1612875.0
2025-09-03,14.34,14.5,14.23,14.5,1531313.0
2025-09-02,14.17,14.43,14.1,14.33,1124786.0
2025-08-29,14.18,14.615,14.16,14.45,1737361.0
2025-08-28,14.41,14.41,14.13,14.19,1532083.0
2025-08-27,14.17,14.435,14.15,14.31,1597239.0
2025-08-26,14.06,14.2,14.04,14.15,1715877.0
2025-08-25,14.2,14.25,14.03,14.09,1132329.0
2025-08-22,13.83,14.41,13.765,14.25,1426566.0
2025-08-21,13.62,13.75,13.55,13.71,1217387.0
2025-08-20,13.85,14.01,13.7,13.7,1351649.0
2025-08-19,14.0,14.26,13.87,13.97,1731906.0
2025-08-18,13.68,13.975,13.53,13.92,1853942.0
2025-08-15,13.77,14.06,13.71,13.71,1529000.0
