date,Open,High,Low,Close,Volume
2025-10-31,97.24,97.79,96.11,97.41,2770794.0
2025-10-30,97.31,98.85,97.07,98.19,2073284.0
2025-10-29,98.48,98.855,96.88,97.0,1804147.0
2025-10-28,99.7,99.955,98.5275,98.55,1156747.0
2025-10-27,99.31,100.47,99.075,100.22,1537561.0
2025-10-24,100.49,101.06,99.84,100.04,1036366.0
2025-10-23,102.66,102.66,100.0701,100.77,1302838.0
2025-10-22,101.5,103.1,100.87,101.94,1508989.0
2025-10-21,101.72,102.0,100.89,101.56,1116965.0
2025-10-20,101.72,101.94,100.85,101.72,1129321.0
2025-10-17,101.4,101.73,100.43,101.19,1597575.0
2025-10-16,102.68,103.14,100.98,101.07,1558806.0
2025-10-15,101.68,102.805,101.6,102.29,1556615.0
2025-10-14,101.71,102.7,101.33,101.89,1423256.0
2025-10-13,102.1,102.49,100.15,100.86,1515680.0
2025-10-10,101.48,102.71,100.88,102.39,2059205.0
2025-10-09,101.27,102.28,100.77,100.8,1816124.0
2025-10-08,100.21,100.9,99.7125,100.83,1570590.0
2025-10-07,99.16,100.36,98.385,100.04,1722042.0
2025-10-06,98.67,99.35,98.42,99.33,1769805.0
2025-10-03,97.67,99.28,97.61,98.81,1676205.0
2025-10-02,98.18,98.46,97.31,97.64,1449485.0
2025-10-01,100.22,100.57,98.05,98.17,2301874.0
2025-09-30,99.58,100.76,99.1,100.52,2199219.0
2025-09-29,99.57,99.79,98.76,99.57,1875302.0
2025-09-26,98.74,99.92,98.19,99.62,1947302.0
2025-09-25,99.5,99.85,98.225,98.35,1848471.0
2025-09-24,98.29,99.27,98.29,98.81,1611788.0
2025-09-23,96.36,98.64,96.3,98.55,2204294.0
2025-09-22,96.38,96.95,95.97,96.62,1938992.0
2025-09-19,96.54,96.91,95.9,96.33,4091681.0
2025-09-18,95.74,96.91,95.69,96.35,1815705.0
2025-09-17,96.29,97.3,96.145,96.4,1879757.0
2025-09-16,96.51,96.88,95.26,95.57,2116706.0
2025-09-15,97.6,97.625,96.79,97.0,1351898.0
2025-09-12,97.57,98.5638,97.1,97.55,1249463.0
2025-09-11,96.97,97.775,96.51,97.7,1689992.0
2025-09-10,97.07,97.34,96.46,97.08,1603960.0
2025-09-09,96.28,97.35,96.15,96.98,1282697.0
2025-09-08,97.91,98.15,96.22,96.65,2189394.0
2025-09-05,97.97,98.3098,97.345,98.05,1724666.0
2025-09-04,98.6,98.81,97.345,97.8,2033303.0
2025-09-03,96.95,97.89,96.61,97.85,4287233.0
2025-09-02,98.29,98.29,96.55,97.2,3019315.0
2025-08-29,98.27,98.545,98.01,98.23,4220120.0
2025-08-28,99.85,99.97,97.88,98.17,2400163.0
2025-08-27,99.88,100.33,99.52,100.07,4313818.0
2025-08-26,100.04,100.46,99.38,99.72,3309463.0
2025-08-25,101.16,101.4727,99.71,99.95,2498894.0
2025-08-22,102.2,102.75,100.83,101.65,2753050.0
2025-08-21,101.56,102.295,101.12,101.5,2282712.0
2025-08-20,101.97,103.08,101.225,101.76,3216440.0
2025-08-19,99.88,101.18,99.5948,101.1,3948355.0
2025-08-18,100.85,100.97,99.72,99.74,2789322.0
2025-08-15,100.13,102.2,100.13,100.77,3098753.0
2025-08-14,103.45,103.655,102.52,102.86,2171761.0
2025-08-13,102.86,103.66,102.2427,103.66,2728415.0
2025-08-12,104.11,104.375,102.69,103.69,2578774.0
2025-08-11,104.45,104.67,103.14,104.12,2357182.0
2025-08-08,106.16,106.16,103.86,104.48,2796477.0
2025-08-07,103.55,105.58,103.5,105.0,2577713.0
2025-08-06,104.16,105.21,103.76,104.15,1993167.0
2025-08-05,105.12,106.01,104.18,104.18,2515949.0
2025-08-04,104.45,105.69,104.19,105.36,2345153.0
2025-08-01,104.61,105.1,103.56,104.44,2272580.0
2025-07-31,101.68,103.57,101.46,103.5,3483197.0
2025-07-30,102.14,103.66,101.76,102.59,1565213.0
2025-07-29,101.02,102.27,100.8,102.24,1265041.0
2025-07-28,101.88,101.935,100.4744,100.98,1995248.0
2025-07-25,101.97,102.645,101.485,102.26,1375737.0
2025-07-24,102.47,102.8,101.75,102.05,2467810.0
