date,Open,High,Low,Close,Volume
2025-10-31,210.58,213.69,208.8301,211.1,1675533.0
2025-10-30,214.51,215.5325,210.81,211.5,1224505.0
2025-10-29,222.07,222.21,211.69,214.51,1552769.0
2025-10-28,227.61,228.6,223.98,224.16,984206.0
2025-10-27,238.94,238.94,228.71,229.02,1528054.0
2025-10-24,235.74,236.255,232.64,233.8,722855.0
2025-10-23,232.5,235.38,230.55,231.31,1078776.0
2025-10-22,228.31,235.59,228.07,230.64,1359324.0
2025-10-21,235.42,236.485,219.56,229.93,2100378.0
2025-10-20,230.0,232.2,228.25,231.12,1264241.0
2025-10-17,227.0,228.7,224.79,226.91,767808.0
2025-10-16,230.08,231.6,224.54,227.2,992382.0
2025-10-15,225.9,231.25,224.07,229.64,969847.0
2025-10-14,223.76,228.86,221.58,228.33,1125635.0
2025-10-13,230.81,231.31,224.69,225.46,1657874.0
2025-10-10,234.57,235.14,229.07,230.3,973807.0
2025-10-09,237.65,238.68,232.71,233.25,1632861.0
2025-10-08,241.89,244.37,238.66,239.68,1340397.0
2025-10-07,237.18,238.97,235.9,237.99,743569.0
2025-10-06,235.67,242.26,232.43,237.33,1199741.0
2025-10-03,232.01,237.97,229.865,236.67,1443287.0
2025-10-02,234.61,237.96,224.01,232.35,5245518.0
2025-10-01,255.5,258.315,249.455,253.84,1148166.0
2025-09-30,255.81,258.06,253.24,256.53,887131.0
2025-09-29,255.69,258.4,252.685,255.59,719821.0
2025-09-26,251.7,255.36,250.28,254.27,576217.0
2025-09-25,255.96,256.75,247.285,251.77,1010400.0
2025-09-24,255.15,257.8,254.705,257.43,738966.0
2025-09-23,256.82,258.42,254.57,257.58,778046.0
2025-09-22,255.58,257.39,251.19,256.97,787599.0
2025-09-19,261.73,262.3,256.735,257.58,1513663.0
2025-09-18,263.34,266.79,260.155,260.72,1041104.0
2025-09-17,260.82,271.84,259.5496,262.33,1686302.0
2025-09-16,256.61,261.83,252.87,260.58,1091971.0
