date,Open,High,Low,Close,Volume
2025-10-31,55.45,55.605,54.6,55.38,4322527.0
2025-10-30,55.07,55.815,54.77,55.64,2974315.0
2025-10-29,55.0,56.05,54.202,55.39,3814078.0
2025-10-28,56.63,56.64,55.72,56.05,3445625.0
2025-10-27,57.04,57.7865,56.535,56.91,3375823.0
2025-10-24,57.49,57.925,57.29,57.81,1722244.0
2025-10-23,58.72,58.73,57.04,57.27,2636412.0
2025-10-22,58.3,58.56,57.78,58.08,2043233.0
2025-10-21,58.01,58.81,57.62,58.36,2193628.0
2025-10-20,57.18,57.76,56.72,57.65,2705446.0
2025-10-17,56.69,57.08,56.2255,56.66,2061157.0
2025-10-16,57.32,58.07,56.495,56.72,2359035.0
2025-10-15,56.5,57.2711,56.1601,56.74,2604115.0
2025-10-14,53.69,56.215,53.59,56.07,3669873.0
2025-10-13,52.16,53.895,52.0,53.65,2696236.0
2025-10-10,53.57,53.63,52.12,52.12,3055159.0
2025-10-09,53.86,53.9187,52.355,53.07,3068825.0
2025-10-08,53.75,54.13,52.58,53.47,5802905.0
2025-10-07,54.46,54.47,52.55,53.69,3937687.0
2025-10-06,55.3,55.3,54.04,54.8,3895272.0
2025-10-03,54.79,55.75,54.58,55.29,2735623.0
2025-10-02,55.06,55.8,53.49,54.49,5766708.0
2025-10-01,55.47,56.515,55.315,56.28,3234302.0
2025-09-30,55.16,55.78,54.75,55.28,2660269.0
2025-09-29,55.18,55.52,54.64,55.23,3351983.0
2025-09-26,54.37,55.02,54.16,55.01,2428657.0
2025-09-25,54.82,55.045,53.89,54.05,3071038.0
2025-09-24,55.36,55.4399,54.68,55.04,2522925.0
2025-09-23,54.38,56.1,54.35,55.34,2675028.0
2025-09-22,55.47,55.47,53.75,54.26,4017430.0
2025-09-19,55.86,56.5,55.37,55.64,5572351.0
2025-09-18,55.61,55.82,54.845,55.58,2097505.0
2025-09-17,55.6,56.62,55.495,55.56,2417619.0
2025-09-16,56.0,56.22,54.88,55.18,3241156.0
2025-09-15,56.7,57.0,55.75,55.86,2946408.0
2025-09-12,56.08,56.78,55.92,56.2,2204452.0
2025-09-11,55.26,57.36,55.24,56.22,5188339.0
2025-09-10,54.57,56.42,53.74,55.57,8179474.0
2025-09-09,53.34,55.04,52.955,54.77,3772383.0
2025-09-08,54.45,55.15,53.0,53.3,3615138.0
2025-09-05,54.7,54.95,54.13,54.45,2054332.0
2025-09-04,55.71,55.93,53.419,54.67,3641773.0
2025-09-03,56.06,56.43,55.03,55.35,3330764.0
2025-09-02,55.51,56.5,54.9,55.79,2950812.0
2025-08-29,54.81,57.62,54.81,56.13,3528201.0
2025-08-28,55.31,55.51,54.555,54.72,1836355.0
2025-08-27,54.92,55.71,54.88,55.38,2150608.0
2025-08-26,54.57,55.09,54.375,54.92,3221270.0
2025-08-25,55.19,55.45,54.385,54.5,2043699.0
2025-08-22,54.34,55.73,54.2,55.6,2686057.0
2025-08-21,56.13,56.15,53.39,53.81,3356897.0
2025-08-20,56.51,57.26,55.85,55.96,2100329.0
2025-08-19,55.83,57.02,55.68,56.35,2076431.0
2025-08-18,55.72,56.15,55.355,55.63,1856910.0
2025-08-15,56.24,56.39,55.48,55.5,2147076.0
2025-08-14,55.84,56.31,55.25,56.02,1879767.0
2025-08-13,56.04,56.33,55.6202,56.28,2248201.0
2025-08-12,55.56,56.09,55.32,55.96,3450532.0
2025-08-11,54.0,55.47,54.0,55.25,3622587.0
2025-08-08,55.0,55.1,52.62,53.77,4797656.0
2025-08-07,55.0,55.4,53.53,54.94,4312979.0
2025-08-06,55.51,55.825,54.81,54.91,4279519.0
2025-08-05,55.48,56.03,54.7101,55.28,5054743.0
2025-08-04,52.66,55.31,52.66,55.22,5145063.0
2025-08-01,52.2,53.47,51.4,53.13,5102656.0
2025-07-31,51.54,52.28,51.01,52.12,7373093.0
2025-07-30,52.48,53.07,51.385,51.69,4453730.0
2025-07-29,52.44,52.615,51.96,52.45,2861706.0
2025-07-28,52.78,53.17,52.15,52.27,3801858.0
2025-07-25,51.39,53.08,51.22,52.95,4216070.0
2025-07-24,52.32,52.44,51.155,51.42,2986928.0
2025-07-23,52.36,52.55,51.88,52.3,2928869.0
2025-07-22,51.3,52.03,51.145,52.03,2372329.0
2025-07-21,51.37,51.5,50.855,50.92,2129223.0
2025-07-18,51.5,51.8,50.91,51.14,2995908.0
2025-07-17,50.58,51.48,50.58,51.33,3603489.0
2025-07-16,50.47,51.27,50.45,50.94,4141806.0
2025-07-15,51.2,51.33,50.19,50.42,2784261.0
2025-07-14,50.93,51.2324,50.375,50.96,2555869.0
2025-07-11,51.09,51.395,50.16,51.06,2948066.0
2025-07-10,50.58,51.66,50.235,51.29,3849752.0
2025-07-09,50.74,50.81,49.88,50.63,7340610.0
2025-07-08,50.08,50.795,49.14,50.74,4476649.0
2025-07-07,51.34,51.5,50.06,50.51,3998508.0
2025-07-03,53.1,53.24,52.06,52.55,2920079.0
2025-07-02,52.92,52.975,52.37,52.56,4431436.0
2025-07-01,51.83,53.35,51.83,52.88,5557084.0
2025-06-30,50.95,51.62,50.62,51.6,4750672.0
2025-06-27,50.96,51.05,50.4,50.97,5877252.0
2025-06-26,50.82,51.18,50.36,50.81,2880997.0
2025-06-25,50.96,51.3071,50.41,50.41,2552077.0
2025-06-24,50.45,51.545,50.28,51.39,3135640.0
2025-06-23,49.65,50.6877,49.28,50.16,3501355.0
2025-06-20,50.63,51.13,49.56,49.65,5842068.0
2025-06-18,49.1,50.59,48.92,50.46,4644114.0
2025-06-17,48.05,49.34,47.73,49.2,4216129.0
2025-06-16,48.765,49.36,48.01,48.35,5192329.0
2025-06-13,49.8,50.09,47.86,48.32,6044990.0
2025-06-12,49.6,50.465,49.42,50.37,5217097.0
2025-06-11,50.67,50.8596,49.37,49.61,6758413.0
