date,Open,High,Low,Close,Volume
2025-10-31,59.38,59.9,58.7,59.52,3580337.0
2025-10-30,60.0,60.4793,59.15,59.72,2385911.0
2025-10-29,62.91,63.26,60.795,61.08,1970902.0
2025-10-28,63.5,63.99,62.71,63.36,2007954.0
2025-10-27,63.19,64.17,63.02,63.78,1919303.0
2025-10-24,63.59,63.65,62.59,62.7,1259622.0
2025-10-23,62.3,63.9268,62.3,63.08,1875371.0
2025-10-22,61.83,62.225,61.0,61.2,1111874.0
2025-10-21,61.36,62.56,61.0,62.15,1481142.0
2025-10-20,61.58,62.501,61.32,61.54,1360070.0
2025-10-17,60.31,61.43,60.23,61.28,1236016.0
2025-10-16,61.18,61.4199,59.46,60.16,1425784.0
2025-10-15,60.92,61.4825,60.1701,60.67,884439.0
2025-10-14,58.85,60.96,58.35,60.54,1464299.0
2025-10-13,59.74,60.51,59.0,60.06,1521062.0
2025-10-10,61.42,61.47,57.94,58.2,1723981.0
2025-10-09,62.78,62.85,60.83,61.04,888274.0
2025-10-08,62.56,62.78,61.77,62.34,981070.0
2025-10-07,63.89,64.22,61.9,62.35,1347290.0
2025-10-06,64.16,64.555,63.43,63.72,1366664.0
2025-10-03,64.23,64.945,63.5466,64.03,1452973.0
2025-10-02,62.2,64.49,62.02,64.37,1648979.0
2025-10-01,62.16,62.8799,61.48,61.96,2020454.0
2025-09-30,62.32,63.08,61.82,63.05,1449241.0
2025-09-29,63.23,63.77,62.26,62.66,1412311.0
2025-09-26,61.8,63.05,61.61,62.71,1382689.0
2025-09-25,63.39,63.87,61.26,61.31,1505365.0
2025-09-24,64.55,65.0,63.75,63.83,866006.0
2025-09-23,64.8,65.716,64.17,64.27,1271281.0
2025-09-22,64.8,65.02,63.915,64.35,1944122.0
2025-09-19,66.54,66.99,64.8,65.11,3138091.0
2025-09-18,66.68,67.38,65.81,66.46,1591710.0
2025-09-17,66.15,68.4,65.42,65.99,1235200.0
