date,Open,High,Low,Close,Volume
2025-10-31,136.61,140.28,136.445,139.57,4636939.0
2025-10-30,135.11,139.58,134.72,136.82,3160171.0
2025-10-29,134.745,137.82,134.0,136.43,3356748.0
2025-10-28,134.85,135.865,133.8327,134.52,2525807.0
2025-10-27,133.69,134.895,133.175,134.46,2325543.0
2025-10-24,134.21,134.5725,132.66,132.68,1251162.0
2025-10-23,130.47,133.25,130.425,133.19,1800664.0
2025-10-22,133.18,133.54,129.885,130.11,1913381.0
2025-10-21,129.975,133.07,129.265,132.17,1779540.0
2025-10-20,130.05,131.11,129.29,130.35,1813730.0
2025-10-17,128.4,129.855,128.01,129.28,1971884.0
2025-10-16,130.94,131.45,128.44,128.89,2430967.0
2025-10-15,131.15,132.4499,128.46,130.27,2636054.0
2025-10-14,126.0,131.315,125.715,129.77,1981462.0
2025-10-13,128.58,129.7271,127.655,128.18,2028893.0
2025-10-10,132.1,132.4,125.89,126.01,2712970.0
2025-10-09,133.445,134.23,130.815,131.53,1851030.0
2025-10-08,132.22,134.035,130.85,132.94,1699023.0
2025-10-07,135.77,135.77,130.89,131.49,2625379.0
2025-10-06,133.2,135.49,132.79,134.77,2218363.0
2025-10-03,133.27,135.8,133.15,134.76,2711943.0
2025-10-02,132.24,133.34,131.23,133.05,2424921.0
2025-10-01,129.95,131.6299,129.57,131.19,1926592.0
2025-09-30,129.26,131.27,128.91,131.18,3589122.0
2025-09-29,129.52,130.12,128.52,129.25,3018197.0
2025-09-26,130.46,131.1,126.55,128.6,6874726.0
2025-09-25,130.08,130.69,129.34,130.11,1746660.0
2025-09-24,132.88,133.24,130.845,131.92,3712625.0
2025-09-23,133.39,133.55,130.67,131.46,2634289.0
2025-09-22,132.47,134.0,131.78,132.84,3109341.0
2025-09-19,132.13,132.66,130.83,132.34,3774162.0
2025-09-18,131.56,132.5484,130.82,131.91,3261535.0
2025-09-17,129.52,132.52,129.2068,131.0,5106950.0
2025-09-16,131.58,132.87,128.0,129.03,6082397.0
2025-09-15,136.01,136.62,134.79,135.66,1770981.0
2025-09-12,137.35,137.54,135.03,135.1,1821862.0
2025-09-11,134.01,137.68,133.15,137.47,2678680.0
2025-09-10,132.66,135.46,132.405,133.67,2499387.0
2025-09-09,132.62,132.79,131.65,132.05,1590377.0
2025-09-08,133.17,133.82,131.65,132.73,2152392.0
2025-09-05,133.58,134.47,130.8009,132.55,3207890.0
2025-09-04,129.95,133.14,129.565,133.1,2958728.0
2025-09-03,131.355,131.355,128.64,129.5,2056298.0
2025-09-02,130.27,131.41,129.08,131.38,2771839.0
2025-08-29,133.72,134.65,131.63,132.0,2345711.0
2025-08-28,134.0,135.09,133.77,134.55,3487815.0
2025-08-27,132.97,133.81,132.55,133.45,2520328.0
2025-08-26,132.35,133.51,132.2354,133.35,3381420.0
2025-08-25,133.78,134.135,132.38,132.38,2123218.0
2025-08-22,130.94,134.545,130.22,133.77,3643527.0
2025-08-21,130.41,131.32,129.9,130.09,3035777.0
2025-08-20,131.24,132.0299,130.15,130.89,2062228.0
2025-08-19,132.0,132.83,130.55,131.59,1714691.0
2025-08-18,131.03,132.34,130.67,131.83,2781915.0
2025-08-15,133.92,133.985,131.44,131.75,3316428.0
2025-08-14,134.26,135.0635,132.8601,134.37,3193373.0
2025-08-13,133.5,135.14,133.0301,135.0,3274222.0
2025-08-12,132.2,133.3642,131.14,132.95,3713846.0
2025-08-11,132.98,133.32,131.73,131.96,2259160.0
2025-08-08,133.21,134.165,131.8,132.74,2443667.0
2025-08-07,135.75,135.985,131.0002,132.83,5119873.0
2025-08-06,130.79,134.39,123.71,133.93,12875834.0
2025-08-05,142.6,143.14,139.37,140.57,5765293.0
2025-08-04,142.49,143.1425,141.61,142.62,4189904.0
2025-08-01,142.11,142.475,139.82,141.78,4078741.0
2025-07-31,146.16,147.25,144.95,145.51,4561759.0
2025-07-30,147.65,147.65,145.23,146.06,3815277.0
2025-07-29,150.0,150.27,146.14,147.61,3428161.0
2025-07-28,149.51,149.83,148.755,149.48,2528643.0
2025-07-25,147.49,149.84,146.59,149.63,2594158.0
2025-07-24,146.78,147.57,146.1917,146.82,3024572.0
2025-07-23,145.54,147.02,145.17,146.88,2996618.0
2025-07-22,143.04,144.94,141.9,144.34,2684507.0
2025-07-21,144.94,144.94,142.86,142.91,1986235.0
2025-07-18,144.97,145.28,143.5,144.23,1918401.0
2025-07-17,141.0,144.56,140.5,144.39,3394393.0
2025-07-16,140.05,140.86,138.43,140.3,3253660.0
2025-07-15,140.84,141.1,139.28,139.69,2311834.0
2025-07-14,139.6,140.07,138.915,139.9,1636155.0
2025-07-11,139.64,140.6207,139.07,140.1,2107746.0
2025-07-10,140.0,142.32,139.59,140.67,2237617.0
2025-07-09,139.7,139.91,138.02,139.8,1939767.0
2025-07-08,138.9,139.65,138.32,138.73,3312537.0
2025-07-07,139.07,139.66,137.5,138.4,5800867.0
2025-07-03,138.11,139.9,137.86,139.76,1475984.0
2025-07-02,135.87,138.12,134.66,137.79,2874574.0
2025-07-01,132.94,135.96,132.6001,135.51,2724815.0
2025-06-30,133.34,133.56,132.47,133.33,2277870.0
2025-06-27,133.41,134.15,132.33,133.17,4286977.0
2025-06-26,130.26,133.005,130.02,132.73,3019425.0
2025-06-25,130.94,130.99,129.03,129.44,2589404.0
2025-06-24,130.29,131.33,129.64,130.73,2723076.0
2025-06-23,128.61,129.565,126.8,129.41,1901243.0
2025-06-20,129.45,129.835,127.85,128.33,5780119.0
2025-06-18,127.17,130.07,127.018,128.66,2429527.0
2025-06-17,128.13,128.87,127.35,127.37,2788013.0
2025-06-16,127.26,128.9285,126.45,128.68,2853704.0
2025-06-13,125.91,126.94,125.25,125.54,3368306.0
2025-06-12,125.44,126.86,124.75,126.72,3605705.0
2025-06-11,126.45,128.0,125.71,126.49,3488625.0
