date,Open,High,Low,Close,Volume
2025-10-31,828.62,852.19,821.9199,846.01,816969.0
2025-10-30,801.39,853.825,801.39,833.16,1065524.0
2025-10-29,812.95,813.962,794.6492,797.73,557089.0
2025-10-28,841.11,842.4199,815.96,816.13,603777.0
2025-10-27,843.0,851.08,834.845,842.77,468534.0
2025-10-24,842.14,847.36,837.05,839.49,367714.0
2025-10-23,830.0,833.89,818.58,831.93,375632.0
2025-10-22,824.655,829.85,817.835,829.05,433025.0
2025-10-21,819.69,823.46,801.01,822.0,384938.0
2025-10-20,817.74,827.7,814.0,825.14,438568.0
2025-10-17,812.77,816.29,806.9901,813.93,350583.0
2025-10-16,824.53,832.15,811.72,812.77,468380.0
2025-10-15,819.78,831.245,816.0,822.24,359451.0
2025-10-14,804.79,822.53,802.965,817.42,502069.0
2025-10-13,802.0,810.415,796.74,806.29,446445.0
2025-10-10,810.0,811.05,795.12,800.6,470494.0
2025-10-09,806.33,808.53,799.5,808.33,324248.0
2025-10-08,787.24,808.15,782.4927,803.62,474943.0
2025-10-07,789.99,790.865,778.955,787.08,286760.0
2025-10-06,779.45,792.33,773.165,789.84,425345.0
2025-10-03,772.59,780.84,770.795,778.74,391912.0
2025-10-02,774.56,777.98,766.289,772.6,442966.0
2025-10-01,781.79,785.9575,772.16,773.95,681693.0
2025-09-30,783.18,785.37,773.625,783.24,589374.0
2025-09-29,794.6,794.6,779.2,781.72,623414.0
2025-09-26,788.26,791.33,781.1,790.34,326181.0
2025-09-25,789.79,792.0,782.04,782.88,337761.0
2025-09-24,798.65,803.22,788.17,789.79,693175.0
2025-09-23,798.0,805.82,794.02,803.28,530182.0
2025-09-22,782.97,801.2,782.67,798.07,513644.0
2025-09-19,791.835,795.999,782.19,791.25,1214695.0
2025-09-18,783.38,791.45,779.325,785.3,463374.0
2025-09-17,784.21,793.85,778.63,778.78,372287.0
2025-09-16,791.19,791.19,771.14,779.31,486293.0
2025-09-15,791.31,798.185,789.175,791.68,509574.0
2025-09-12,797.48,800.38,788.17,788.61,367806.0
2025-09-11,782.16,799.71,782.16,797.48,384431.0
2025-09-10,782.29,801.99,780.44,780.6,488653.0
2025-09-09,763.15,780.58,762.055,779.54,358443.0
2025-09-08,767.93,769.615,759.375,765.51,462226.0
2025-09-05,769.0,777.9699,766.94,773.68,321984.0
2025-09-04,764.8,768.59,757.75,767.93,387314.0
2025-09-03,770.0,770.61,751.29,762.22,572860.0
2025-09-02,777.45,779.62,769.1,771.56,457945.0
2025-08-29,786.22,790.32,783.24,786.19,321946.0
2025-08-28,789.03,790.51,782.22,786.35,336980.0
2025-08-27,783.6,793.86,783.6,790.56,414037.0
2025-08-26,786.92,788.94,775.0,781.79,488379.0
2025-08-25,790.0,790.0,781.9,782.38,349033.0
2025-08-22,779.9,793.0,777.73,786.47,317024.0
2025-08-21,771.26,773.01,765.46,772.19,345185.0
2025-08-20,773.83,782.9899,770.74,776.29,417697.0
2025-08-19,773.56,777.78,767.13,773.46,301396.0
2025-08-18,781.5,785.6899,768.8,769.65,478776.0
2025-08-15,777.89,786.09,774.0,781.31,545077.0
2025-08-14,776.69,778.845,765.0001,775.37,506908.0
2025-08-13,788.0,794.0,782.995,784.0,420488.0
2025-08-12,780.035,787.84,773.645,787.32,337881.0
2025-08-11,772.81,781.91,770.015,776.75,311818.0
2025-08-08,776.38,780.225,765.5,776.2,252817.0
2025-08-07,775.33,780.84,767.52,779.34,325053.0
2025-08-06,780.14,783.16,772.22,773.0,316315.0
2025-08-05,778.5,780.725,773.285,778.94,456740.0
2025-08-04,772.16,780.94,767.21,778.39,538454.0
2025-08-01,784.83,784.83,765.16,771.75,500937.0
2025-07-31,805.66,809.47,783.4643,785.17,935304.0
2025-07-30,811.53,815.0,791.715,797.04,572842.0
2025-07-29,797.29,813.18,795.335,811.13,612876.0
2025-07-28,801.62,805.08,791.72,793.62,578290.0
2025-07-25,791.32,803.4,786.75,801.43,482799.0
2025-07-24,794.05,795.5,785.37,789.54,370730.0
2025-07-23,798.21,801.07,793.425,796.21,429350.0
2025-07-22,789.38,803.85,789.38,800.55,566166.0
2025-07-21,793.0,806.96,787.81,789.19,1003345.0
2025-07-18,781.64,782.48,769.6001,777.78,626123.0
2025-07-17,762.45,776.58,758.94,775.57,435652.0
2025-07-16,763.33,769.54,756.65,765.64,447249.0
2025-07-15,761.26,767.4027,755.9649,759.96,580876.0
2025-07-14,757.55,764.26,756.56,760.2,427997.0
2025-07-11,750.05,759.38,743.875,756.7,587383.0
2025-07-10,776.34,777.769,753.52,758.89,751071.0
2025-07-09,774.86,774.86,760.4,764.71,534810.0
2025-07-08,777.39,781.905,761.27,767.39,668388.0
2025-07-07,789.11,794.16,772.5601,777.12,700807.0
2025-07-03,797.69,797.69,782.785,787.0,539869.0
2025-07-02,794.12,796.965,784.9045,795.15,630971.0
2025-07-01,797.25,800.53,782.9,795.38,971302.0
2025-06-30,792.67,796.4,776.43,795.47,1067124.0
2025-06-27,763.85,792.28,754.01,785.11,2193263.0
2025-06-26,791.04,794.555,710.52,745.53,4005348.0
2025-06-25,904.46,905.37,818.24,824.31,1351993.0
2025-06-24,896.58,910.6,886.1001,906.5,436450.0
2025-06-23,885.64,897.04,883.75,889.98,693038.0
2025-06-20,890.36,894.605,882.02,882.88,788142.0
2025-06-18,883.66,892.78,882.09,886.85,550249.0
2025-06-17,890.33,898.695,883.43,886.76,606659.0
2025-06-16,894.08,900.645,886.84,888.15,543147.0
2025-06-13,892.6,894.3517,883.31,892.64,502461.0
2025-06-12,893.7,902.5,893.49,896.42,493982.0
2025-06-11,905.99,913.1518,893.13,893.7,547537.0
