date,Open,High,Low,Close,Volume
2025-10-31,73.51,74.34,72.74,73.81,3103669.0
2025-10-30,73.5,74.29,73.38,73.8,2358872.0
2025-10-29,74.57,74.715,73.37,73.81,1960839.0
2025-10-28,75.09,75.25,73.38,74.88,2287380.0
2025-10-27,74.17,74.78,73.73,74.71,1680519.0
2025-10-24,73.89,75.05,73.695,74.67,1807266.0
2025-10-23,73.43,74.02,73.0,73.89,2336239.0
2025-10-22,73.21,73.545,72.65,73.12,2771786.0
2025-10-21,74.14,74.19,72.91,73.21,2544329.0
2025-10-20,73.05,73.36,72.14,72.85,2344437.0
2025-10-17,71.9,72.57,71.52,72.56,2843508.0
2025-10-16,72.14,72.67,71.19,71.36,2116204.0
2025-10-15,71.1,72.48,70.71,72.24,2094346.0
2025-10-14,70.8,71.3,70.335,70.59,2986805.0
2025-10-13,71.55,72.08,70.595,70.97,2970784.0
2025-10-10,72.74,72.82,71.92,72.35,1459101.0
2025-10-09,73.5,73.51,72.33,72.39,1770997.0
2025-10-08,73.13,74.455,72.64,73.49,2916598.0
2025-10-07,72.91,73.07,72.01,72.84,3379917.0
2025-10-06,72.82,73.17,72.495,72.7,2719549.0
2025-10-03,72.0,73.48,71.8601,72.53,2659160.0
2025-10-02,71.06,71.96,71.02,71.79,2994272.0
2025-10-01,71.62,71.99,71.17,71.6,3625043.0
2025-09-30,70.52,71.17,70.06,71.14,2599164.0
2025-09-29,69.85,70.645,69.47,70.53,2462548.0
2025-09-26,68.83,69.97,68.59,69.77,3139238.0
2025-09-25,68.71,69.52,68.43,68.5,3175517.0
2025-09-24,69.44,69.64,68.88,69.1,3835422.0
2025-09-23,67.6,69.47,67.435,69.42,3831174.0
2025-09-22,66.0,68.61,65.4,67.66,6796760.0
2025-09-19,64.405,69.47,63.69,67.0,13698208.0
2025-09-18,63.0,64.15,62.89,63.88,3176749.0
2025-09-17,63.96,64.18,63.23,63.3,2604107.0
2025-09-16,65.39,65.45,63.36,63.42,2994706.0
2025-09-15,65.8,66.24,65.39,65.52,2869694.0
2025-09-12,64.79,65.835,64.6,65.7,2169037.0
2025-09-11,64.01,65.095,63.57,65.05,2725542.0
2025-09-10,64.015,64.235,63.535,64.01,3130291.0
2025-09-09,62.87,64.5,62.63,63.88,3149343.0
2025-09-08,63.47,63.72,62.45,62.86,2591023.0
2025-09-05,63.57,63.7738,62.95,63.53,1653359.0
