date,Open,High,Low,Close,Volume
2025-10-31,386.02,393.59,379.22,381.56,2407267.0
2025-10-30,384.49,390.11,379.26,383.09,3112798.0
2025-10-29,376.88,390.0,376.282,387.75,2245001.0
2025-10-28,379.86,381.06,373.43,376.01,1551358.0
2025-10-27,381.0,381.0,376.53,379.74,1772600.0
2025-10-24,379.14,381.31,376.115,376.29,1650410.0
2025-10-23,361.36,373.82,361.36,372.4,1601613.0
2025-10-22,378.09,379.58,353.555,360.6,4029365.0
2025-10-21,377.64,378.46,371.435,373.46,2335107.0
2025-10-20,375.62,379.0189,374.6,377.69,1331657.0
2025-10-17,373.4,379.01,370.2601,373.3,1733043.0
2025-10-16,385.89,386.67,372.1515,375.59,1597471.0
2025-10-15,379.74,385.96,375.4,381.72,1589473.0
2025-10-14,368.73,379.15,364.36,374.35,1669488.0
2025-10-13,374.73,379.19,372.8328,375.37,2090196.0
2025-10-10,379.36,387.62,369.08,369.08,2164700.0
2025-10-09,381.575,381.87,373.29,377.19,1723584.0
2025-10-08,372.63,378.94,370.22,376.7,2168576.0
2025-10-07,382.0,384.86,367.49,370.94,2321869.0
2025-10-06,380.0,385.6724,377.56,380.02,1852186.0
2025-10-03,377.8,378.04,371.61,373.46,1372536.0
2025-10-02,376.07,381.58,370.8,376.76,1778006.0
2025-10-01,369.66,378.03,369.09,373.84,1590582.0
2025-09-30,366.45,374.99,366.45,374.25,1805959.0
2025-09-29,370.01,370.98,367.02,367.15,1466252.0
2025-09-26,365.01,366.51,360.265,365.58,1625419.0
2025-09-25,366.86,368.16,360.34,364.74,2029278.0
2025-09-24,369.82,373.62,368.215,372.21,2290761.0
2025-09-23,381.76,382.0,366.06,368.52,2776645.0
2025-09-22,374.08,382.92,371.92,378.31,2399700.0
2025-09-19,373.6,375.36,369.98,374.5,3483273.0
2025-09-18,366.98,374.06,364.45,371.27,1857903.0
2025-09-17,370.59,371.455,359.28,363.35,3481432.0
2025-09-16,378.0,378.98,369.65,371.19,2251110.0
2025-09-15,370.02,378.16,369.19,375.54,3031539.0
2025-09-12,359.93,367.68,358.78,365.9,3108477.0
2025-09-11,363.68,365.3071,359.38,360.08,2253528.0
2025-09-10,359.59,365.43,357.0,362.25,3483952.0
2025-09-09,349.94,350.27,343.64,348.23,1763305.0
2025-09-08,350.0,352.58,347.765,349.49,1631966.0
2025-09-05,350.47,351.28,342.27,349.03,2120796.0
2025-09-04,344.22,348.27,341.61,348.22,1859362.0
2025-09-03,345.78,346.065,339.66,342.99,1485239.0
2025-09-02,343.13,344.6,339.89,343.75,2464064.0
2025-08-29,354.95,356.52,345.27,349.14,2386266.0
2025-08-28,353.66,357.155,352.67,355.34,1773137.0
2025-08-27,350.96,353.6774,350.0,351.4,1434520.0
2025-08-26,346.3,353.13,345.71,352.02,1995011.0
2025-08-25,349.31,350.13,345.72,345.76,1251552.0
2025-08-22,346.695,353.08,345.1,347.61,1965142.0
2025-08-21,345.19,348.61,344.29,345.38,1455380.0
2025-08-20,344.04,347.56,339.26,346.22,2454668.0
2025-08-19,352.72,353.5,347.235,349.0,1870499.0
2025-08-18,349.87,354.05,348.7085,353.5,1158547.0
2025-08-15,355.0,355.0,350.27,351.03,1899900.0
2025-08-14,353.63,358.6856,352.03,355.1,1895618.0
2025-08-13,364.2,365.2,351.78,357.49,2751572.0
2025-08-12,361.69,363.605,358.84,363.3,2489104.0
2025-08-11,362.4,363.245,358.01,360.11,2850167.0
2025-08-08,362.0,364.12,359.4,362.84,2139604.0
2025-08-07,360.0,361.285,354.0001,360.16,3058114.0
2025-08-06,358.6,362.67,354.33,358.16,4507528.0
2025-08-05,360.94,363.79,353.7,356.45,7068161.0
2025-08-04,383.71,386.525,382.61,384.76,2741928.0
2025-08-01,374.51,382.995,373.0501,381.29,2417151.0
2025-07-31,390.13,396.28,384.12,384.72,2900027.0
2025-07-30,392.09,393.85,387.26,390.09,2727033.0
2025-07-29,394.26,395.62,387.055,390.01,1777147.0
2025-07-28,399.56,399.56,391.52,392.76,2334879.0
2025-07-25,388.0,393.07,387.8,392.17,2107366.0
2025-07-24,382.0,386.17,380.24,384.9,1658976.0
2025-07-23,376.5,382.2,375.85,380.24,2355350.0
2025-07-22,372.1,373.86,365.0,372.65,1805263.0
2025-07-21,379.7,379.9,373.565,373.66,2445239.0
2025-07-18,382.73,384.51,378.0,378.62,2941050.0
2025-07-17,375.87,380.81,374.955,380.72,3687448.0
2025-07-16,362.12,364.305,356.7207,362.89,1756478.0
2025-07-15,369.745,371.14,361.5054,362.11,2062119.0
2025-07-14,358.79,361.155,357.1,360.29,1179749.0
