date,Open,High,Low,Close,Volume
2025-10-31,77.42,77.42,76.66,76.81,2907007.0
2025-10-30,77.15,77.895,76.94,77.75,4578803.0
2025-10-29,77.51,77.77,76.83,76.94,1752557.0
2025-10-28,78.73,78.73,77.46,77.68,1458070.0
2025-10-27,78.02,78.405,77.4,78.31,1326460.0
2025-10-24,78.12,78.75,77.85,77.96,1600643.0
2025-10-23,78.88,78.92,77.56,77.89,1192940.0
2025-10-22,78.33,79.14,78.14,78.73,1691672.0
2025-10-21,78.65,78.8,77.675,78.12,1253142.0
2025-10-20,78.35,78.77,77.895,78.65,2824552.0
2025-10-17,77.77,78.045,77.23,77.98,1522509.0
2025-10-16,78.94,79.32,77.41,77.5,2073964.0
2025-10-15,78.2,78.89,78.01,78.65,2024329.0
2025-10-14,77.71,78.33,77.5,78.09,1456430.0
2025-10-13,77.52,78.0,77.04,77.49,1644366.0
2025-10-10,76.84,77.845,76.68,77.47,1590620.0
2025-10-09,78.38,78.56,76.625,76.69,2416434.0
2025-10-08,77.98,77.98,77.24,77.83,2860504.0
2025-10-07,77.65,78.18,77.44,77.69,1518383.0
2025-10-06,76.64,77.71,76.63,77.48,2480866.0
2025-10-03,76.1,77.46,76.1,76.62,2723127.0
2025-10-02,75.75,76.1,75.36,76.09,1725419.0
2025-10-01,76.0,76.46,75.51,76.23,1754054.0
2025-09-30,74.93,76.18,74.93,76.02,2237425.0
2025-09-29,74.26,75.08,73.67,75.06,2459001.0
2025-09-26,73.78,74.39,73.24,74.07,2182158.0
2025-09-25,74.0,74.57,73.45,73.51,3988064.0
2025-09-24,73.35,73.76,73.04,73.71,1864215.0
2025-09-23,72.0,73.548,71.82,73.29,3524011.0
2025-09-22,72.2,72.42,71.435,72.22,2022786.0
2025-09-19,71.66,72.605,71.33,72.29,2782613.0
2025-09-18,71.36,72.08,71.2,71.28,2379736.0
2025-09-17,71.61,72.12,71.515,71.76,2133500.0
2025-09-16,72.02,72.11,71.29,71.35,2022655.0
2025-09-15,72.47,72.63,72.155,72.21,1624628.0
2025-09-12,72.3,72.73,72.205,72.52,1206829.0
2025-09-11,71.74,72.34,71.36,72.3,2090161.0
2025-09-10,71.23,71.73,71.0,71.61,1588020.0
2025-09-09,70.42,71.41,70.42,71.1,1511245.0
2025-09-08,71.85,71.85,70.42,70.77,2212826.0
2025-09-05,71.78,71.94,71.295,71.6,2182774.0
2025-09-04,71.85,72.07,70.865,71.58,3794401.0
2025-09-03,70.96,71.48,70.7,71.39,2821481.0
2025-09-02,71.0,71.5,70.77,71.27,1504696.0
2025-08-29,71.21,71.72,71.095,71.26,1218439.0
2025-08-28,72.06,72.18,71.12,71.21,1664784.0
2025-08-27,71.74,72.245,71.635,72.06,1751308.0
2025-08-26,71.68,71.98,71.31,71.76,2951163.0
2025-08-25,72.17,72.17,71.63,71.65,1234264.0
2025-08-22,72.22,72.58,71.94,72.3,1117008.0
2025-08-21,72.51,72.77,72.25,72.54,1816861.0
2025-08-20,72.88,73.395,72.52,72.6,1586708.0
2025-08-19,71.55,72.55,71.55,72.5,1227992.0
