date,Open,High,Low,Close,Volume
2025-10-31,119.35,122.79,118.94,121.9,1580691.0
2025-10-30,119.1,121.7,118.575,120.19,1225440.0
2025-10-29,119.48,119.78,117.45,117.57,873497.0
2025-10-28,120.33,121.27,119.21,119.4,881675.0
2025-10-27,118.73,119.77,117.69,119.65,931980.0
2025-10-24,119.27,119.27,117.66,117.81,604361.0
2025-10-23,117.72,118.96,116.84,118.47,770197.0
2025-10-22,120.46,121.39,118.48,118.61,1032080.0
2025-10-21,120.27,121.92,120.17,121.03,523758.0
2025-10-20,120.12,121.3,120.04,120.44,633058.0
2025-10-17,118.14,120.2483,117.9701,119.92,755081.0
2025-10-16,118.99,119.49,116.87,118.25,881999.0
2025-10-15,117.68,118.14,116.77,117.35,1085024.0
2025-10-14,113.89,118.0775,113.17,117.39,1511294.0
2025-10-13,113.42,114.49,113.06,113.97,920145.0
2025-10-10,116.25,117.23,112.945,113.13,1707208.0
2025-10-09,119.85,120.35,116.08,116.22,1456352.0
2025-10-08,122.11,122.295,119.44,120.75,1385656.0
2025-10-07,123.68,124.15,122.08,122.28,814777.0
2025-10-06,123.27,124.05,122.765,123.67,783143.0
2025-10-03,123.07,125.31,123.07,123.52,753824.0
2025-10-02,121.46,123.35,121.445,123.06,725215.0
2025-10-01,122.35,122.72,121.12,121.53,1182809.0
2025-09-30,122.25,122.715,120.94,122.59,1502797.0
2025-09-29,122.56,123.14,120.78,122.76,1131223.0
2025-09-26,121.52,122.85,120.96,121.84,910150.0
2025-09-25,120.63,121.545,120.21,121.23,818766.0
2025-09-24,121.0,122.4,120.521,120.98,1151812.0
2025-09-23,119.45,121.51,119.45,121.13,929977.0
2025-09-22,120.15,120.4,118.84,119.48,1374481.0
2025-09-19,122.09,123.07,119.189,120.15,3417703.0
2025-09-18,125.14,125.98,122.88,124.05,1329774.0
2025-09-17,124.9,127.16,124.08,124.95,1121540.0
2025-09-16,124.32,125.565,124.125,124.8,817181.0
2025-09-15,123.87,125.11,123.275,124.18,816158.0
2025-09-12,122.78,124.025,122.46,123.51,1058851.0
2025-09-11,121.28,123.98,120.8,123.35,1056579.0
2025-09-10,120.31,122.01,119.77,121.34,1398012.0
2025-09-09,121.3,121.74,120.5,120.96,1009987.0
2025-09-08,120.88,121.885,119.77,121.72,1750102.0
2025-09-05,121.92,123.13,120.4818,120.91,1061616.0
2025-09-04,120.86,121.71,119.38,121.64,755584.0
2025-09-03,120.81,121.45,119.64,120.4,1160972.0
2025-09-02,119.38,120.88,119.275,120.85,1342525.0
2025-08-29,121.32,122.12,120.24,120.54,895904.0
2025-08-28,122.39,122.4999,120.12,121.28,811454.0
2025-08-27,121.23,122.41,120.99,122.33,1231452.0
2025-08-26,120.15,122.01,119.89,121.6,2373266.0
2025-08-25,119.72,120.45,119.01,120.35,1028785.0
