date,Open,High,Low,Close,Volume
2025-10-31,133.82,135.235,133.02,133.54,2550805.0
2025-10-30,137.59,139.0,130.67,134.8,3030767.0
2025-10-29,145.3,146.53,141.53,141.76,1228473.0
2025-10-28,149.57,149.57,146.74,146.92,685651.0
2025-10-27,149.84,150.31,148.945,149.51,889766.0
2025-10-24,152.06,152.64,150.215,150.26,604123.0
2025-10-23,152.77,152.77,149.48,150.81,575518.0
2025-10-22,150.445,152.55,150.22,152.09,715715.0
2025-10-21,151.73,152.09,150.31,150.55,789301.0
2025-10-20,152.37,153.46,150.43,151.47,742325.0
2025-10-17,151.8,152.605,150.41,151.54,1191205.0
2025-10-16,149.69,152.94,149.075,152.0,961056.0
2025-10-15,148.75,152.05,148.44,149.19,1161276.0
2025-10-14,145.44,148.65,144.725,147.84,1284337.0
2025-10-13,142.34,145.25,142.25,145.02,1162740.0
2025-10-10,143.0,144.77,141.68,141.98,1040388.0
2025-10-09,142.59,143.9,141.935,143.08,859792.0
2025-10-08,141.58,143.11,141.17,142.41,1064523.0
2025-10-07,141.21,143.06,140.59,142.87,973174.0
2025-10-06,143.13,143.355,140.95,141.58,1145239.0
2025-10-03,142.5,144.2,141.82,142.82,812438.0
2025-10-02,141.03,141.8,140.2425,141.47,922492.0
2025-10-01,141.58,142.095,140.54,141.13,889560.0
2025-09-30,141.73,141.88,139.51,140.94,827995.0
2025-09-29,139.71,141.46,138.9,141.45,1099457.0
2025-09-26,138.2,140.73,137.93,139.83,896151.0
2025-09-25,137.67,138.78,137.28,137.71,800307.0
2025-09-24,138.27,139.04,137.375,137.66,797375.0
2025-09-23,138.49,139.5,138.185,138.55,1113297.0
2025-09-22,140.2,140.2,138.57,138.6,884265.0
2025-09-19,142.31,143.09,139.28,139.32,2182108.0
2025-09-18,142.84,143.73,142.0101,142.69,875212.0
2025-09-17,144.01,145.84,142.66,143.18,738130.0
2025-09-16,143.36,144.35,142.72,143.42,981596.0
2025-09-15,146.455,147.15,143.58,143.73,892922.0
2025-09-12,148.31,149.31,147.06,147.15,1176659.0
2025-09-11,145.04,148.56,145.01,148.31,959091.0
2025-09-10,145.0,145.6,144.58,145.0,944947.0
2025-09-09,146.09,146.98,143.915,144.88,1206036.0
2025-09-08,145.17,147.15,144.11,147.02,1434148.0
2025-09-05,144.98,148.0022,144.69,147.28,1229017.0
2025-09-04,144.17,144.31,141.9612,143.84,1435490.0
2025-09-03,140.64,143.2,140.56,143.2,925760.0
2025-09-02,142.1,142.63,140.47,140.86,1185746.0
2025-08-29,142.37,143.78,142.36,143.58,857381.0
2025-08-28,141.78,142.42,141.23,142.32,648963.0
2025-08-27,141.86,142.46,140.11,141.57,1086812.0
2025-08-26,141.94,142.28,140.02,140.56,1295954.0
2025-08-25,142.3,142.99,140.08,140.19,562126.0
2025-08-22,139.88,144.28,139.335,142.75,940484.0
2025-08-21,138.26,139.77,138.26,139.03,725874.0
2025-08-20,140.39,141.69,139.55,139.64,1085297.0
2025-08-19,137.57,139.64,137.51,139.46,912397.0
2025-08-18,136.98,137.225,136.2199,136.86,1217100.0
2025-08-15,137.25,137.56,135.7001,137.05,1194971.0
2025-08-14,137.09,137.18,135.37,136.63,1475693.0
2025-08-13,136.02,138.355,135.4,138.21,1183322.0
2025-08-12,135.88,136.7,134.86,135.54,1049619.0
2025-08-11,136.095,136.73,134.86,135.23,1321667.0
2025-08-08,138.65,139.05,136.12,136.36,839473.0
2025-08-07,138.64,138.775,136.6,138.29,828461.0
2025-08-06,139.14,139.34,137.795,138.05,1106579.0
2025-08-05,138.66,139.18,136.92,138.61,1484267.0
2025-08-04,138.38,139.9899,137.97,138.06,1309628.0
2025-08-01,137.24,140.32,135.45,139.3,3193450.0
2025-07-31,144.385,144.47,134.36,134.36,4363462.0
2025-07-30,152.03,152.9,148.67,149.34,1423761.0
2025-07-29,149.32,151.96,148.1084,151.91,1125622.0
2025-07-28,150.02,150.68,148.19,148.31,939062.0
2025-07-25,150.67,151.96,149.02,150.86,866681.0
2025-07-24,150.27,151.1,149.29,150.51,889537.0
2025-07-23,151.01,151.74,150.0,150.98,908064.0
2025-07-22,148.08,151.45,147.31,151.33,689368.0
2025-07-21,148.62,149.31,147.58,147.8,1146327.0
2025-07-18,147.08,148.16,145.94,148.11,761317.0
2025-07-17,148.83,149.93,146.68,147.27,1231150.0
2025-07-16,148.43,149.13,147.0,148.95,1041223.0
2025-07-15,150.15,151.1,147.88,147.95,1488956.0
2025-07-14,149.62,150.98,149.42,150.45,1078377.0
2025-07-11,148.75,150.6,147.44,150.24,1142663.0
2025-07-10,148.39,151.02,147.84,148.82,1052859.0
2025-07-09,149.93,150.55,148.3,148.71,798446.0
2025-07-08,147.8,150.61,147.8,149.83,998931.0
2025-07-07,152.9,154.0,148.475,148.99,1225546.0
2025-07-03,152.96,153.41,151.26,152.88,835966.0
2025-07-02,150.19,152.115,149.95,151.78,1326110.0
2025-07-01,147.38,152.23,147.26,150.5,1598435.0
2025-06-30,145.76,147.57,142.7,147.44,1396185.0
2025-06-27,146.0,148.01,145.27,145.86,1431465.0
2025-06-26,145.88,146.12,143.7425,145.65,1328433.0
2025-06-25,147.81,148.84,145.08,145.44,1051357.0
2025-06-24,148.47,149.3,146.46,148.53,1224407.0
2025-06-23,146.51,149.245,146.44,148.97,993295.0
2025-06-20,146.47,148.19,145.89,146.07,2164127.0
2025-06-18,148.19,148.34,146.29,146.45,948239.0
2025-06-17,148.67,149.48,146.92,147.89,635854.0
2025-06-16,148.68,150.66,148.06,148.97,874486.0
2025-06-13,149.03,150.06,148.17,149.6,945917.0
2025-06-12,150.44,151.31,149.595,150.51,812626.0
2025-06-11,152.25,152.9515,149.72,150.27,789169.0
