date,Open,High,Low,Close,Volume
2025-10-31,42.03,42.04,41.99,41.9947,3281.0
2025-10-30,41.93,41.94,41.8801,41.8801,270.0
2025-10-29,42.08,42.08,41.9617,41.9617,1672.0
2025-10-28,41.881,41.9784,41.88,41.9784,1148.0
2025-10-27,41.801,41.9005,41.801,41.8885,680.0
2025-10-24,41.69,41.69,41.69,41.69,159.0
2025-10-23,41.5,41.5528,41.5,41.5528,163.0
2025-10-22,41.4399,41.4399,41.4351,41.4351,219.0
2025-10-21,41.37,41.4258,41.37,41.4258,586.0
2025-10-20,41.3804,41.4239,41.3804,41.4239,706.0
2025-10-17,41.2,41.2,41.19,41.19,1496.0
2025-10-16,41.16,41.16,41.08,41.08,3720.0
2025-10-15,41.1849,41.1849,41.1849,41.1849,332.0
2025-10-14,41.1293,41.1293,41.1293,41.1293,258.0
2025-10-13,41.06,41.25,41.06,41.1784,2854.0
2025-10-10,41.46,41.46,40.934,40.934,2854.0
2025-10-09,41.47,41.56,41.47,41.5085,2978.0
2025-10-08,41.48,41.57,41.43,41.455,743.0
2025-10-07,41.4815,41.4815,41.3594,41.3594,1856.0
2025-10-06,41.4536,41.472,41.4,41.4162,1549.0
2025-10-03,41.42,41.465,40.98,41.38,25220.0
2025-10-02,41.78,41.78,41.38,41.38,8818.0
2025-10-01,41.37,41.52,41.26,41.4,29815.0
2025-09-30,41.3557,41.3557,41.3557,41.3557,230.0
2025-09-29,41.94,41.94,41.28,41.28,568.0
2025-09-26,41.36,41.79,41.3,41.3477,1533.0
2025-09-25,41.3,41.3,41.2,41.2,1056.0
2025-09-24,41.41,41.41,41.2801,41.2801,224.0
2025-09-23,41.4011,41.465,41.4,41.4539,643.0
2025-09-22,41.4,41.5,41.4,41.4844,788.0
2025-09-19,41.32,41.42,41.32,41.4057,3028.0
2025-09-18,41.4,41.4,41.29,41.29,6177.0
2025-09-17,41.28,41.28,41.24,41.24,422.0
2025-09-16,41.42,41.42,41.25,41.255,3150.0
2025-09-15,41.43,41.43,41.31,41.31,3696.0
2025-09-12,41.42,41.42,41.27,41.27,1093.0
2025-09-11,41.24,41.39,41.24,41.335,2021.0
2025-09-10,41.26,41.65,41.0993,41.0993,5745.0
2025-09-09,41.185,41.185,41.1192,41.1192,424.0
2025-09-08,41.2,41.23,40.92,41.2,1854.0
2025-09-05,41.15,41.15,41.15,41.15,1097.0
2025-09-04,41.02,41.12,41.01,41.06,17395.0
2025-09-03,40.95,41.02,40.92,40.95,9368.0
2025-09-02,40.96,40.96,40.75,40.9411,1429.0
2025-08-29,40.93,40.97,40.8,40.8,9929.0
2025-08-28,40.84,41.01,40.84,40.927,3189.0
2025-08-27,40.94,41.35,40.826,40.85,5960.0
2025-08-26,40.92,41.02,40.92,40.92,5386.0
2025-08-25,40.86,41.0,40.86,40.89,4900.0
2025-08-22,40.87,40.9599,40.7,40.8759,9345.0
2025-08-21,40.82,40.82,40.6,40.6,2747.0
2025-08-20,40.76,40.77,40.7256,40.7256,4895.0
2025-08-19,40.86,40.87,40.7699,40.7758,17961.0
2025-08-18,41.16,41.16,40.735,40.735,9303.0
2025-08-15,40.86,40.86,40.7905,40.7905,7690.0
2025-08-14,40.86,40.86,40.78,40.79,15186.0
2025-08-13,40.985,40.985,40.85,40.85,15581.0
2025-08-12,40.855,40.95,40.74,40.94,18901.0
2025-08-11,40.7085,40.75,40.66,40.7162,1023.0
2025-08-08,40.68,40.74,40.3,40.3,9291.0
2025-08-07,40.52,40.59,40.52,40.5444,548.0
2025-08-06,40.48,40.588,40.48,40.52,2375.0
2025-08-05,40.42,40.43,40.42,40.43,1270.0
2025-08-04,40.48,40.58,40.4301,40.5496,2264.0
2025-08-01,40.54,40.55,40.2638,40.2638,1407.0
2025-07-31,40.68,40.68,40.5667,40.5667,778.0
2025-07-30,40.63,40.64,40.5,40.5,969.0
2025-07-29,40.63,40.63,40.53,40.53,1442.0
2025-07-28,40.66,40.66,40.56,40.56,1657.0
2025-07-25,40.605,40.605,40.41,40.56,5606.0
2025-07-24,40.6232,40.6232,40.5894,40.5894,566.0
2025-07-23,40.62,40.94,40.55,40.575,1114.0
2025-07-22,40.75,40.75,40.41,40.5,3155.0
2025-07-21,40.63,40.92,40.41,40.41,2243.0
2025-07-18,40.52,40.53,40.4716,40.4716,14856.0
2025-07-17,40.444,40.5294,40.444,40.5126,1955.0
2025-07-16,40.48,40.5,40.39,40.4576,97637.0
2025-07-15,40.49,40.49,40.36,40.36,2484.0
2025-07-14,40.49,40.49,40.44,40.4422,2195.0
2025-07-11,40.47,40.51,40.4334,40.4552,3718.0
2025-07-10,40.49,40.49,40.4764,40.4764,224.0
2025-07-09,40.5,40.6,40.38,40.4448,11538.0
2025-07-08,40.48,40.51,40.4101,40.4101,3169.0
2025-07-07,40.57,40.57,40.46,40.55,93117.0
2025-07-03,40.48,40.57,40.44,40.5144,4419.0
2025-07-02,40.311,40.36,40.24,40.25,50303.0
2025-07-01,40.362,41.405,40.32,40.3937,11318.0
2025-06-30,40.45,40.57,40.3,40.4744,28714.0
2025-06-27,40.15,40.3699,40.15,40.2489,11311.0
2025-06-26,40.14,40.19,39.91,39.91,36658.0
