date,Open,High,Low,Close,Volume
2025-10-31,247.95,255.53,247.505,253.82,1642656.0
2025-10-30,249.06,252.69,248.11,248.93,1767809.0
2025-10-29,249.05,252.62,248.0,249.64,1488684.0
2025-10-28,251.0,254.0,249.4,249.55,1792170.0
2025-10-27,244.77,248.47,244.3,247.34,1586195.0
2025-10-24,239.69,242.23,238.44,241.15,1105312.0
2025-10-23,240.17,241.41,234.53,238.17,1311745.0
2025-10-22,243.67,245.2,239.2,239.41,1092503.0
2025-10-21,238.9,246.23,238.3732,242.84,1142357.0
2025-10-20,238.18,241.595,237.77,239.81,893342.0
2025-10-17,236.91,239.9,236.06,237.8,1591977.0
2025-10-16,237.0,239.0,233.0,236.91,1414553.0
2025-10-15,235.49,237.47,231.32,235.8,1453614.0
2025-10-14,228.0,235.1,227.01,234.67,1228021.0
2025-10-13,227.16,230.74,226.13,229.65,1351237.0
2025-10-10,238.51,238.65,224.61,224.63,2436205.0
2025-10-09,241.51,242.6,235.72,237.0,1254742.0
2025-10-08,238.19,242.355,237.0,239.93,1636842.0
2025-10-07,247.68,248.8727,242.22,242.33,1377713.0
2025-10-06,244.745,250.09,243.61,247.03,2034365.0
2025-10-03,243.08,245.66,242.7601,244.61,1739409.0
2025-10-02,239.83,245.38,239.0,242.32,1761414.0
2025-10-01,235.01,240.25,234.3,239.55,1432684.0
2025-09-30,235.03,235.92,231.9,235.81,1444254.0
2025-09-29,239.04,239.42,234.35,236.58,1304493.0
2025-09-26,237.0,242.0,234.63,237.82,2298259.0
2025-09-25,233.35,236.72,232.5,236.42,1768841.0
2025-09-24,233.25,235.88,233.2324,233.75,1687201.0
2025-09-23,230.66,235.825,230.4,233.7,2879694.0
2025-09-22,230.01,231.0,225.45,230.12,3850551.0
2025-09-19,228.3,235.3199,225.2398,231.75,8388380.0
2025-09-18,227.88,229.1,224.7759,226.5,6374121.0
2025-09-17,225.52,232.87,224.37,225.78,3123345.0
2025-09-16,228.79,230.0,225.84,227.7,1833680.0
2025-09-15,231.72,232.59,225.66,225.69,2151461.0
2025-09-12,227.26,230.95,226.99,229.55,1688913.0
2025-09-11,222.32,230.3125,222.32,228.81,1931709.0
2025-09-10,225.645,228.0,224.53,225.69,1446398.0
2025-09-09,224.46,226.611,224.0,225.75,1192865.0
2025-09-08,226.99,226.99,222.06,225.0,2092717.0
2025-09-05,224.46,229.6592,224.36,227.72,1665542.0
2025-09-04,225.69,225.69,221.31,225.28,1773926.0
2025-09-03,225.0,226.1,223.51,225.34,1680451.0
2025-09-02,225.99,227.1999,222.84,224.18,2077323.0
2025-08-29,231.54,233.16,229.97,231.07,1485522.0
2025-08-28,232.99,232.99,228.0301,231.27,1400480.0
2025-08-27,230.83,232.86,230.21,232.21,1083953.0
2025-08-26,232.5,232.83,229.96,231.1,1743812.0
2025-08-25,235.92,237.0,231.59,233.0,1470405.0
2025-08-22,226.775,238.09,226.775,236.8,1750364.0
2025-08-21,226.31,227.3,224.69,225.28,1431846.0
2025-08-20,232.115,233.4304,227.13,227.21,1285083.0
2025-08-19,229.36,234.6,228.705,233.13,1409797.0
2025-08-18,225.28,228.4576,223.7525,227.72,1317998.0
2025-08-15,231.44,232.11,227.1,227.26,1798722.0
2025-08-14,228.42,233.35,227.05,231.07,1617204.0
2025-08-13,230.0,230.73,220.0,230.5,3386999.0
2025-08-12,227.01,233.57,226.05,230.42,1921125.0
2025-08-11,228.54,231.4,222.21,224.61,1522397.0
2025-08-08,226.02,228.67,222.42,228.05,1325116.0
2025-08-07,228.75,230.0,224.11,224.66,1454640.0
2025-08-06,223.42,227.85,221.645,226.45,2130714.0
2025-08-05,217.62,223.15,216.7,222.41,1972867.0
2025-08-04,218.0,218.5,216.095,217.49,1819851.0
2025-08-01,221.83,221.84,216.14,217.1,2213877.0
2025-07-31,222.66,225.07,220.98,223.49,2296579.0
2025-07-30,233.44,234.0,222.28,223.86,3617327.0
2025-07-29,240.28,241.65,234.25,234.54,2068886.0
2025-07-28,240.37,244.4,239.445,242.41,1624527.0
2025-07-25,238.2,243.64,237.535,243.2,1812785.0
2025-07-24,237.5,239.39,236.3159,236.51,2079819.0
2025-07-23,233.2,239.72,231.48,237.9,2255100.0
2025-07-22,226.53,232.15,226.23,231.7,1833600.0
2025-07-21,227.38,228.6761,225.665,225.73,1149808.0
2025-07-18,229.4,229.73,224.73,226.62,1776872.0
2025-07-17,229.0,230.2,226.395,228.37,1328928.0
2025-07-16,231.6,232.711,226.72,228.75,1906491.0
2025-07-15,233.99,234.77,230.66,230.66,1720309.0
2025-07-14,235.22,235.6,231.64,233.98,1433186.0
2025-07-11,237.13,237.52,234.57,236.06,1667418.0
2025-07-10,236.88,240.36,236.6222,238.73,1940500.0
2025-07-09,238.88,239.21,236.155,236.51,1938385.0
2025-07-08,235.83,239.9,235.0,238.71,1960342.0
2025-07-07,240.5,242.3,234.5,235.09,2609727.0
2025-07-03,243.75,245.76,240.12,241.23,2410389.0
2025-07-02,235.59,239.48,234.5,239.14,2495809.0
2025-07-01,226.4,237.3,226.195,234.33,2720962.0
2025-06-30,228.745,230.66,227.065,227.31,2599821.0
2025-06-27,222.67,229.43,222.19,228.91,4052904.0
2025-06-26,223.92,226.32,219.795,221.07,4787145.0
2025-06-25,218.58,225.97,216.16,222.0,8103708.0
2025-06-24,232.4,232.6938,228.53,229.51,4670573.0
2025-06-23,223.8,229.29,223.74,229.23,2044954.0
2025-06-20,225.44,227.0,224.1911,226.04,2248442.0
2025-06-18,222.49,226.0,222.29,223.3,1518172.0
2025-06-17,225.12,226.54,221.68,222.53,1779237.0
