date,Open,High,Low,Close,Volume
2025-10-31,256.02,257.67,252.49,253.05,1006496.0
2025-10-30,257.27,261.455,256.01,256.69,936825.0
2025-10-29,267.0,267.05,257.5,258.76,1294328.0
2025-10-28,262.35,276.19,261.5,267.58,2755007.0
2025-10-27,303.6,304.61,288.7,290.41,1878177.0
2025-10-24,305.35,305.35,298.24,298.34,458579.0
2025-10-23,297.63,303.29,297.63,301.86,660519.0
2025-10-22,300.01,300.98,294.2088,297.835,589741.0
2025-10-21,296.5,300.22,294.0,299.21,930225.0
2025-10-20,300.13,302.0,295.03,296.5,842953.0
2025-10-17,295.01,302.72,292.5192,300.9,2254553.0
2025-10-16,324.68,325.525,287.5312,295.35,3040112.0
2025-10-15,341.42,343.17,322.63,330.75,1449187.0
2025-10-14,336.88,345.47,335.12,343.17,746151.0
2025-10-13,343.33,343.33,334.92,340.64,646685.0
2025-10-10,344.46,346.0,331.39,331.75,334954.0
2025-10-09,342.58,342.64,334.62,342.35,354423.0
2025-10-08,333.38,343.84,332.15,342.58,704667.0
2025-10-07,331.22,334.5,325.8501,330.76,1316442.0
2025-10-06,325.88,333.0,325.695,329.0,280017.0
2025-10-03,327.37,330.882,324.84,324.98,236057.0
2025-10-02,328.05,329.06,324.48,327.18,296970.0
2025-10-01,320.61,327.69,317.66,327.29,434952.0
2025-09-30,323.0,324.8,320.435,323.19,428416.0
2025-09-29,327.47,329.2,322.27,322.66,359669.0
2025-09-26,324.35,326.14,320.485,324.87,269343.0
2025-09-25,321.71,324.465,318.77,324.0,289212.0
2025-09-24,325.34,325.9,322.92,324.47,366147.0
2025-09-23,329.96,334.25,324.37,324.7,397274.0
2025-09-22,326.16,330.81,326.0,330.19,460754.0
2025-09-19,334.42,334.88,325.61,328.69,1276690.0
2025-09-18,324.53,332.22,324.31,331.8,380101.0
2025-09-17,324.79,326.0,320.5409,323.81,258123.0
2025-09-16,324.05,324.9999,321.29,323.73,289011.0
2025-09-15,320.27,324.94,319.7167,324.1,355445.0
2025-09-12,332.49,332.49,320.97,321.67,439879.0
2025-09-11,326.69,337.39,326.69,334.59,465181.0
2025-09-10,326.6,329.225,322.56,326.69,394774.0
2025-09-09,319.86,329.805,318.53,325.41,428956.0
2025-09-08,316.57,320.8,316.52,320.63,316394.0
2025-09-05,314.35,317.03,311.87,315.89,310965.0
2025-09-04,310.16,314.74,309.33,314.35,400918.0
2025-09-03,305.94,309.12,303.605,309.03,450501.0
2025-09-02,309.89,311.12,306.0415,306.73,598882.0
2025-08-29,319.07,319.07,310.33,313.14,593463.0
2025-08-28,317.0,320.25,315.235,318.4,414246.0
2025-08-27,315.24,318.53,314.715,317.74,249644.0
2025-08-26,316.98,319.14,313.22,315.57,694728.0
2025-08-25,317.41,317.58,315.48,315.7,246817.0
2025-08-22,316.02,322.42,315.58,317.23,312595.0
2025-08-21,314.48,316.5799,313.01,314.23,332294.0
2025-08-20,315.48,316.39,308.4101,315.79,371978.0
2025-08-19,315.66,319.1,314.225,315.48,334034.0
2025-08-18,315.0,317.1199,312.65,316.26,367801.0
2025-08-15,318.78,318.78,313.95,315.34,327753.0
2025-08-14,322.53,323.68,315.1,318.5,300996.0
2025-08-13,327.83,327.83,324.045,325.79,492472.0
2025-08-12,319.01,326.64,319.01,326.47,770371.0
2025-08-11,320.34,323.52,317.25,318.11,412820.0
2025-08-08,319.2,322.6,317.28,321.77,403248.0
2025-08-07,322.5,323.0,314.855,317.23,469163.0
2025-08-06,319.98,323.2,316.65,321.23,523217.0
2025-08-05,320.59,324.12,315.93,318.78,826681.0
2025-08-04,309.73,322.63,308.97,321.0,813756.0
2025-08-01,308.14,309.77,301.52,307.43,790548.0
2025-07-31,323.0,333.9999,312.5901,313.42,1829371.0
2025-07-30,299.97,301.89,294.89,298.99,830302.0
2025-07-29,302.89,305.9799,298.357,299.24,462378.0
2025-07-28,299.54,302.01,298.7,301.63,370045.0
2025-07-25,302.12,303.77,299.01,299.37,262548.0
2025-07-24,300.19,305.15,298.88,301.93,508264.0
2025-07-23,298.81,300.69,297.85,300.62,362318.0
2025-07-22,300.4,300.425,296.66,297.82,346063.0
2025-07-21,301.64,302.17,298.105,300.12,292347.0
2025-07-18,301.92,307.0,300.19,302.17,597884.0
2025-07-17,294.89,301.21,293.13,300.34,542112.0
2025-07-16,291.75,293.55,288.76,293.12,333386.0
2025-07-15,294.67,296.11,290.65,290.76,436041.0
2025-07-14,291.7,295.42,290.67,294.15,390700.0
2025-07-11,299.23,299.23,291.24,291.89,451319.0
2025-07-10,301.97,303.43,297.3,299.89,423571.0
2025-07-09,302.45,302.68,297.65,302.28,430053.0
2025-07-08,301.56,304.7,299.1,302.41,544676.0
2025-07-07,298.75,301.66,297.0,299.26,469459.0
2025-07-03,298.23,301.78,297.62,300.13,272018.0
2025-07-02,294.98,296.8225,293.305,296.12,388249.0
2025-07-01,294.32,298.62,293.31,295.97,517833.0
