date,Open,High,Low,Close,Volume
2025-10-31,96.46,97.25,94.3,96.19,1827649.0
2025-10-30,95.64,96.445,94.71,94.87,843374.0
2025-10-29,97.14,97.69,95.34,95.47,706393.0
2025-10-28,100.44,100.56,97.93,98.0,700584.0
2025-10-27,101.31,101.585,100.67,100.99,510975.0
2025-10-24,101.19,101.94,101.025,101.3,377085.0
2025-10-23,100.78,101.25,99.67,100.78,400404.0
2025-10-22,100.64,101.06,99.68,101.0,466656.0
2025-10-21,99.87,100.76,99.53,100.26,581429.0
2025-10-20,99.29,99.8,98.38,99.55,472207.0
2025-10-17,97.88,99.31,97.76,98.94,580183.0
2025-10-16,98.5,98.98,97.4,98.03,579384.0
2025-10-15,97.53,98.55,97.3,98.22,460037.0
2025-10-14,96.96,97.555,96.42,97.34,469481.0
2025-10-13,96.24,97.12,95.63,96.96,326108.0
2025-10-10,97.59,97.65,95.58,95.58,402244.0
2025-10-09,97.8,98.1,96.6,97.16,384487.0
2025-10-08,97.33,97.81,96.79,97.55,382828.0
2025-10-07,98.39,98.525,97.339,97.6,438377.0
2025-10-06,99.36,100.1,98.67,98.74,513100.0
2025-10-03,99.16,100.145,99.16,99.41,363991.0
2025-10-02,99.36,99.87,98.03,99.01,498808.0
2025-10-01,99.9,100.62,99.415,99.64,511379.0
2025-09-30,100.23,101.44,99.935,101.31,718621.0
2025-09-29,99.55,100.0,98.99,99.92,544954.0
2025-09-26,99.63,100.055,98.92,99.52,566367.0
2025-09-25,99.24,99.91,98.99,99.09,480990.0
2025-09-24,99.86,99.955,98.7603,99.13,463901.0
2025-09-23,99.61,100.37,99.525,100.06,451189.0
2025-09-22,99.4,99.85,98.76,99.61,557867.0
2025-09-19,100.2,100.51,99.42,99.62,1219444.0
2025-09-18,99.52,100.495,99.47,100.22,500073.0
2025-09-17,100.12,101.18,99.11,99.29,767289.0
2025-09-16,100.86,101.1,99.715,99.91,492762.0
2025-09-15,101.41,101.95,100.81,101.08,655323.0
2025-09-12,101.84,102.31,101.41,101.65,556694.0
2025-09-11,100.55,102.02,100.35,101.8,522672.0
2025-09-10,99.94,100.86,99.94,100.45,512207.0
2025-09-09,101.77,101.77,100.16,100.33,568747.0
2025-09-08,101.59,102.46,100.89,101.75,774391.0
2025-09-05,101.46,102.94,101.43,102.67,638342.0
2025-09-04,100.68,101.08,100.0475,100.99,357973.0
2025-09-03,98.64,100.4,98.42,100.07,531915.0
2025-09-02,99.61,100.77,98.81,99.14,897354.0
2025-08-29,99.84,100.69,99.52,100.55,907896.0
2025-08-28,100.66,100.66,98.87,99.82,477770.0
2025-08-27,98.47,100.455,98.47,100.29,455762.0
2025-08-26,99.06,99.82,98.66,98.76,594206.0
2025-08-25,99.21,99.5,98.15,99.15,683342.0
2025-08-22,96.95,99.84,96.95,99.45,593908.0
2025-08-21,95.89,96.71,95.89,96.31,601173.0
2025-08-20,97.05,97.71,96.21,96.43,596790.0
2025-08-19,94.1,96.71,94.1,96.7,741549.0
2025-08-18,94.76,94.9615,93.62,93.74,822431.0
2025-08-15,93.63,94.095,93.335,93.85,1840952.0
2025-08-14,93.52,94.35,92.955,93.73,730231.0
2025-08-13,92.89,94.735,92.18,94.58,738360.0
2025-08-12,91.51,92.87,91.39,92.82,666514.0
2025-08-11,90.97,92.595,90.91,91.45,780058.0
2025-08-08,92.55,92.74,91.0681,91.3,1020571.0
2025-08-07,94.83,94.83,91.54,92.36,1567655.0
2025-08-06,93.41,94.04,93.18,93.18,1363518.0
2025-08-05,91.76,93.5,91.67,93.39,819683.0
2025-08-04,90.83,91.95,90.6534,91.54,1016233.0
2025-08-01,92.49,92.795,89.99,90.61,854665.0
2025-07-31,92.47,93.64,91.65,92.16,2340281.0
2025-07-30,95.1,95.89,92.89,93.58,939366.0
2025-07-29,93.97,94.88,93.31,94.84,799622.0
2025-07-28,94.14,94.29,93.1,93.19,697497.0
2025-07-25,95.14,95.25,93.55,94.24,856518.0
2025-07-24,95.26,95.77,94.64,94.71,491221.0
2025-07-23,96.12,96.12,95.0,95.63,503196.0
2025-07-22,94.93,96.15,94.7347,96.04,413702.0
2025-07-21,94.76,95.2819,94.16,94.37,592306.0
2025-07-18,95.22,95.33,94.46,94.67,609008.0
2025-07-17,94.38,95.42,93.84,95.13,655520.0
2025-07-16,93.62,94.6,93.18,94.34,595502.0
2025-07-15,94.83,94.91,92.64,92.99,835360.0
2025-07-14,94.53,95.315,94.21,94.97,631827.0
2025-07-11,93.86,95.19,93.75,94.88,404865.0
2025-07-10,94.72,95.53,94.59,94.61,688195.0
2025-07-09,94.64,95.3806,94.21,94.64,947235.0
2025-07-08,93.8,94.92,93.79,94.12,657359.0
2025-07-07,94.98,96.26,93.8521,94.22,871226.0
2025-07-03,95.03,95.93,94.52,95.8,558329.0
2025-07-02,94.26,94.99,93.36,94.92,915472.0
2025-07-01,93.62,95.97,93.5889,94.21,988493.0
2025-06-30,94.54,95.05,93.24,94.99,870251.0
2025-06-27,95.03,95.89,94.21,94.66,902219.0
2025-06-26,94.13,94.95,93.91,94.84,635752.0
2025-06-25,95.79,95.79,93.58,93.71,616246.0
2025-06-24,96.71,96.81,96.0401,96.27,495561.0
2025-06-23,94.79,96.5,94.56,96.38,601035.0
2025-06-20,95.78,96.67,95.36,95.48,1179303.0
2025-06-18,95.14,96.31,95.14,95.62,755682.0
2025-06-17,95.34,96.39,94.75,95.19,591100.0
2025-06-16,96.1,96.66,95.32,95.64,428386.0
2025-06-13,96.13,96.3567,94.65,95.29,405450.0
2025-06-12,96.16,96.66,95.67,96.64,352554.0
2025-06-11,98.16,98.51,95.99,96.46,582813.0
