date,Open,High,Low,Close,Volume
2025-10-31,91.25,92.57,87.91,89.08,7547623.0
2025-10-30,88.81,91.79,88.5,90.28,5411430.0
2025-10-29,87.35,91.925,86.5,90.29,13122978.0
2025-10-28,84.31,87.25,83.11,86.43,14455280.0
2025-10-27,88.63,89.77,88.15,89.37,11801933.0
2025-10-24,87.0,87.76,86.44,87.41,7284530.0
2025-10-23,84.0,86.38,83.92,85.84,5404581.0
2025-10-22,86.07,87.34,83.08,84.14,8440434.0
2025-10-21,85.6,86.45,84.59,86.05,4992264.0
2025-10-20,85.23,86.025,84.83,85.28,4859744.0
2025-10-17,86.25,86.54,83.6901,84.49,5940460.0
2025-10-16,86.87,87.41,85.34,86.72,6501302.0
2025-10-15,86.06,87.43,85.465,86.62,6427627.0
2025-10-14,84.28,85.91,83.61,84.61,5195001.0
2025-10-13,85.11,86.63,84.8,85.5,4957772.0
2025-10-10,87.39,87.78,82.96,82.98,7898543.0
2025-10-09,87.15,87.75,86.1301,87.19,4536585.0
2025-10-08,85.27,87.07,84.76,87.07,6088091.0
2025-10-07,85.47,86.23,83.81,85.06,6732986.0
2025-10-06,84.11,86.095,83.81,85.34,8678038.0
2025-10-03,83.03,84.18,82.6109,83.56,7739175.0
2025-10-02,83.8,84.35,81.91,82.52,7207059.0
2025-10-01,81.46,83.75,80.8824,83.12,9010012.0
2025-09-30,80.26,82.21,80.19,82.03,6300274.0
2025-09-29,79.9,80.73,79.6,80.26,8204641.0
2025-09-26,79.15,79.4799,78.69,79.35,4483983.0
2025-09-25,78.08,79.47,77.05,79.13,8518744.0
2025-09-24,81.29,81.585,79.06,79.91,8648928.0
2025-09-23,79.2,81.02,79.02,81.0,8654169.0
2025-09-22,79.4,79.8399,78.1,79.16,7314157.0
2025-09-19,79.62,79.98,78.57,79.56,10764954.0
2025-09-18,77.45,79.65,77.19,79.62,10372486.0
2025-09-17,78.42,78.68,76.15,76.88,10590687.0
2025-09-16,78.28,78.805,77.3171,78.7,12936731.0
2025-09-15,77.75,78.325,76.78,77.98,8835050.0
2025-09-12,76.91,77.87,75.77,77.04,14826119.0
2025-09-11,75.18,77.08,74.6,75.47,13968315.0
2025-09-10,73.17,75.05,72.72,74.93,16600753.0
2025-09-09,72.0,72.935,71.75,72.39,10646825.0
2025-09-08,71.49,72.54,71.44,72.15,13643510.0
2025-09-05,70.275,71.4,70.06,71.19,9078054.0
2025-09-04,69.59,70.64,69.39,69.72,7104888.0
2025-09-03,68.7,69.79,66.4,69.34,13162596.0
2025-09-02,67.0,68.58,66.14,68.47,9109084.0
2025-08-29,68.36,68.67,66.74,67.03,6191533.0
2025-08-28,67.39,69.2901,67.32,68.93,7266908.0
2025-08-27,67.37,67.765,67.09,67.25,4234105.0
2025-08-26,66.74,67.68,66.725,67.4,5420990.0
2025-08-25,65.75,67.32,65.75,66.78,5824116.0
2025-08-22,65.22,66.1499,65.09,65.77,3436536.0
2025-08-21,64.51,65.115,64.335,64.89,3574275.0
2025-08-20,64.11,64.67,63.37,64.6,5299634.0
2025-08-19,65.16,65.37,64.235,64.52,5814734.0
2025-08-18,65.23,65.95,65.15,65.52,3084849.0
2025-08-15,65.92,65.92,64.82,65.44,3054880.0
2025-08-14,65.315,66.055,64.8809,65.76,3608881.0
2025-08-13,66.02,66.26,64.95,65.74,4295349.0
2025-08-12,65.3,66.09,65.25,65.75,5193898.0
2025-08-11,65.87,65.87,64.82,64.98,5694880.0
2025-08-08,64.98,66.01,64.76,65.77,4374691.0
2025-08-07,66.49,66.5,64.22,64.76,9632821.0
2025-08-06,63.9,64.19,63.145,63.98,5825223.0
2025-08-05,63.76,64.41,63.0725,63.17,5389768.0
2025-08-04,62.98,63.54,62.65,63.49,5088394.0
2025-08-01,62.0,62.43,61.44,62.05,5845644.0
2025-07-31,63.08,63.91,62.3601,63.24,7360134.0
2025-07-30,61.8,63.2,61.7,62.61,7927989.0
2025-07-29,58.87,62.98,57.93,61.98,17713548.0
2025-07-28,55.55,55.5699,54.92,55.41,5979218.0
2025-07-25,56.0,56.0,54.89,55.36,4718119.0
2025-07-24,55.65,56.07,55.5,55.72,5254729.0
2025-07-23,54.4,56.25,54.365,55.8,8080936.0
2025-07-22,53.77,54.13,53.29,54.02,3865523.0
2025-07-21,54.0,54.42,53.68,53.9,2993864.0
2025-07-18,54.29,54.44,53.78,54.01,2502233.0
2025-07-17,53.19,54.32,53.18,54.2,3898597.0
2025-07-16,52.7,53.015,52.19,52.97,3345088.0
2025-07-15,53.61,53.63,52.485,52.52,3781034.0
2025-07-14,51.54,54.0,51.32,53.12,4899255.0
2025-07-11,52.0,52.11,51.47,51.6,4098495.0
2025-07-10,52.67,52.7,51.985,52.26,4345097.0
2025-07-09,53.16,53.16,52.325,52.57,3088210.0
2025-07-08,53.03,53.13,52.49,52.73,4314382.0
