date,Open,High,Low,Close,Volume
2025-10-31,106.91,123.928,106.12,123.54,6797259.0
2025-10-30,94.39,99.39,94.0,99.01,3007881.0
2025-10-29,97.22,98.5548,94.91,95.03,1305710.0
2025-10-28,100.0,100.18,97.64,97.8,1049370.0
2025-10-27,101.0,101.0,98.86,100.35,1319094.0
2025-10-24,101.44,101.93,100.06,100.11,948726.0
2025-10-23,97.23,100.24,97.07,99.97,1298481.0
2025-10-22,98.39,99.54,95.815,97.23,1651760.0
2025-10-21,100.41,102.305,98.505,98.96,1319040.0
2025-10-20,95.61,100.94,95.61,99.5,1750387.0
2025-10-17,95.2,96.8,94.81,95.46,1165825.0
2025-10-16,94.05,98.7,93.5,95.91,2160066.0
2025-10-15,90.71,95.61,90.1,93.0,2762287.0
2025-10-14,92.75,93.8,88.0,91.0,2558644.0
2025-10-13,95.0,96.43,93.59,95.03,775038.0
2025-10-10,96.49,96.49,91.65,93.86,1571814.0
2025-10-09,97.63,98.7,96.34,96.45,911007.0
2025-10-08,96.66,98.39,95.705,97.78,1231036.0
2025-10-07,101.36,101.95,96.5,96.68,1390483.0
2025-10-06,102.16,102.68,100.5601,101.02,1269382.0
2025-10-03,100.35,102.84,99.485,102.12,1679983.0
2025-10-02,103.0,103.0,98.52,99.3,1899567.0
2025-10-01,94.97,102.35,94.97,102.26,2336130.0
2025-09-30,91.64,95.44,91.3,94.97,2127312.0
2025-09-29,92.26,92.5,90.62,91.87,1457211.0
2025-09-26,92.29,93.03,91.41,91.69,2163087.0
2025-09-25,93.51,94.19,91.36,92.19,2026248.0
2025-09-24,99.5,99.77,93.92,94.41,1666448.0
2025-09-23,101.335,102.91,98.87,99.37,1184151.0
2025-09-22,102.75,102.75,101.07,101.49,952037.0
2025-09-19,102.79,103.94,101.69,102.75,3621727.0
2025-09-18,102.31,103.78,101.6,103.03,1137918.0
2025-09-17,101.755,104.22,99.5,100.87,1725543.0
2025-09-16,100.785,102.0,98.86,101.48,1473258.0
2025-09-15,95.31,101.01,95.2,100.92,1777898.0
2025-09-12,99.51,99.51,95.12,95.12,1517122.0
2025-09-11,95.69,99.56,95.6341,99.31,1738366.0
2025-09-10,98.08,98.8,94.83,95.49,1167616.0
2025-09-09,98.42,98.4829,97.02,98.22,783866.0
2025-09-08,98.67,98.67,96.8,98.18,1075555.0
2025-09-05,98.15,100.82,97.37,98.93,1520132.0
2025-09-04,95.86,97.9199,93.944,97.68,1137692.0
2025-09-03,97.52,98.05,95.8,96.07,1162732.0
2025-09-02,98.69,99.3309,95.44,97.82,1205143.0
2025-08-29,99.19,100.435,98.91,99.96,1009144.0
2025-08-28,99.73,100.0175,97.82,99.17,1144995.0
2025-08-27,98.54,99.73,98.1,99.54,1169095.0
2025-08-26,99.8,100.83,98.51,98.73,1800170.0
2025-08-25,101.37,101.77,99.465,99.66,1686442.0
2025-08-22,100.05,103.65,99.425,101.8,1965335.0
2025-08-21,99.65,101.55,99.08,99.29,1257205.0
2025-08-20,101.14,101.19,99.25,100.8,1435709.0
2025-08-19,100.82,102.8,100.25,101.6,1025109.0
2025-08-18,100.77,101.035,99.39,100.53,1211463.0
2025-08-15,100.63,101.675,99.82,100.11,1534869.0
2025-08-14,99.86,100.6125,98.85,100.09,1314361.0
2025-08-13,98.2,101.37,98.0226,101.11,1671131.0
2025-08-12,94.52,98.13,94.385,97.38,1491083.0
2025-08-11,94.27,95.69,93.98,94.78,1481843.0
