date,Open,High,Low,Close,Volume
2025-10-31,92.7,95.1,92.0575,93.48,2503165.0
2025-10-30,91.34,94.62,91.19,92.59,2405599.0
2025-10-29,91.485,94.42,88.2,90.18,3443736.0
2025-10-28,92.14,93.98,84.02,91.65,6876194.0
2025-10-27,92.155,93.17,90.69,93.08,3803021.0
2025-10-24,90.0,92.08,89.73,91.28,2236993.0
2025-10-23,87.65,89.56,87.5,89.31,2032317.0
2025-10-22,87.4,88.21,87.25,88.06,1582675.0
2025-10-21,85.65,87.48,85.55,87.3,1136976.0
2025-10-20,87.945,87.945,84.38,86.17,2100676.0
2025-10-17,87.04,88.54,86.36,87.57,2070856.0
2025-10-16,88.88,92.86,87.12,87.31,3760265.0
2025-10-15,85.13,88.49,85.13,88.15,2049716.0
2025-10-14,84.38,86.16,83.46,85.96,1303211.0
2025-10-13,84.39,85.15,82.815,84.73,1067688.0
2025-10-10,85.01,85.19,83.06,83.8,1576610.0
2025-10-09,85.55,85.92,84.14,84.75,1401194.0
2025-10-08,86.56,86.87,84.96,85.38,1620177.0
2025-10-07,87.31,87.95,85.9222,87.17,1212468.0
2025-10-06,86.99,88.3,86.41,87.23,1919237.0
2025-10-03,85.91,86.98,85.18,86.85,1303859.0
2025-10-02,87.65,88.6624,86.17,86.28,1787761.0
2025-10-01,84.95,87.24,84.9,86.7,1630543.0
2025-09-30,83.83,85.31,83.755,84.81,1251195.0
2025-09-29,83.02,84.41,82.5201,83.89,1564469.0
2025-09-26,82.57,82.95,81.78,82.7,1376209.0
2025-09-25,83.86,84.45,81.09,81.66,1488626.0
2025-09-24,84.19,84.82,83.66,84.16,1297794.0
2025-09-23,84.75,85.83,84.425,84.54,1607480.0
2025-09-22,86.385,86.82,84.38,84.73,1460736.0
2025-09-19,85.86,86.805,85.3101,86.53,5483786.0
2025-09-18,84.705,86.07,84.47,86.0,1326603.0
2025-09-17,83.91,85.98,83.51,84.8,1582466.0
2025-09-16,83.15,84.58,83.15,83.9,1691451.0
2025-09-15,82.81,83.66,82.72,83.14,1741078.0
2025-09-12,85.49,85.51,82.82,83.1,1775152.0
2025-09-11,86.0,87.1,85.85,86.17,2012526.0
2025-09-10,85.775,86.9399,84.54,86.25,1907692.0
2025-09-09,86.39,87.3499,85.32,85.6,1534822.0
2025-09-08,86.48,86.9399,85.18,86.56,1222692.0
2025-09-05,85.48,86.69,85.06,86.64,1387707.0
2025-09-04,87.26,87.99,85.42,85.44,2245599.0
2025-09-03,85.92,87.46,85.72,86.96,1973276.0
2025-09-02,84.97,87.99,84.955,85.98,2208542.0
2025-08-29,83.85,84.63,83.405,84.61,1338318.0
2025-08-28,84.26,84.585,83.5,83.7,1011617.0
2025-08-27,84.13,85.12,84.13,84.84,1460326.0
2025-08-26,84.71,84.71,83.655,84.0,2325075.0
2025-08-25,84.88,85.87,84.43,84.76,1643125.0
2025-08-22,87.0,87.0,84.9,85.04,1475760.0
2025-08-21,85.72,86.97,85.45,86.53,982653.0
2025-08-20,85.23,86.37,84.76,86.2,1688492.0
2025-08-19,84.94,85.685,84.5501,85.46,1824112.0
2025-08-18,86.72,87.24,84.85,84.92,1741498.0
2025-08-15,86.81,87.06,85.42,86.92,1883541.0
2025-08-14,84.75,86.5,84.4101,86.16,1838197.0
2025-08-13,81.8,86.02,81.61,85.85,3182785.0
2025-08-12,79.44,81.82,79.335,81.61,1810225.0
2025-08-11,78.2,79.72,78.2,79.19,2015776.0
2025-08-08,78.24,79.0,77.6901,78.39,1200253.0
2025-08-07,78.04,78.25,76.79,78.2,1416919.0
2025-08-06,78.62,79.43,76.45,77.65,1987942.0
2025-08-05,77.97,78.5,77.09,77.725,1733565.0
2025-08-04,75.77,78.25,75.48,78.04,1624318.0
2025-08-01,74.56,75.695,73.805,75.59,1583962.0
2025-07-31,77.18,77.46,74.24,74.89,2577430.0
2025-07-30,77.84,78.77,76.871,77.55,2520416.0
2025-07-29,72.0,77.87,71.0,77.375,3976522.0
2025-07-28,70.35,70.93,69.695,70.16,1926859.0
2025-07-25,70.82,70.82,70.06,70.2,1434801.0
2025-07-24,70.81,71.29,70.33,70.49,1680116.0
2025-07-23,69.34,70.83,69.24,70.69,1276138.0
2025-07-22,67.58,69.1229,67.2,68.9,1324463.0
2025-07-21,67.94,68.63,67.17,67.38,1331302.0
2025-07-18,69.25,69.43,67.8,67.86,1556892.0
2025-07-17,69.12,69.645,68.84,68.94,774128.0
2025-07-16,68.36,69.42,68.15,69.23,1026576.0
2025-07-15,70.0,70.15,68.21,68.25,1516245.0
2025-07-14,68.77,70.04,67.97,69.98,1531150.0
2025-07-11,69.66,69.975,68.36,68.59,1094786.0
2025-07-10,69.07,70.62,68.455,70.34,1390163.0
2025-07-09,68.06,69.295,67.945,68.72,1927203.0
2025-07-08,67.26,68.65,67.06,67.67,1400249.0
2025-07-07,68.24,68.25,66.85,67.27,1689058.0
2025-07-03,68.08,68.96,67.8816,68.45,1272600.0
2025-07-02,68.61,69.1,68.0,68.17,2374621.0
2025-07-01,67.15,70.37,66.83,68.73,1501970.0
2025-06-30,68.25,68.815,67.67,68.1,1481817.0
2025-06-27,70.975,71.12,67.82,68.37,3495246.0
2025-06-26,70.71,71.5,69.84,70.81,3025389.0
2025-06-25,69.02,69.135,67.38,67.55,995696.0
2025-06-24,68.05,69.54,67.325,69.01,1700554.0
2025-06-23,68.1,68.78,66.7401,67.26,1349027.0
2025-06-20,68.47,69.19,67.865,68.46,2340022.0
2025-06-18,68.97,69.47,68.01,68.27,1740830.0
2025-06-17,70.62,70.89,68.59,68.81,2018873.0
2025-06-16,70.8,71.29,69.0,71.22,3239180.0
2025-06-13,68.07,68.96,67.565,67.75,1834959.0
2025-06-12,68.95,69.54,68.1,69.22,1217903.0
2025-06-11,70.12,70.36,68.79,68.85,2203581.0
