date,Open,High,Low,Close,Volume
2025-10-31,656.0,671.89,653.79,667.55,1585498.0
2025-10-30,653.08,665.93,652.5,656.18,1435236.0
2025-10-29,667.58,669.62,649.1,656.04,1990883.0
2025-10-28,684.73,688.8987,678.245,678.93,1103280.0
2025-10-27,686.97,689.17,677.29,683.39,1318458.0
2025-10-24,684.26,688.0,680.215,683.09,1027750.0
2025-10-23,671.46,680.98,669.56,677.72,1474344.0
2025-10-22,674.2,682.47,670.43,670.77,1272115.0
2025-10-21,665.67,676.88,661.0,675.04,1201672.0
2025-10-20,663.28,668.86,658.485,664.77,1205806.0
2025-10-17,647.57,662.2725,646.835,661.39,1812852.0
2025-10-16,659.21,659.4,642.74,646.99,1248245.0
2025-10-15,657.1,657.42,647.76,652.69,1693137.0
2025-10-14,645.82,660.71,644.45,657.16,1243673.0
2025-10-13,643.2,656.47,642.64,655.68,1345134.0
2025-10-10,645.4,653.18,641.23,641.79,3059279.0
2025-10-09,655.0,658.0,643.16,644.92,1698742.0
2025-10-08,659.57,664.0,655.23,657.8,1699880.0
2025-10-07,670.92,671.73,654.34,657.99,1597796.0
2025-10-06,667.02,676.1675,658.33,670.09,2538399.0
2025-10-03,677.06,688.365,677.06,679.94,1293991.0
2025-10-02,676.77,682.95,668.36,681.86,2289181.0
2025-10-01,679.84,686.185,674.08,679.5,2151746.0
2025-09-30,697.02,702.12,680.12,682.91,2378585.0
2025-09-29,700.05,703.96,691.4724,694.69,1816626.0
2025-09-26,692.69,700.0,690.215,698.26,1480538.0
2025-09-25,691.59,695.79,683.525,692.68,1547964.0
2025-09-24,703.71,703.71,688.96,694.79,1727862.0
2025-09-23,699.8,702.54,694.22,699.18,2400102.0
2025-09-22,686.53,705.08,685.55,702.09,2403634.0
2025-09-19,692.855,700.0,682.955,687.92,4226681.0
2025-09-18,667.075,693.38,665.535,674.96,3006935.0
2025-09-17,653.68,666.025,652.5,662.68,1861297.0
2025-09-16,651.84,655.11,644.46,651.3,1578399.0
2025-09-15,647.36,652.64,640.255,651.33,2187128.0
2025-09-12,658.455,660.4,645.31,646.03,2202314.0
2025-09-11,660.29,666.39,656.91,660.52,2201251.0
2025-09-10,669.39,670.0,653.35,656.26,2789681.0
2025-09-09,669.31,673.7,664.76,670.89,1254945.0
2025-09-08,676.58,679.4009,667.96,671.68,1558832.0
2025-09-05,672.22,677.0,667.25,672.82,1614148.0
2025-09-04,665.0,671.81,659.23,668.29,1719255.0
2025-09-03,665.29,669.92,658.305,668.68,1978201.0
2025-09-02,655.26,664.67,655.0783,661.99,1680258.0
2025-08-29,668.2,673.74,664.3501,667.0,1594293.0
2025-08-28,663.66,674.6229,661.98,668.2,2071113.0
2025-08-27,661.795,664.33,654.36,663.17,1690649.0
2025-08-26,658.0,666.42,656.44,659.54,3762904.0
2025-08-25,664.99,670.4254,655.75,656.96,2201545.0
2025-08-22,655.0,670.39,642.5191,662.66,6368783.0
2025-08-21,697.01,701.0,692.825,697.76,2511470.0
2025-08-20,703.98,705.1,695.69,699.15,2096174.0
2025-08-19,715.08,719.097,698.77,701.03,2582140.0
2025-08-18,717.1,721.54,714.845,717.21,1629206.0
2025-08-15,712.34,720.092,707.5,716.74,1751759.0
2025-08-14,711.99,715.98,706.12,710.64,1241082.0
2025-08-13,713.48,717.55,703.96,711.71,1602575.0
2025-08-12,707.14,714.465,699.055,713.48,2146119.0
2025-08-11,747.62,750.55,702.68,706.09,3195318.0
2025-08-08,760.5,762.48,747.245,749.0,1670272.0
2025-08-07,783.48,786.28,752.0401,761.61,1436107.0
2025-08-06,773.865,779.67,765.68,779.47,1154702.0
2025-08-05,785.42,794.09,767.92,769.27,1258098.0
2025-08-04,784.18,790.54,781.31,784.87,1484408.0
2025-08-01,786.14,787.3725,772.35,776.15,1490139.0
2025-07-31,807.15,807.15,783.935,785.13,1779124.0
2025-07-30,804.87,813.7,800.96,807.39,1606359.0
2025-07-29,804.48,807.93,794.83,806.34,1693859.0
2025-07-28,785.03,800.5,783.0,798.73,1933303.0
2025-07-25,782.91,790.5,780.5,785.95,1406405.0
2025-07-24,778.0,784.17,775.275,781.21,1379993.0
2025-07-23,765.79,778.06,759.525,776.0,1940028.0
2025-07-22,767.45,771.12,760.295,766.78,1027593.0
