date,Open,High,Low,Close,Volume
2025-10-31,84.34,85.96,81.76,85.12,248721.0
2025-10-30,85.52,86.655,83.795,84.11,176244.0
2025-10-29,87.31,88.3,84.38,86.37,246491.0
2025-10-28,87.04,87.845,85.43,87.01,177431.0
2025-10-27,87.24,88.32,86.7,87.12,199201.0
2025-10-24,87.97,88.8,86.505,86.62,111799.0
2025-10-23,85.16,87.24,84.62,86.66,137912.0
2025-10-22,86.92,87.8,84.52,85.42,195208.0
2025-10-21,87.2,88.355,86.6333,88.06,186606.0
2025-10-20,85.7,88.89,85.67,87.2,243510.0
2025-10-17,86.0,86.18,84.1037,84.81,156762.0
2025-10-16,87.27,87.4,85.4401,86.42,137493.0
2025-10-15,84.99,86.45,83.48,86.22,174198.0
2025-10-14,81.74,84.275,80.28,83.2,171969.0
2025-10-13,83.02,84.38,81.405,83.22,252333.0
2025-10-10,86.97,90.0,80.1,80.68,299918.0
2025-10-09,87.78,88.0,85.165,86.67,163935.0
2025-10-08,85.12,88.2262,84.815,87.77,181256.0
2025-10-07,89.2,90.295,82.74,85.12,317447.0
2025-10-06,84.95,88.785,84.16,88.19,277796.0
2025-10-03,82.01,84.72,81.095,84.66,321995.0
2025-10-02,80.1,81.32,79.11,81.25,175636.0
2025-10-01,79.13,80.075,78.03,79.52,174133.0
2025-09-30,78.87,79.45,77.96,79.19,126601.0
2025-09-29,81.59,81.59,78.75,78.87,161849.0
2025-09-26,79.57,80.63,78.24,80.45,171966.0
2025-09-25,78.26,79.595,76.485,79.28,279717.0
2025-09-24,81.81,82.0365,79.05,79.24,175115.0
2025-09-23,81.76,83.2,81.26,81.81,233518.0
2025-09-22,80.95,82.52,80.12,81.36,271090.0
2025-09-19,82.91,82.91,80.08,81.4,800411.0
2025-09-18,82.64,83.17,81.55,82.68,216700.0
2025-09-17,81.57,82.84,80.355,81.02,187709.0
2025-09-16,80.34,82.11,79.695,81.72,259707.0
2025-09-15,80.24,81.355,80.01,80.34,344220.0
2025-09-12,82.59,82.59,79.87,79.94,236134.0
2025-09-11,81.86,83.3466,81.4,82.6,140322.0
2025-09-10,81.94,83.2,81.495,81.58,176524.0
2025-09-09,82.63,82.63,81.21,81.93,192381.0
2025-09-08,84.47,84.5,81.96,82.88,255134.0
2025-09-05,83.13,84.305,82.4252,84.27,213029.0
2025-09-04,81.12,83.26,80.57,82.34,252008.0
2025-09-03,80.3,81.35,79.72,81.12,255314.0
2025-09-02,79.56,80.35,78.5,80.17,271284.0
2025-08-29,84.49,85.0,81.425,81.82,211271.0
2025-08-28,84.0,85.29,83.185,84.98,315382.0
2025-08-27,82.79,83.72,81.9,83.63,182008.0
2025-08-26,81.68,83.33,81.68,83.15,336502.0
2025-08-25,81.78,82.76,81.0,81.71,161512.0
2025-08-22,79.32,83.17,79.32,82.16,198916.0
2025-08-21,74.95,78.69,74.7301,78.62,285349.0
2025-08-20,76.77,76.77,74.36,75.72,182808.0
2025-08-19,78.84,78.92,76.625,77.07,145472.0
2025-08-18,78.68,79.18,78.005,78.87,181058.0
2025-08-15,79.34,79.87,78.41,78.67,167699.0
2025-08-14,78.93,79.8,78.02,79.46,187777.0
2025-08-13,78.7,80.49,78.44,80.34,225087.0
2025-08-12,76.13,78.53,75.645,78.26,156363.0
2025-08-11,75.27,76.15,74.83,75.46,296974.0
2025-08-08,75.27,76.61,74.68,75.26,254586.0
2025-08-07,74.53,75.424,72.75,74.73,332510.0
2025-08-06,74.63,74.63,71.35,72.14,268168.0
2025-08-05,81.0,84.42,74.46,74.63,417492.0
2025-08-04,76.18,77.8,75.54,77.46,253160.0
2025-08-01,73.02,75.565,71.78,75.22,216777.0
2025-07-31,76.82,77.74,74.59,74.89,253077.0
2025-07-30,78.71,79.08,75.88,77.04,197797.0
2025-07-29,80.39,81.09,78.37,78.64,257899.0
2025-07-28,78.55,79.945,78.255,79.61,245311.0
2025-07-25,76.08,78.33,75.52,78.03,234495.0
2025-07-24,76.52,76.52,75.14,75.6,151557.0
2025-07-23,76.21,77.46,76.03,76.88,173456.0
2025-07-22,74.28,75.625,72.8,75.46,203867.0
2025-07-21,75.1,75.6,74.08,74.43,157392.0
2025-07-18,75.11,75.555,74.09,74.63,183701.0
2025-07-17,73.8,74.79,73.46,74.44,219643.0
2025-07-16,73.65,73.67,71.59,73.63,156611.0
2025-07-15,75.0,75.035,73.11,73.33,185260.0
2025-07-14,73.66,74.4,72.96,74.21,180644.0
2025-07-11,74.27,74.655,73.46,74.15,168531.0
2025-07-10,74.14,75.47,73.815,75.04,183508.0
2025-07-09,73.86,74.4,72.0,73.83,167117.0
2025-07-08,71.7,74.01,71.7,73.0,294568.0
2025-07-07,72.69,73.25,71.015,71.35,172294.0
2025-07-03,73.88,74.4,73.56,73.63,139283.0
2025-07-02,70.96,73.42,69.0301,73.38,191426.0
2025-07-01,67.85,71.945,66.8167,71.05,387259.0
2025-06-30,69.12,69.26,67.45,68.65,158848.0
2025-06-27,69.13,69.37,67.44,68.52,323618.0
2025-06-26,68.36,68.94,67.83,68.84,156570.0
2025-06-25,68.87,68.87,66.7038,67.79,259574.0
2025-06-24,68.2,69.08,67.27,68.48,196658.0
2025-06-23,65.74,67.595,65.64,67.43,200518.0
2025-06-20,67.63,67.63,65.25,66.01,673291.0
2025-06-18,66.76,67.68,66.55,66.74,239928.0
2025-06-17,67.2,68.45,66.77,66.81,202034.0
2025-06-16,66.99,68.35,66.6,68.1,182295.0
2025-06-13,66.85,67.31,65.57,65.91,161275.0
2025-06-12,67.18,68.67,67.18,68.19,151980.0
2025-06-11,68.77,68.77,67.22,67.97,190930.0
