date,Open,High,Low,Close,Volume
2025-10-31,76.43,79.21,75.0,76.33,6946185.0
2025-10-30,79.35,81.08,78.53,78.73,5546571.0
2025-10-29,79.32,81.405,78.83,79.7,4414553.0
2025-10-28,80.75,80.75,78.44,78.85,3926999.0
2025-10-27,80.99,81.3,79.96,80.24,3377261.0
2025-10-24,81.19,81.19,79.7,79.78,1724418.0
2025-10-23,78.92,80.63,78.5,80.36,1800052.0
2025-10-22,79.63,80.57,78.1,78.13,3113962.0
2025-10-21,77.78,80.61,77.76,79.56,1848755.0
2025-10-20,77.97,78.85,77.795,78.47,1826252.0
2025-10-17,74.61,77.33,74.61,77.22,2922996.0
2025-10-16,76.97,77.61,74.98,75.81,2549553.0
2025-10-15,77.7,78.26,75.98,76.67,2629815.0
2025-10-14,74.78,77.5899,74.42,77.24,4094642.0
2025-10-13,76.89,77.79,76.08,76.1,2754568.0
2025-10-10,78.94,79.465,75.92,76.1,2238566.0
2025-10-09,81.27,81.41,78.26,78.48,2556618.0
2025-10-08,81.52,81.88,80.25,80.99,3190099.0
2025-10-07,83.8,84.3,80.96,81.35,3699447.0
2025-10-06,84.0,84.62,83.36,83.41,3621909.0
2025-10-03,83.83,84.6,83.38,83.95,2801626.0
2025-10-02,83.47,84.58,82.55,84.18,2870506.0
2025-10-01,81.86,83.795,81.63,83.5,3552779.0
2025-09-30,82.36,83.0,81.37,82.62,3569780.0
2025-09-29,82.92,83.03,81.65,82.55,3073068.0
2025-09-26,81.17,82.579,80.38,82.3,3010428.0
2025-09-25,80.14,80.74,79.37,80.5,3363370.0
2025-09-24,81.07,81.83,80.625,80.91,3747579.0
2025-09-23,82.19,82.39,80.76,81.32,4315060.0
2025-09-22,80.63,81.93,79.82,81.8,3649811.0
2025-09-19,81.77,82.23,80.37,81.61,13597970.0
2025-09-18,79.76,81.59,79.345,81.53,4119702.0
2025-09-17,78.23,80.2,77.85,79.0,5521243.0
2025-09-16,78.94,79.4,77.495,77.7,3499733.0
2025-09-15,79.25,80.09,78.45,79.05,3002778.0
2025-09-12,80.81,81.3,78.76,78.79,3643373.0
2025-09-11,80.05,82.36,79.95,81.02,4317851.0
2025-09-10,79.68,81.12,79.37,80.24,2742786.0
2025-09-09,80.05,80.53,79.02,79.66,3291690.0
2025-09-08,80.95,81.28,79.21,80.38,4536470.0
