date,Open,High,Low,Close,Volume
2025-10-31,100.82,103.935,100.35,102.95,1604121.0
2025-10-30,100.98,103.59,100.98,101.3,1155056.0
2025-10-29,103.84,103.87,101.09,101.34,1032855.0
2025-10-28,105.61,105.645,103.7201,104.05,766389.0
2025-10-27,105.84,106.67,104.65,106.46,876862.0
2025-10-24,105.18,106.83,104.515,105.23,788663.0
2025-10-23,103.96,104.325,102.535,103.93,756967.0
2025-10-22,104.16,105.0,102.03,103.95,886441.0
2025-10-21,105.44,106.06,102.79,104.41,863209.0
2025-10-20,105.38,106.0,104.805,105.83,989029.0
2025-10-17,105.11,105.9,103.32,104.58,1219062.0
2025-10-16,105.6,107.37,104.9704,105.79,915667.0
2025-10-15,104.3,108.15,103.815,105.76,1847434.0
2025-10-14,101.39,103.38,100.88,103.36,994771.0
2025-10-13,103.14,103.75,102.17,102.17,1610830.0
2025-10-10,105.49,105.49,101.84,101.84,1796297.0
2025-10-09,105.64,106.115,104.51,104.95,1076704.0
2025-10-08,105.3,106.56,104.78,105.39,1437280.0
2025-10-07,106.69,106.83,105.15,105.89,1161624.0
2025-10-06,104.92,107.09,104.8375,106.37,1336459.0
2025-10-03,103.77,106.35,103.42,104.8,1766050.0
2025-10-02,102.37,103.43,102.14,103.3,1068578.0
2025-10-01,101.755,103.26,101.16,102.26,1375581.0
2025-09-30,100.755,102.16,100.465,101.94,1294988.0
2025-09-29,101.57,101.79,99.705,100.35,1961053.0
2025-09-26,101.0,101.96,100.45,100.93,1117233.0
2025-09-25,100.58,102.13,100.3782,100.8,1287559.0
2025-09-24,103.5,103.695,101.21,101.23,1407801.0
2025-09-23,103.96,104.74,103.36,104.09,1611309.0
2025-09-22,100.41,104.72,99.82,104.46,2136555.0
2025-09-19,99.34,100.66,98.49,99.89,3124264.0
2025-09-18,99.63,100.63,98.47,98.92,992617.0
2025-09-17,100.63,101.64,99.39,99.48,1489217.0
2025-09-16,100.16,101.02,98.28,100.35,2064882.0
2025-09-15,96.27,100.492,96.0701,99.82,1870850.0
2025-09-12,98.66,99.6,96.68,96.69,1135648.0
2025-09-11,97.6,99.14,97.52,98.83,1812233.0
2025-09-10,96.56,99.16,96.52,97.43,1874274.0
2025-09-09,92.24,96.8,92.12,96.67,1857951.0
2025-09-08,91.29,92.5,90.525,92.43,1614586.0
2025-09-05,92.27,93.53,91.31,92.18,1071073.0
2025-09-04,89.91,91.1495,89.645,91.08,1329059.0
2025-09-03,88.94,90.0,87.8,89.81,2035501.0
2025-09-02,91.05,91.17,88.7578,89.46,1768671.0
2025-08-29,92.04,92.4321,91.5,92.33,1108781.0
2025-08-28,92.5,92.5,91.12,91.97,725306.0
2025-08-27,91.71,92.35,91.45,91.87,868326.0
2025-08-26,91.54,92.53,91.1362,91.43,1109677.0
