date,Open,High,Low,Close,Volume
2025-10-31,241.73,244.83,241.04,243.92,1649506.0
2025-10-30,241.47,247.36,240.665,243.64,1347104.0
2025-10-29,244.84,247.12,241.23,242.03,1797528.0
2025-10-28,247.68,249.58,245.7,245.87,1558014.0
2025-10-27,248.77,248.8,245.43,247.81,2010182.0
2025-10-24,249.0,250.71,242.8,245.75,3222831.0
2025-10-23,254.57,258.01,252.2,257.44,2046472.0
2025-10-22,256.79,258.43,252.91,252.96,1317012.0
2025-10-21,251.68,258.165,251.41,257.14,1077195.0
2025-10-20,249.17,252.83,249.17,252.38,1001423.0
2025-10-17,247.36,249.52,246.8,249.26,889048.0
2025-10-16,248.44,248.44,245.43,246.94,704534.0
2025-10-15,248.57,249.75,245.8,247.69,720384.0
2025-10-14,242.75,249.53,242.53,248.09,1114893.0
2025-10-13,246.54,247.35,243.5001,244.46,1071904.0
2025-10-10,248.92,249.94,244.23,244.93,1271334.0
2025-10-09,253.56,254.2998,247.49,248.29,1145722.0
2025-10-08,256.22,256.26,251.82,252.75,1525375.0
2025-10-07,259.35,259.61,255.42,255.75,932500.0
2025-10-06,259.34,260.0,256.74,258.71,844531.0
2025-10-03,260.28,262.75,259.93,260.0,740556.0
2025-10-02,258.88,262.0999,258.2,260.73,733255.0
2025-10-01,259.32,260.575,258.0,259.92,874041.0
2025-09-30,259.07,261.635,258.39,260.76,1097830.0
2025-09-29,262.46,263.2,260.73,261.38,840003.0
2025-09-26,258.89,261.47,257.158,261.04,533811.0
2025-09-25,258.36,259.58,257.3,257.89,678732.0
2025-09-24,260.42,261.8771,258.59,259.56,693300.0
2025-09-23,261.49,263.3,260.01,261.22,829913.0
2025-09-22,261.37,262.0,260.1088,260.89,692310.0
2025-09-19,264.05,264.05,261.5,261.86,1915447.0
2025-09-18,262.75,265.23,262.28,263.59,698746.0
2025-09-17,262.71,268.0,261.8,262.48,963873.0
2025-09-16,262.99,264.455,261.06,261.84,828818.0
2025-09-15,264.57,264.83,262.54,263.87,801059.0
2025-09-12,265.28,265.97,262.933,263.36,668438.0
2025-09-11,262.27,266.93,261.64,266.37,1040345.0
2025-09-10,261.32,264.57,261.17,262.55,817276.0
2025-09-09,265.12,265.6,261.35,262.18,631040.0
2025-09-08,265.51,266.91,263.62,266.68,799180.0
2025-09-05,266.69,268.68,264.52,266.24,583082.0
2025-09-04,261.84,265.76,260.59,265.67,639556.0
2025-09-03,261.95,262.43,259.97,261.25,718421.0
2025-09-02,263.265,263.265,260.75,262.26,898322.0
2025-08-29,266.07,267.15,264.04,264.65,963378.0
2025-08-28,267.5,268.0,263.66,265.75,725255.0
2025-08-27,265.57,268.25,265.57,266.83,659525.0
2025-08-26,266.7,268.4,265.58,266.24,1393363.0
2025-08-25,269.48,270.74,266.47,266.74,691422.0
2025-08-22,262.0,269.82,262.0,269.41,1069451.0
2025-08-21,261.03,262.94,260.99,261.0,1030435.0
2025-08-20,263.89,265.54,261.89,262.02,943128.0
2025-08-19,259.87,264.49,259.695,263.94,1002550.0
2025-08-18,258.67,260.31,256.43,259.22,638312.0
2025-08-15,263.0,263.9,258.27,258.64,1115107.0
2025-08-14,263.26,264.645,261.4179,262.49,1173380.0
2025-08-13,261.45,267.44,260.575,267.32,1131247.0
2025-08-12,258.35,261.0,257.58,260.48,637772.0
2025-08-11,257.59,258.48,256.11,256.89,622681.0
2025-08-08,256.78,258.96,256.59,256.99,541275.0
2025-08-07,259.25,259.776,256.225,256.78,1021300.0
2025-08-06,256.64,259.22,255.265,257.51,1162557.0
2025-08-05,255.25,256.905,252.69,256.04,819797.0
2025-08-04,252.31,255.4,251.85,253.58,910006.0
2025-08-01,253.48,253.9,249.67,252.31,1236431.0
2025-07-31,251.24,257.425,251.24,255.97,1676800.0
2025-07-30,257.79,257.79,251.35,253.67,1985603.0
2025-07-29,260.79,261.05,256.67,259.5,1847134.0
2025-07-28,261.4,262.17,259.42,260.01,754848.0
2025-07-25,263.06,263.66,260.73,261.7,1092980.0
2025-07-24,262.23,263.8,260.56,261.83,794155.0
2025-07-23,260.78,263.76,260.685,263.24,929954.0
2025-07-22,255.27,260.78,254.976,260.13,765532.0
2025-07-21,256.19,257.65,254.56,254.64,754762.0
2025-07-18,258.09,258.35,253.28,255.15,1029843.0
2025-07-17,256.82,258.84,256.36,257.7,806509.0
2025-07-16,257.07,257.464,253.25,256.82,772796.0
2025-07-15,258.99,259.55,256.295,256.37,718307.0
2025-07-14,258.43,258.98,255.74,257.62,664175.0
2025-07-11,259.92,260.79,258.63,259.7,745914.0
2025-07-10,260.56,264.61,259.89,262.12,1097755.0
2025-07-09,258.73,260.25,256.79,259.75,866274.0
2025-07-08,254.76,259.26,254.48,257.9,1572415.0
2025-07-07,257.91,259.7451,253.89,254.66,974824.0
2025-07-03,256.0,258.685,255.64,258.5,759518.0
2025-07-02,254.93,256.53,253.12,256.45,1121932.0
2025-07-01,246.07,257.63,245.175,255.19,1317778.0
2025-06-30,246.2,247.405,245.185,247.25,930811.0
2025-06-27,247.67,249.65,246.63,248.06,971417.0
2025-06-26,246.11,247.495,245.3,246.75,867708.0
2025-06-25,245.8,246.96,244.21,245.69,1165570.0
2025-06-24,245.37,246.39,242.93,245.8,1031427.0
2025-06-23,240.92,244.4,239.5601,244.2,668218.0
